"","Case","Bin","Tech","Accuracy"
"1","9312","50000","MethylMaster",0.908284957228473
"2","9316","50000","MethylMaster",0.950457982586902
"3","9320","50000","MethylMaster",0.98393668860819
"4","9322","50000","MethylMaster",0.983073609791973
"5","10067","50000","MethylMaster",0.966933677357259
"6","10069","50000","MethylMaster",0.984126349432305
"7","9314","50000","MethylMaster",0.984244499740142
"8","10090","50000","MethylMaster",0.982890912172012
"9","10092","50000","MethylMaster",0.970281384177547
"10","9312","10000","MethylMaster",0.920754610467409
"11","9316","10000","MethylMaster",0.936197574528887
"12","9320","10000","MethylMaster",0.969390500251999
"13","9322","10000","MethylMaster",0.968260478191423
"14","10067","10000","MethylMaster",0.952468065210441
"15","10069","10000","MethylMaster",0.969580161076114
"16","9314","10000","MethylMaster",0.969698311383951
"17","10090","10000","MethylMaster",0.968618352543797
"18","10092","10000","MethylMaster",0.955735195821356
"19","9312","1e+05","MethylMaster",0.919602673926155
"20","9316","1e+05","MethylMaster",0.936711458169815
"21","9320","1e+05","MethylMaster",0.970190164191103
"22","9322","1e+05","MethylMaster",0.969060142130527
"23","10067","1e+05","MethylMaster",0.953267729149545
"24","10069","1e+05","MethylMaster",0.970379825015218
"25","9314","1e+05","MethylMaster",0.970497975323055
"26","10090","1e+05","MethylMaster",0.969395070625166
"27","10092","1e+05","MethylMaster",0.95653485976046
"28","9312","1e+06","MethylMaster",0.903841232455617
"29","9316","1e+06","MethylMaster",0.957913525837507
"30","9320","1e+06","MethylMaster",0.991422067022306
"31","9322","1e+06","MethylMaster",0.99029204496173
"32","10067","1e+06","MethylMaster",0.974419055771375
"33","10069","1e+06","MethylMaster",0.991611727846421
"34","9314","1e+06","MethylMaster",0.991729878154258
"35","10090","1e+06","MethylMaster",0.990415807205474
"36","10092","1e+06","MethylMaster",0.977766762591662
"37","9312","50000","Sesame",0.912511281647747
"38","9316","50000","Sesame",0.948015020983955
"39","9320","50000","Sesame",0.981493727005242
"40","9322","50000","Sesame",0.980630648189026
"41","10067","50000","Sesame",0.964490715754312
"42","10069","50000","Sesame",0.981683387829357
"43","9314","50000","Sesame",0.981801538137194
"44","10090","50000","Sesame",0.980447950569065
"45","10092","50000","Sesame",0.966968495474197
"46","9312","10000","Sesame",0.909451094698335
"47","9316","10000","Sesame",0.950372045345724
"48","9320","10000","Sesame",0.983564971068836
"49","9322","10000","Sesame",0.98243494900826
"50","10067","10000","Sesame",0.966561959817905
"51","10069","10000","Sesame",0.983754631892951
"52","9314","10000","Sesame",0.983872782200788
"53","10090","10000","Sesame",0.982523086337525
"54","10092","10000","Sesame",0.96903973953779
"55","9312","1e+05","Sesame",0.90163847107113
"56","9316","1e+05","Sesame",0.956040962040278
"57","9320","1e+05","Sesame",0.989519668061565
"58","9322","1e+05","Sesame",0.98838964600099
"59","10067","1e+05","Sesame",0.972516656810634
"60","10069","1e+05","Sesame",0.98970932888568
"61","9314","1e+05","Sesame",0.989827479193517
"62","10090","1e+05","Sesame",0.988473891625388
"63","10092","1e+05","Sesame",0.97499443653052
"64","9312","1e+06","Sesame",0.960177119297204
"65","9316","1e+06","Sesame",0.900326256368308
"66","9320","1e+06","Sesame",0.933804962389595
"67","9322","1e+06","Sesame",0.932941883573379
"68","10067","1e+06","Sesame",0.916882527348037
"69","10069","1e+06","Sesame",0.93399462321371
"70","9314","1e+06","Sesame",0.934112773521547
"71","10090","1e+06","Sesame",0.933049385443004
"72","10092","1e+06","Sesame",0.91927973085855
"73","9312","50000","Conumee",0.915618348981232
"74","9316","50000","Conumee",0.890002798423493
"75","9320","50000","Conumee",0.923430783433334
"76","9322","50000","Conumee",0.922351482384205
"77","10067","50000","Conumee",0.906742802959259
"78","10069","50000","Conumee",0.923671165268896
"79","9314","50000","Conumee",0.923789315576733
"80","10090","50000","Conumee",0.922686410878844
"81","10092","50000","Conumee",0.910042946799062
"82","9312","10000","Conumee",0.916598161163428
"83","9316","10000","Conumee",0.890509162270997
"84","9320","10000","Conumee",0.923938081792817
"85","9322","10000","Conumee",0.922857846231709
"86","10067","10000","Conumee",0.907065433250727
"87","10069","10000","Conumee",0.9241775291164
"88","9314","10000","Conumee",0.924295679424237
"89","10090","10000","Conumee",0.923192774726348
"90","10092","10000","Conumee",0.910591809275442
"91","9312","1e+05","Conumee",0.918313142573774
"92","9316","1e+05","Conumee",0.891321335383712
"93","9320","1e+05","Conumee",0.924749320393553
"94","9322","1e+05","Conumee",0.923670019344424
"95","10067","1e+05","Conumee",0.908061339919478
"96","10069","1e+05","Conumee",0.924989702229115
"97","9314","1e+05","Conumee",0.925107852536952
"98","10090","1e+05","Conumee",0.924004947839063
"99","10092","1e+05","Conumee",0.911361483759281
"100","9312","1e+06","Conumee",0.939279312790535
"101","9316","1e+06","Conumee",0.886359110094884
"102","9320","1e+06","Conumee",0.919867071266177
"103","9322","1e+06","Conumee",0.918974737299955
"104","10067","1e+06","Conumee",0.902965687891308
"105","10069","1e+06","Conumee",0.920027476940287
"106","9314","1e+06","Conumee",0.920259867486129
"107","10090","1e+06","Conumee",0.919042722550235
"108","10092","1e+06","Conumee",0.906446479169204
