"","Case","Bin","Tech","Accuracy"
"1","9202","50000","MethylMaster",0.979822454995447
"2","9203","50000","MethylMaster",0.986854241287557
"3","9327","50000","MethylMaster",0.516570038533294
"4","9328","50000","MethylMaster",0.302333254996395
"5","9337","50000","MethylMaster",0.811148043286185
"6","9338","50000","MethylMaster",0.242523727442869
"7","9350","50000","MethylMaster",0.370123986760867
"8","9353","50000","MethylMaster",0.391289745828845
"9","9354","50000","MethylMaster",0.446535026546274
"10","9355","50000","MethylMaster",0.455298065953564
"11","9356","50000","MethylMaster",0.503663546721414
"12","9357","50000","MethylMaster",0.661340667588826
"13","9358","50000","MethylMaster",0.399011742756256
"14","9202","10000","MethylMaster",0.979584179201328
"15","9203","10000","MethylMaster",0.987049197276059
"16","9327","10000","MethylMaster",0.51419520270636
"17","9328","10000","MethylMaster",0.295956912329378
"18","9337","10000","MethylMaster",0.791491974124933
"19","9338","10000","MethylMaster",0.242092123382093
"20","9350","10000","MethylMaster",0.341942303168978
"21","9353","10000","MethylMaster",0.340620622478688
"22","9354","10000","MethylMaster",0.443626069654422
"23","9355","10000","MethylMaster",0.377756144951823
"24","9356","10000","MethylMaster",0.46045158838947
"25","9357","10000","MethylMaster",0.518061737797056
"26","9358","10000","MethylMaster",0.4018104481803
"27","9202","1e+05","MethylMaster",0.986939705213014
"28","9203","1e+05","MethylMaster",0.977251066999889
"29","9327","1e+05","MethylMaster",0.523208243671133
"30","9328","1e+05","MethylMaster",0.295819862052669
"31","9337","1e+05","MethylMaster",0.808921610965583
"32","9338","1e+05","MethylMaster",0.263446958540955
"33","9350","1e+05","MethylMaster",0.406158711905348
"34","9353","1e+05","MethylMaster",0.390460326534587
"35","9354","1e+05","MethylMaster",0.426051257153441
"36","9355","1e+05","MethylMaster",0.440763816617711
"37","9356","1e+05","MethylMaster",0.498677296181106
"38","9357","1e+05","MethylMaster",0.663899391901035
"39","9358","1e+05","MethylMaster",0.402265160940099
"40","9202","1e+06","MethylMaster",0.991222495007359
"41","9203","1e+06","MethylMaster",0.99150766965101
"42","9327","1e+06","MethylMaster",0.477492944178208
"43","9328","1e+06","MethylMaster",0.316168241632589
"44","9337","1e+06","MethylMaster",0.854850255564616
"45","9338","1e+06","MethylMaster",0.246593287459173
"46","9350","1e+06","MethylMaster",0.418407873355125
"47","9353","1e+06","MethylMaster",0.420432913160662
"48","9354","1e+06","MethylMaster",0.843037688191523
"49","9355","1e+06","MethylMaster",0.442555454668608
"50","9356","1e+06","MethylMaster",0.777857956549917
"51","9357","1e+06","MethylMaster",0.455823253036368
"52","9358","1e+06","MethylMaster",0.403838309848844
"53","9202","50000","Sesame",0.88015202339116
"54","9203","50000","Sesame",0.976295828964186
"55","9327","50000","Sesame",0.482398629617463
"56","9328","50000","Sesame",0.246876989248773
"57","9337","50000","Sesame",0.678568761831081
"58","9338","50000","Sesame",0.258862843159589
"59","9350","50000","Sesame",0.281860248315024
