"","Case","Bin","Tech","Accuracy"
"1","9202","50000","MethylMaster",0.999246047453684
"2","9203","50000","MethylMaster",0.999699218922108
"3","9327","50000","MethylMaster",0.524311573033506
"4","9328","50000","MethylMaster",0.345606782167269
"5","9337","50000","MethylMaster",0.891337151586618
"6","9338","50000","MethylMaster",0.252696228393927
"7","9350","50000","MethylMaster",0.239805775229872
"8","9353","50000","MethylMaster",0.40831589237969
"9","9354","50000","MethylMaster",0.515615679578584
"10","9355","50000","MethylMaster",0.376001614068889
"11","9356","50000","MethylMaster",0.496018512990288
"12","9357","50000","MethylMaster",0.840284598182959
"13","9358","50000","MethylMaster",0.209835059795608
"14","9202","10000","MethylMaster",0.999275964848559
"15","9203","10000","MethylMaster",1
"16","9327","10000","MethylMaster",0.527978305564329
"17","9328","10000","MethylMaster",0.299978793832709
"18","9337","10000","MethylMaster",0.858827738065004
"19","9338","10000","MethylMaster",0.237926076075832
"20","9350","10000","MethylMaster",0.241160947150015
"21","9353","10000","MethylMaster",0.336670313976804
"22","9354","10000","MethylMaster",0.504509083580354
"23","9355","10000","MethylMaster",0.293894653208619
"24","9356","10000","MethylMaster",0.429939258771044
"25","9357","10000","MethylMaster",0.458851749434133
"26","9358","10000","MethylMaster",0.212587681743498
"27","9202","1e+05","MethylMaster",0.998739713300397
"28","9203","1e+05","MethylMaster",1
"29","9327","1e+05","MethylMaster",0.52707524713582
"30","9328","1e+05","MethylMaster",0.297468532025834
"31","9337","1e+05","MethylMaster",0.926235494276408
"32","9338","1e+05","MethylMaster",0.251004447265087
"33","9350","1e+05","MethylMaster",0.24791116927272
"34","9353","1e+05","MethylMaster",0.405080599102135
"35","9354","1e+05","MethylMaster",0.412812537559513
"36","9355","1e+05","MethylMaster",0.37769576041924
"37","9356","1e+05","MethylMaster",0.496205286588077
"38","9357","1e+05","MethylMaster",0.869119963873158
"39","9358","1e+05","MethylMaster",0.209420351743524
"40","9202","1e+06","MethylMaster",0.998787587606744
"41","9203","1e+06","MethylMaster",1
"42","9327","1e+06","MethylMaster",0.433071294077914
"43","9328","1e+06","MethylMaster",0.370235068359075
"44","9337","1e+06","MethylMaster",0.94321302901881
"45","9338","1e+06","MethylMaster",0.21873402897655
"46","9350","1e+06","MethylMaster",0.2540500715457
"47","9353","1e+06","MethylMaster",0.426023355058801
"48","9354","1e+06","MethylMaster",0.937866013871586
"49","9355","1e+06","MethylMaster",0.343250283949113
"50","9356","1e+06","MethylMaster",0.944704152210996
"51","9357","1e+06","MethylMaster",0.379481289983779
"52","9358","1e+06","MethylMaster",0.208520118348824
"53","9202","50000","Sesame",0.998126398002136
"54","9203","50000","Sesame",0.999998694036605
"55","9327","50000","Sesame",0.480639646001995
"56","9328","50000","Sesame",0.247691830616433
"57","9337","50000","Sesame",0.63835575526109
"58","9338","50000","Sesame",0.243646447587217
"59","9350","50000","Sesame",0.204078283529481
"60","9353","50000","Sesame",0.375241826664663
"61","9354","50000","Sesame",0.652637603021681
"62","9355","50000","Sesame",0.587203829994355
"63","9356","50000","Sesame",0.500062744116041
"64","9357","50000","Sesame",0.387345464772213
"65","9358","50000","Sesame",0.343953840845627
"66","9202","10000","Sesame",0.998126398002136
"67","9203","10000","Sesame",0.999036612267176
"68","9327","10000","Sesame",0.479699919556004
"69","9328","10000","Sesame",0.247393567898637
"70","9337","10000","Sesame",0.608925164053594
"71","9338","10000","Sesame",0.250684409385303
"72","9350","10000","Sesame",0.208273052936646
