"","Case","Bin","Tech","Accuracy"
"1","9312","50000","MethylMaster",0.998522749860024
"2","9316","50000","MethylMaster",1
"3","9320","50000","MethylMaster",1
"4","9322","50000","MethylMaster",1
"5","10067","50000","MethylMaster",0.998449378506545
"6","10069","50000","MethylMaster",1
"7","9314","50000","MethylMaster",1
"8","10090","50000","MethylMaster",1
"9","10092","50000","MethylMaster",1
"10","9312","10000","MethylMaster",0.992041291621529
"11","9316","10000","MethylMaster",1
"12","9320","10000","MethylMaster",0.99974382284265
"13","9322","10000","MethylMaster",1
"14","10067","10000","MethylMaster",0.997339933864383
"15","10069","10000","MethylMaster",1
"16","9314","10000","MethylMaster",1
"17","10090","10000","MethylMaster",0.998994672432542
"18","10092","10000","MethylMaster",0.998875746774164
"19","9312","1e+05","MethylMaster",0.995083102428089
"20","9316","1e+05","MethylMaster",1
"21","9320","1e+05","MethylMaster",1
"22","9322","1e+05","MethylMaster",1
"23","10067","1e+05","MethylMaster",0.997860306844507
"24","10069","1e+05","MethylMaster",1
"25","9314","1e+05","MethylMaster",1
"26","10090","1e+05","MethylMaster",1
"27","10092","1e+05","MethylMaster",1
"28","9312","1e+06","MethylMaster",0.998933026420129
"29","9316","1e+06","MethylMaster",1
"30","9320","1e+06","MethylMaster",1
"31","9322","1e+06","MethylMaster",1
"32","10067","1e+06","MethylMaster",0.999298942969876
"33","10069","1e+06","MethylMaster",1
"34","9314","1e+06","MethylMaster",1
"35","10090","1e+06","MethylMaster",1
"36","10092","1e+06","MethylMaster",1
"37","9312","50000","Sesame",0.998522749860024
"38","9316","50000","Sesame",1
"39","9320","50000","Sesame",1
"40","9322","50000","Sesame",1
"41","10067","50000","Sesame",0.99754738976972
"42","10069","50000","Sesame",1
"43","9314","50000","Sesame",1
"44","10090","50000","Sesame",0.999116743320978
"45","10092","50000","Sesame",1
"46","9312","10000","Sesame",0.997784164142254
"47","9316","10000","Sesame",1
"48","9320","10000","Sesame",1
"49","9322","10000","Sesame",1
"50","10067","10000","Sesame",0.997330296775967
"51","10069","10000","Sesame",1
"52","9314","10000","Sesame",1
"53","10090","10000","Sesame",0.99811141575352
"54","10092","10000","Sesame",0.998899035183224
"55","9312","1e+05","Sesame",0.993918077133825
"56","9316","1e+05","Sesame",1
"57","9320","1e+05","Sesame",1
"58","9322","1e+05","Sesame",1
"59","10067","1e+05","Sesame",0.998957594582688
"60","10069","1e+05","Sesame",1
"61","9314","1e+05","Sesame",1
"62","10090","1e+05","Sesame",1
"63","10092","1e+05","Sesame",1
"64","9312","1e+06","Sesame",0.998933026420129
"65","9316","1e+06","Sesame",1
"66","9320","1e+06","Sesame",1
"67","9322","1e+06","Sesame",1
"68","10067","1e+06","Sesame",0.998449378506545
"69","10069","1e+06","Sesame",1
"70","9314","1e+06","Sesame",1
"71","10090","1e+06","Sesame",1
"72","10092","1e+06","Sesame",1
"73","9312","50000","Conumee",0.993397545910418
"74","9316","50000","Conumee",1
"75","9320","50000","Conumee",1
"76","9322","50000","Conumee",1
"77","10067","50000","Conumee",0.996343977941174
"78","10069","50000","Conumee",1
"79","9314","50000","Conumee",1
"80","10090","50000","Conumee",0.999116743320978
"81","10092","50000","Conumee",0.998397773469716
"82","9312","10000","Conumee",0.987577997116373
"83","9316","10000","Conumee",1
"84","9320","10000","Conumee",1
"85","9322","10000","Conumee",1
"86","10067","10000","Conumee",0.995754906279136
"87","10069","10000","Conumee",1
"88","9314","10000","Conumee",1
"89","10090","10000","Conumee",0.998223038489599
"90","10092","10000","Conumee",0.999265849538202
"91","9312","1e+05","Conumee",0.993397545910418
"92","9316","1e+05","Conumee",1
"93","9320","1e+05","Conumee",1
"94","9322","1e+05","Conumee",1
"95","10067","1e+05","Conumee",0.995754906279136
"96","10069","1e+05","Conumee",1
"97","9314","1e+05","Conumee",1
"98","10090","1e+05","Conumee",0.998223038489599
"99","10092","1e+05","Conumee",0.998397773469716
"100","9312","1e+06","Conumee",0.998002218636617
"101","9316","1e+06","Conumee",1
"102","9320","1e+06","Conumee",1
"103","9322","1e+06","Conumee",1
"104","10067","1e+06","Conumee",0.99754738976972
"105","10069","1e+06","Conumee",1
"106","9314","1e+06","Conumee",1
"107","10090","1e+06","Conumee",0.999116743320978
"108","10092","1e+06","Conumee",1
