"","Case","Bin","Tech","val"
"1","9312","50000","MethylMaster",1.77966732453781
"2","9316","50000","MethylMaster",4.42549555465289
"3","9320","50000","MethylMaster",0.00665611886304322
"4","9322","50000","MethylMaster",0
"5","10067","50000","MethylMaster",1.64263982057998
"6","10069","50000","MethylMaster",0.0364452575089061
"7","9314","50000","MethylMaster",0
"8","10090","50000","MethylMaster",0.133632610865989
"9","10092","50000","MethylMaster",0
"10","9312","10000","MethylMaster",2.96056975164014
"11","9316","10000","MethylMaster",4.45985822601843
"12","9320","10000","MethylMaster",0.00804450962528727
"13","9322","10000","MethylMaster",0
"14","10067","10000","MethylMaster",1.64732563940256
"15","10069","10000","MethylMaster",0.0505027139766271
"16","9314","10000","MethylMaster",0.00676840496593971
"17","10090","10000","MethylMaster",0.16834237992209
"18","10092","10000","MethylMaster",0.00381807459617112
"19","9312","1e+05","MethylMaster",2.9717743427696
"20","9316","1e+05","MethylMaster",4.36995992416313
"21","9320","1e+05","MethylMaster",0
"22","9322","1e+05","MethylMaster",0
"23","10067","1e+05","MethylMaster",1.60706230729748
"24","10069","1e+05","MethylMaster",0.065948561206592
"25","9314","1e+05","MethylMaster",0
"26","10090","1e+05","MethylMaster",0.0572711189425668
"27","10092","1e+05","MethylMaster",0
"28","9312","1e+06","MethylMaster",1.52722983846845
"29","9316","1e+06","MethylMaster",4.25194670937238
"30","9320","1e+06","MethylMaster",0
"31","9322","1e+06","MethylMaster",0
"32","10067","1e+06","MethylMaster",1.66606891469285
"33","10069","1e+06","MethylMaster",0
"34","9314","1e+06","MethylMaster",0
"35","10090","1e+06","MethylMaster",0
"36","10092","1e+06","MethylMaster",0
"37","9312","50000","Sesame",2.31080287490993
"38","9316","50000","Sesame",4.42723104310569
"39","9320","50000","Sesame",0.776753781663875
"40","9322","50000","Sesame",0
"41","10067","50000","Sesame",1.56107186329815
"42","10069","50000","Sesame",0.0260323267920758
"43","9314","50000","Sesame",0
"44","10090","50000","Sesame",0.0937163764514729
"45","10092","50000","Sesame",0
"46","9312","10000","Sesame",2.18983932974942
"47","9316","10000","Sesame",4.41438842855494
"48","9320","10000","Sesame",0.0260139653242451
"49","9322","10000","Sesame",0
"50","10067","10000","Sesame",1.65773857011939
"51","10069","10000","Sesame",0.0239497406487097
"52","9314","10000","Sesame",0.00676840496593971
"53","10090","10000","Sesame",0.126343559364208
"54","10092","10000","Sesame",0
"55","9312","1e+05","Sesame",1.39186173914965
"56","9316","1e+05","Sesame",4.38731480869118
"57","9320","1e+05","Sesame",0.777907360838454
"58","9322","1e+05","Sesame",0
"59","10067","1e+05","Sesame",1.56541058443016
"60","10069","1e+05","Sesame",0.172444345719371
"61","9314","1e+05","Sesame",0
"62","10090","1e+05","Sesame",0.0572711189425668
"63","10092","1e+05","Sesame",0
"64","9312","1e+06","Sesame",7.63580209465167
"65","9316","1e+06","Sesame",4.28665647842848
"66","9320","1e+06","Sesame",0
"67","9322","1e+06","Sesame",0
"68","10067","1e+06","Sesame",1.56193960752455
"69","10069","1e+06","Sesame",0
"70","9314","1e+06","Sesame",0
"71","10090","1e+06","Sesame",0
"72","10092","1e+06","Sesame",0
"73","9312","50000","Conumee",9.54895572837891
"74","9316","50000","Conumee",4.39947954145227
"75","9320","50000","Conumee",0.0425194670937238
"76","9322","50000","Conumee",0.0547684404643147
"77","10067","50000","Conumee",3.55877498875936
"78","10069","50000","Conumee",0.141442308903612
"79","9314","50000","Conumee",0.0485936766785415
"80","10090","50000","Conumee",0.0459904439993339
"81","10092","50000","Conumee",0
"82","9312","10000","Conumee",9.51310411205016
"83","9316","10000","Conumee",4.39330477766649
"84","9320","10000","Conumee",0.0163135914563675
"85","9322","10000","Conumee",0
"86","10067","10000","Conumee",3.64103714142232
"87","10069","10000","Conumee",0.101873172179657
"88","9314","10000","Conumee",0
"89","10090","10000","Conumee",0.0985757441193271
"90","10092","10000","Conumee",0
"91","9312","1e+05","Conumee",9.48994912098353
"92","9316","1e+05","Conumee",4.56955740982716
"93","9320","1e+05","Conumee",0.0451226997729314
"94","9322","1e+05","Conumee",0
"95","10067","1e+05","Conumee",3.84859944308189
"96","10069","1e+05","Conumee",0.0607420958481769
"97","9314","1e+05","Conumee",0
"98","10090","1e+05","Conumee",0.0607420958481769
"99","10092","1e+05","Conumee",0
"100","9312","1e+06","Conumee",7.84304045003665
"101","9316","1e+06","Conumee",6.36150459943002
"102","9320","1e+06","Conumee",0
"103","9322","1e+06","Conumee",0
"104","10067","1e+06","Conumee",6.20228366913773
"105","10069","1e+06","Conumee",0
"106","9314","1e+06","Conumee",0
"107","10090","1e+06","Conumee",0
"108","10092","1e+06","Conumee",0
"109","9312","50000","SNP",9.64109338987042
"110","9316","50000","SNP",3.89532750881411
"111","9320","50000","SNP",0.0566687879182426
"112","9322","50000","SNP",0.089392610898592
"113","10067","50000","SNP",1.5742761538903
"114","10069","50000","SNP",0.00822773533024823
"115","9314","50000","SNP",0.00186651549474952
"116","10090","50000","SNP",0.10646934659988
"117","10092","50000","SNP",1.22015254574642
"118","9312","10000","SNP",9.64246652873925
"119","9316","10000","SNP",3.89532750881411
"120","9320","10000","SNP",0.058001646727955
"121","9322","10000","SNP",0.0907493966198619
"122","10067","10000","SNP",1.57500654295926
"123","10069","10000","SNP",0.00822773533024823
"124","9314","10000","SNP",0.00186651549474952
"125","10090","10000","SNP",0.10646934659988
"126","10092","10000","SNP",1.22150933146769
"127","9312","1e+05","SNP",9.63837038986454
"128","9316","1e+05","SNP",3.89360551310171
"129","9320","1e+05","SNP",0.0566687879182426
"130","9322","1e+05","SNP",0.089392610898592
"131","10067","1e+05","SNP",1.57159120818433
"132","10069","1e+05","SNP",0.00822773533024823
"133","9314","1e+05","SNP",0
"134","10090","1e+05","SNP",0.103584360784489
"135","10092","1e+05","SNP",1.22015254574642
"136","9312","1e+06","SNP",9.6015652045776
"137","9316","1e+06","SNP",3.87365346745495
"138","9320","1e+06","SNP",0
"139","9322","1e+06","SNP",0.0539782469009101
"140","10067","1e+06","SNP",1.40420882906375
"141","10069","1e+06","SNP",0
"142","9314","1e+06","SNP",0
"143","10090","1e+06","SNP",0.0317265901122143
"144","10092","1e+06","SNP",1.18145976207883
