"","case","tech","Default","X10kb","X100kb","X1Mb"
"1",9202,"MethylMaster",32,40.1111111111111,36.125,32
"2",9202,"Sesame",13.5,28.1666666666667,9,8.33333333333333
"3",9202,"Conumee",28.125,36.125,32,24.5
"4",9202,"SNP",64.2857142857143,64.2857142857143,64.2857142857143,64.2857142857143
"5",9203,"MethylMaster",32.4,40.1111111111111,28.9,28.125
"6",9203,"Sesame",32.1111111111111,49,25,18
"7",9203,"Conumee",32,28.125,24.5,18
"8",9203,"SNP",60.75,60.75,60.75,60.75
"9",9327,"MethylMaster",112.5,101.894736842105,112.5,98.8823529411765
"10",9327,"Sesame",56.3333333333333,69.2307692307692,36.75,27.7692307692308
"11",9327,"Conumee",81.6666666666667,76.2352941176471,86.4,37.7857142857143
"12",9327,"SNP",491.636363636364,491.636363636364,491.636363636364,491.636363636364
"13",9328,"MethylMaster",96.2666666666667,101.4,64.2857142857143,31.5
"14",9328,"Sesame",80.0833333333333,85.3333333333333,60.75,23.2727272727273
"15",9328,"Conumee",68.6428571428571,73.1428571428571,48.2857142857143,27.7692307692308
"16",9328,"SNP",3512.90909090909,3512.90909090909,3512.90909090909,3512.90909090909
"17",9337,"MethylMaster",445.473684210526,555.555555555556,398.368421052632,56.5294117647059
"18",9337,"Sesame",240.25,224.266666666667,248.0625,30.7692307692308
"19",9337,"Conumee",329.388888888889,256.888888888889,313.470588235294,41.1428571428571
"20",9337,"SNP",2240.18181818182,2240.18181818182,2240.18181818182,2240.18181818182
"21",9338,"MethylMaster",98.8823529411765,68.0625,85.5625,42.25
"22",9338,"Sesame",52.0714285714286,30.7692307692308,41.1428571428571,22.2307692307692
"23",9338,"Conumee",107.555555555556,98,153,24.0833333333333
"24",9338,"SNP",3120.18181818182,3120.18181818182,3120.18181818182,3120.18181818182
"25",9350,"MethylMaster",138.285714285714,86.4,56.0666666666667,37.2307692307692
"26",9350,"Sesame",73.9230769230769,64.6923076923077,52.3636363636364,32.4
"27",9350,"Conumee",76.4545454545455,61.4545454545455,56.8181818181818,26.2727272727273
"28",9350,"SNP",3640.40909090909,3640.40909090909,3640.40909090909,3640.40909090909
"29",9353,"MethylMaster",150.0625,204.764705882353,138.0625,49
"30",9353,"Sesame",61.4545454545455,80.0833333333333,60.3076923076923,20.5714285714286
"31",9353,"Conumee",90.25,91.2666666666667,81.6666666666667,19.6923076923077
"32",9353,"SNP",550,550,550,550
"33",9354,"MethylMaster",96.2666666666667,115.5625,91.2666666666667,72.0526315789474
"34",9354,"Sesame",52.2666666666667,87.5,65.3333333333333,32.8181818181818
"35",9354,"Conumee",33.3333333333333,27,44,28.4444444444444
"36",9354,"SNP",393.136363636364,393.136363636364,393.136363636364,393.136363636364
"37",9355,"MethylMaster",162,112.5,162,89.4705882352941
"38",9355,"Sesame",73.1428571428571,56.3333333333333,52.3636363636364,36.5714285714286
"39",9355,"Conumee",97.7857142857143,64.6923076923077,81.6666666666667,21.125
"40",9355,"SNP",520.409090909091,520.409090909091,520.409090909091,520.409090909091
"41",9356,"MethylMaster",85.5625,112.066666666667,76.5625,98
"42",9356,"Sesame",56.8181818181818,76.4545454545455,48.4,28
"43",9356,"Conumee",60,48.6,44.6428571428571,24.5
"44",9356,"SNP",710.227272727273,710.227272727273,710.227272727273,710.227272727273
"45",9357,"MethylMaster",80.5294117647059,60,56.25,56.25
"46",9357,"Sesame",48.0909090909091,52.0833333333333,36.1,28.9
"47",9357,"Conumee",56.25,48.6,68.2666666666667,21.7777777777778
"48",9357,"SNP",929.5,929.5,929.5,929.5
"49",9358,"MethylMaster",88.4736842105263,117.555555555556,80.5294117647059,42.25
"50",9358,"Sesame",48.0909090909091,56.3333333333333,52.3636363636364,24.5
"51",9358,"Conumee",68.6428571428571,64.2857142857143,56.25,33.3333333333333
"52",9358,"SNP",867.857142857143,867.857142857143,867.857142857143,867.857142857143
