"","Case","Bin","type","count","c_sq","chr_count","gi"
"1",9202,10000,"Conumee",17,289,8,36.125
"2",9202,10000,"MethylMaster",19,361,9,40.1111111111111
"3",9202,10000,"SNP",30,900,14,64.2857142857143
"4",9202,10000,"SeSAMe",25,625,10,62.5
"5",9202,50000,"Conumee",15,225,8,28.125
"6",9202,50000,"MethylMaster",16,256,8,32
"7",9202,50000,"SNP",28,784,13,60.3076923076923
"8",9202,50000,"SeSAMe",18,324,9,36
"9",9202,1e+05,"Conumee",16,256,8,32
"10",9202,1e+05,"MethylMaster",17,289,8,36.125
"11",9202,1e+05,"SNP",27,729,13,56.0769230769231
"12",9202,1e+05,"SeSAMe",18,324,10,32.4
"13",9202,1e+06,"Conumee",14,196,8,24.5
"14",9202,1e+06,"MethylMaster",16,256,8,32
"15",9202,1e+06,"SNP",17,289,8,36.125
"16",9202,1e+06,"SeSAMe",16,256,10,25.6
"17",9203,10000,"Conumee",15,225,8,28.125
"18",9203,10000,"MethylMaster",19,361,9,40.1111111111111
"19",9203,10000,"SNP",27,729,12,60.75
"20",9203,10000,"SeSAMe",29,841,10,84.1
"21",9203,50000,"Conumee",16,256,8,32
"22",9203,50000,"MethylMaster",18,324,10,32.4
"23",9203,50000,"SNP",26,676,12,56.3333333333333
"24",9203,50000,"SeSAMe",20,400,10,40
"25",9203,1e+05,"Conumee",14,196,8,24.5
"26",9203,1e+05,"MethylMaster",17,289,10,28.9
"27",9203,1e+05,"SNP",25,625,12,52.0833333333333
"28",9203,1e+05,"SeSAMe",18,324,10,32.4
"29",9203,1e+06,"Conumee",12,144,8,18
"30",9203,1e+06,"MethylMaster",15,225,8,28.125
"31",9203,1e+06,"SNP",17,289,8,36.125
"32",9203,1e+06,"SeSAMe",17,289,10,28.9
"33",9328,10000,"Conumee",32,1024,14,73.1428571428571
"34",9328,10000,"MethylMaster",39,1521,15,101.4
"35",9328,10000,"SNP",274,75076,22,3412.54545454545
"36",9328,10000,"SeSAMe",37,1369,15,91.2666666666667
"37",9328,50000,"Conumee",31,961,14,68.6428571428571
"38",9328,50000,"MethylMaster",38,1444,15,96.2666666666667
"39",9328,50000,"SNP",269,72361,22,3289.13636363636
"40",9328,50000,"SeSAMe",37,1369,14,97.7857142857143
"41",9328,1e+05,"Conumee",26,676,14,48.2857142857143
"42",9328,1e+05,"MethylMaster",30,900,14,64.2857142857143
"43",9328,1e+05,"SNP",264,69696,22,3168
"44",9328,1e+05,"SeSAMe",29,841,13,64.6923076923077
"45",9328,1e+06,"Conumee",19,361,13,27.7692307692308
"46",9328,1e+06,"MethylMaster",21,441,14,31.5
"47",9328,1e+06,"SNP",170,28900,22,1313.63636363636
"48",9328,1e+06,"SeSAMe",19,361,13,27.7692307692308
"49",9337,10000,"Conumee",68,4624,18,256.888888888889
"50",9337,10000,"MethylMaster",100,10000,18,555.555555555556
"51",9337,10000,"SNP",170,28900,22,1313.63636363636
"52",9337,10000,"SeSAMe",85,7225,17,425
"53",9337,50000,"Conumee",77,5929,18,329.388888888889
"54",9337,50000,"MethylMaster",92,8464,19,445.473684210526
"55",9337,50000,"SNP",168,28224,22,1282.90909090909
"56",9337,50000,"SeSAMe",82,6724,17,395.529411764706
"57",9337,1e+05,"Conumee",73,5329,17,313.470588235294
"58",9337,1e+05,"MethylMaster",87,7569,19,398.368421052632
"59",9337,1e+05,"SNP",164,26896,22,1222.54545454545
"60",9337,1e+05,"SeSAMe",87,7569,17,445.235294117647
"61",9337,1e+06,"Conumee",24,576,14,41.1428571428571
"62",9337,1e+06,"MethylMaster",31,961,17,56.5294117647059
"63",9337,1e+06,"SNP",129,16641,21,792.428571428571
"64",9337,1e+06,"SeSAMe",29,841,15,56.0666666666667
"65",9338,10000,"Conumee",42,1764,18,98
"66",9338,10000,"MethylMaster",33,1089,16,68.0625
"67",9338,10000,"SNP",226,51076,22,2321.63636363636
"68",9338,10000,"SeSAMe",24,576,14,41.1428571428571
"69",9338,50000,"Conumee",44,1936,18,107.555555555556
"70",9338,50000,"MethylMaster",41,1681,17,98.8823529411765
"71",9338,50000,"SNP",221,48841,22,2220.04545454545
"72",9338,50000,"SeSAMe",36,1296,17,76.2352941176471
"73",9338,1e+05,"Conumee",51,2601,17,153
"74",9338,1e+05,"MethylMaster",37,1369,16,85.5625
"75",9338,1e+05,"SNP",219,47961,22,2180.04545454545
"76",9338,1e+05,"SeSAMe",36,1296,15,86.4
"77",9338,1e+06,"Conumee",17,289,12,24.0833333333333
"78",9338,1e+06,"MethylMaster",26,676,16,42.25
"79",9338,1e+06,"SNP",167,27889,22,1267.68181818182
"80",9338,1e+06,"SeSAMe",25,625,15,41.6666666666667
"81",9350,10000,"Conumee",26,676,11,61.4545454545455
"82",9350,10000,"MethylMaster",36,1296,15,86.4
"83",9350,10000,"SNP",283,80089,22,3640.40909090909
"84",9350,10000,"SeSAMe",36,1296,16,81
"85",9350,50000,"Conumee",29,841,11,76.4545454545455
"86",9350,50000,"MethylMaster",44,1936,14,138.285714285714
"87",9350,50000,"SNP",276,76176,22,3462.54545454545
"88",9350,50000,"SeSAMe",36,1296,14,92.5714285714286
"89",9350,1e+05,"Conumee",25,625,11,56.8181818181818
"90",9350,1e+05,"MethylMaster",29,841,15,56.0666666666667
"91",9350,1e+05,"SNP",265,70225,22,3192.04545454545
"92",9350,1e+05,"SeSAMe",28,784,13,60.3076923076923
"93",9350,1e+06,"Conumee",17,289,11,26.2727272727273
"94",9350,1e+06,"MethylMaster",22,484,13,37.2307692307692
"95",9350,1e+06,"SNP",150,22500,22,1022.72727272727
"96",9350,1e+06,"SeSAMe",18,324,10,32.4
"97",9353,10000,"Conumee",37,1369,15,91.2666666666667
"98",9353,10000,"MethylMaster",59,3481,17,204.764705882353
"99",9353,10000,"SNP",95,9025,22,410.227272727273
"100",9353,10000,"SeSAMe",52,2704,16,169
"101",9353,50000,"Conumee",38,1444,16,90.25
"102",9353,50000,"MethylMaster",49,2401,16,150.0625
"103",9353,50000,"SNP",95,9025,22,410.227272727273
"104",9353,50000,"SeSAMe",48,2304,16,144
"105",9353,1e+05,"Conumee",35,1225,15,81.6666666666667
"106",9353,1e+05,"MethylMaster",47,2209,16,138.0625
"107",9353,1e+05,"SNP",94,8836,22,401.636363636364
"108",9353,1e+05,"SeSAMe",47,2209,16,138.0625
"109",9353,1e+06,"Conumee",16,256,13,19.6923076923077
"110",9353,1e+06,"MethylMaster",28,784,16,49
"111",9353,1e+06,"SNP",71,5041,20,252.05
"112",9353,1e+06,"SeSAMe",27,729,15,48.6
"113",9354,10000,"Conumee",18,324,12,27
"114",9354,10000,"MethylMaster",43,1849,16,115.5625
"115",9354,10000,"SNP",75,5625,22,255.681818181818
"116",9354,10000,"SeSAMe",40,1600,15,106.666666666667
"117",9354,50000,"Conumee",20,400,12,33.3333333333333
