"","case","tech","Default","X10kb","X100kb","X1Mb"
"1",9312,"MethylMaster",10.6666666666667,8,7.2,1
"2",9312,"Sesame",9.8,12.5,3,6.25
"3",9312,"Conumee",8.16666666666667,8.16666666666667,8.16666666666667,7.2
"4",9312,"SNP",77.0666666666667,81,77.7857142857143,44
"5",9316,"MethylMaster",10.6666666666667,8,7.2,1
"6",9316,"Sesame",9.8,12.5,3,6.25
"7",9316,"Conumee",8.16666666666667,8.16666666666667,8.16666666666667,7.2
"8",9316,"SNP",4,4,3,2
"9",9320,"MethylMaster",10.6666666666667,8,7.2,1
"10",9320,"Sesame",9.8,12.5,3,6.25
"11",9320,"Conumee",8.16666666666667,8.16666666666667,8.16666666666667,7.2
"12",9320,"SNP",6.25,7.2,6.25,NA
"13",9322,"MethylMaster",10.6666666666667,8,7.2,1
"14",9322,"Sesame",9.8,12.5,3,6.25
"15",9322,"Conumee",8.16666666666667,8.16666666666667,8.16666666666667,7.2
"16",9322,"SNP",12.5,12,12.5,1
"17",10067,"MethylMaster",10.6666666666667,8,7.2,1
"18",10067,"Sesame",9.8,12.5,3,6.25
"19",10067,"Conumee",8.16666666666667,8.16666666666667,8.16666666666667,7.2
"20",10067,"SNP",26.2727272727273,27,25.6,3
"21",10069,"MethylMaster",10.6666666666667,8,7.2,1
"22",10069,"Sesame",9.8,12.5,3,6.25
"23",10069,"Conumee",8.16666666666667,8.16666666666667,8.16666666666667,7.2
"24",10069,"SNP",2,2,2,NA
"25",9314,"MethylMaster",10.6666666666667,8,7.2,1
"26",9314,"Sesame",9.8,12.5,3,6.25
"27",9314,"Conumee",8.16666666666667,8.16666666666667,8.16666666666667,7.2
"28",9314,"SNP",1,1,NA,NA
"29",10090,"MethylMaster",10.6666666666667,8,7.2,1
"30",10090,"Sesame",9.8,12.5,3,6.25
"31",10090,"Conumee",8.16666666666667,8.16666666666667,8.16666666666667,7.2
"32",10090,"SNP",11.5714285714286,11.5714285714286,9.14285714285714,1
"33",10092,"MethylMaster",10.6666666666667,8,7.2,1
"34",10092,"Sesame",9.8,12.5,3,6.25
"35",10092,"Conumee",8.16666666666667,8.16666666666667,8.16666666666667,7.2
"36",10092,"SNP",8.16666666666667,10.6666666666667,8.16666666666667,2
