ATChannelCel	GCChannelCel	SampleName
~/Documents/Analysis/LabData/LMS_SNP_EPIC_array_data/SNP_array_data_LMS/CEL_files/a520780-00-982413-053118-4306645-05489.CEL	~/Documents/Analysis/LabData/LMS_SNP_EPIC_array_data/SNP_array_data_LMS/CEL_files/a520780-00-982397-053118-4306645-00915.CEL	11_SB_9202_LMS_P
~/Documents/Analysis/LabData/LMS_SNP_EPIC_array_data/SNP_array_data_LMS/CEL_files/a520780-00-949480-073116-4238195-91978.CEL	~/Documents/Analysis/LabData/LMS_SNP_EPIC_array_data/SNP_array_data_LMS/CEL_files/a520780-00-949480-073116-4238195-91981.CEL	11_SB_9203_LMS_P
~/Documents/Analysis/LabData/LMS_SNP_EPIC_array_data/SNP_array_data_LMS/CEL_files/a520780-00-982390-053118-4306645-89613.CEL	~/Documents/Analysis/LabData/LMS_SNP_EPIC_array_data/SNP_array_data_LMS/CEL_files/a520780-00-982400-053118-4306645-94800.CEL	10_CAD_9327_LMS_Met
~/Documents/Analysis/LabData/LMS_SNP_EPIC_array_data/SNP_array_data_LMS/CEL_files/a520780-00-982413-053118-4306645-05494.CEL	~/Documents/Analysis/LabData/LMS_SNP_EPIC_array_data/SNP_array_data_LMS/CEL_files/a520780-00-982389-053118-4306645-89486.CEL	3_PL_9328_LMS_P
~/Documents/Analysis/LabData/LMS_SNP_EPIC_array_data/SNP_array_data_LMS/CEL_files/a520780-00-982414-053118-4306645-05962.CEL	~/Documents/Analysis/LabData/LMS_SNP_EPIC_array_data/SNP_array_data_LMS/CEL_files/a520780-00-982416-053118-4306645-06178.CEL	8_KAN_9337_LMS_Rec
~/Documents/Analysis/LabData/LMS_SNP_EPIC_array_data/SNP_array_data_LMS/CEL_files/a520780-00-982411-053118-4306645-05218.CEL	~/Documents/Analysis/LabData/LMS_SNP_EPIC_array_data/SNP_array_data_LMS/CEL_files/a520780-00-982414-053118-4306645-05964.CEL	8_KAN_9338_LMS_Met
~/Documents/Analysis/LabData/LMS_SNP_EPIC_array_data/SNP_array_data_LMS/CEL_files/a520780-00-982411-053118-4306645-05204.CEL	~/Documents/Analysis/LabData/LMS_SNP_EPIC_array_data/SNP_array_data_LMS/CEL_files/a520780-00-982413-053118-4306645-05528.CEL	11_SB_9350_LMS_Met2
~/Documents/Analysis/LabData/LMS_SNP_EPIC_array_data/SNP_array_data_LMS/CEL_files/a520780-00-982416-053118-4306645-06115.CEL	~/Documents/Analysis/LabData/LMS_SNP_EPIC_array_data/SNP_array_data_LMS/CEL_files/a520780-00-982415-053118-4306645-06025.CEL	10_CAD_9353_LMS_Rec1
~/Documents/Analysis/LabData/LMS_SNP_EPIC_array_data/SNP_array_data_LMS/CEL_files/a520780-00-982397-053118-4306645-00852.CEL	~/Documents/Analysis/LabData/LMS_SNP_EPIC_array_data/SNP_array_data_LMS/CEL_files/a520780-00-982413-053118-4306645-05473.CEL	10_CAD_9354_LMS_Rec2
~/Documents/Analysis/LabData/LMS_SNP_EPIC_array_data/SNP_array_data_LMS/CEL_files/a520780-00-982389-053118-4306645-89561.CEL	~/Documents/Analysis/LabData/LMS_SNP_EPIC_array_data/SNP_array_data_LMS/CEL_files/a520780-00-982394-053118-4306645-00512.CEL	10_CAD_9355_LMS_Rec3
~/Documents/Analysis/LabData/LMS_SNP_EPIC_array_data/SNP_array_data_LMS/CEL_files/a520780-00-982400-053118-4306645-94845.CEL	~/Documents/Analysis/LabData/LMS_SNP_EPIC_array_data/SNP_array_data_LMS/CEL_files/a520780-00-982397-053118-4306645-00892.CEL	10_CAD_9356_LMS_Rec4
~/Documents/Analysis/LabData/LMS_SNP_EPIC_array_data/SNP_array_data_LMS/CEL_files/a520780-00-982401-053118-4306645-94901.CEL	~/Documents/Analysis/LabData/LMS_SNP_EPIC_array_data/SNP_array_data_LMS/CEL_files/a520780-00-982412-053118-4306645-05348.CEL	10_CAD_9357_LMS_Rec5
~/Documents/Analysis/LabData/LMS_SNP_EPIC_array_data/SNP_array_data_LMS/CEL_files/a520780-00-982397-053118-4306645-00890.CEL	~/Documents/Analysis/LabData/LMS_SNP_EPIC_array_data/SNP_array_data_LMS/CEL_files/a520780-00-982412-053118-4306645-05340.CEL	10_CAD_9358_LMS_Rec6
