"","Cases","Bin_Size","Technology","Accuracy"
"1",9202,"50000","MethylMaster",1
"2",9203,"50000","MethylMaster",1
"3",9328,"50000","MethylMaster",0.35096019265018
"4",9337,"50000","MethylMaster",0.851468163785921
"5",9338,"50000","MethylMaster",0.250959938121917
"6",9350,"50000","MethylMaster",0.198457492874841
"7",9353,"50000","MethylMaster",0.482772105234808
"8",9354,"50000","MethylMaster",0.568466847124336
"9",9355,"50000","MethylMaster",0.430572853448187
"10",9356,"50000","MethylMaster",0.607324703082288
"11",9357,"50000","MethylMaster",0.564906435961642
"12",9358,"50000","MethylMaster",0.665595115485569
"13",9202,"10000","MethylMaster",0.999886962227654
"14",9203,"10000","MethylMaster",1
"15",9328,"10000","MethylMaster",0.341464728725935
"16",9337,"10000","MethylMaster",0.81518498768988
"17",9338,"10000","MethylMaster",0.256299399170707
"18",9350,"10000","MethylMaster",0.198422360776831
"19",9353,"10000","MethylMaster",0.303629666190278
"20",9354,"10000","MethylMaster",0.558511828256602
"21",9355,"10000","MethylMaster",0.346773726569043
"22",9356,"10000","MethylMaster",0.704965998595606
"23",9357,"10000","MethylMaster",0.506925012534204
"24",9358,"10000","MethylMaster",0.59056778959156
"25",9202,"1e+05","MethylMaster",1
"26",9203,"1e+05","MethylMaster",1
"27",9328,"1e+05","MethylMaster",0.348645465785936
"28",9337,"1e+05","MethylMaster",0.926417463488087
"29",9338,"1e+05","MethylMaster",0.269678305419363
"30",9350,"1e+05","MethylMaster",0.222406312891461
"31",9353,"1e+05","MethylMaster",0.486186847387764
"32",9354,"1e+05","MethylMaster",0.561178451159521
"33",9355,"1e+05","MethylMaster",0.417610659551363
"34",9356,"1e+05","MethylMaster",0.728512743821675
"35",9357,"1e+05","MethylMaster",0.718861925296442
"36",9358,"1e+05","MethylMaster",0.667055737737689
"37",9202,"1e+06","MethylMaster",1
"38",9203,"1e+06","MethylMaster",1
"39",9328,"1e+06","MethylMaster",0.358031701999802
"40",9337,"1e+06","MethylMaster",0.912312885633678
"41",9338,"1e+06","MethylMaster",0.276308288057494
"42",9350,"1e+06","MethylMaster",0.219523527719752
"43",9353,"1e+06","MethylMaster",0.50071534128812
"44",9354,"1e+06","MethylMaster",0.919128484626318
"45",9355,"1e+06","MethylMaster",0.384567508263876
"46",9356,"1e+06","MethylMaster",0.879036833209275
"47",9357,"1e+06","MethylMaster",0.424415514636603
"48",9358,"1e+06","MethylMaster",0.639314478919449
"49",9202,"50000","Sesame",0.999510395309862
"50",9203,"50000","Sesame",0.999998694036605
"51",9328,"50000","Sesame",0.264853186943905
"52",9337,"50000","Sesame",0.864362468486624
"53",9338,"50000","Sesame",0.287276853937437
"54",9350,"50000","Sesame",0.204078283529481
"55",9353,"50000","Sesame",0.498650674699894
"56",9354,"50000","Sesame",0.618254413056612
"57",9355,"50000","Sesame",0.642776059945384
"58",9356,"50000","Sesame",0.697701636356358
"59",9357,"50000","Sesame",0.468391890094765
"60",9358,"50000","Sesame",0.667081291930277
"61",9202,"10000","Sesame",0.999723560631668
"62",9203,"10000","Sesame",0.999036612267176
"63",9328,"10000","Sesame",0.263395928949322
"64",9337,"10000","Sesame",0.879358443925473
"65",9338,"10000","Sesame",0.275796568053444
"66",9350,"10000","Sesame",0.208273052936646
"67",9353,"10000","Sesame",0.497678797656735
"68",9354,"10000","Sesame",0.611229573514133
"69",9355,"10000","Sesame",0.631612550999932
"70",9356,"10000","Sesame",0.707561748255073
"71",9357,"10000","Sesame",0.534938815514331
"72",9358,"10000","Sesame",0.650398637867504
"73",9202,"1e+05","Sesame",0.999408848951851
"74",9203,"1e+05","Sesame",0.999860350456605
"75",9328,"1e+05","Sesame",0.263456788822614
"76",9337,"1e+05","Sesame",0.87169563809747
"77",9338,"1e+05","Sesame",0.238462279812112
"78",9350,"1e+05","Sesame",0.209977139610579
"79",9353,"1e+05","Sesame",0.478766673067204
"80",9354,"1e+05","Sesame",0.592467192589266
"81",9355,"1e+05","Sesame",0.610540851046365
"82",9356,"1e+05","Sesame",0.731183364474055
"83",9357,"1e+05","Sesame",0.397031609123438
"84",9358,"1e+05","Sesame",0.662585215400226
"85",9202,"1e+06","Sesame",0.999408848951851
"86",9203,"1e+06","Sesame",1
"87",9328,"1e+06","Sesame",0.248979120352235
"88",9337,"1e+06","Sesame",0.919507055235483
"89",9338,"1e+06","Sesame",0.263078391563497
