"","Case","Bin","Tech","val"
"1","9202","10000","MethylMaster",22.491173085322
"2","9202","50000","MethylMaster",22.5229325240083
"3","9202","1e+05","MethylMaster",22.0456731994869
"4","9202","1e+06","MethylMaster",23.1019288542854
"5","9202","10000","Sesame",15.6860161316442
"6","9202","50000","Sesame",13.7942143164812
"7","9202","1e+05","Sesame",11.9956858075676
"8","9202","1e+06","Sesame",14.1081718137428
"9","9202","10000","Conumee",22.6868748159267
"10","9202","50000","Conumee",22.6299507946747
"11","9202","1e+05","Conumee",22.5891668160338
"12","9202","1e+06","Conumee",22.45771616538
"13","9202","DEF","SNP",16.7
"14","9203","10000","MethylMaster",22.5265770497592
"15","9203","50000","MethylMaster",22.489958243405
"16","9203","1e+05","MethylMaster",22.0422022225813
"17","9203","1e+06","MethylMaster",24.5597391546416
"18","9203","10000","Sesame",25.0235625705298
"19","9203","50000","Sesame",24.5288764428388
"20","9203","1e+05","Sesame",27.9868226763695
"21","9203","1e+06","Sesame",24.7140880134906
"22","9203","10000","Conumee",22.1384604648403
"23","9203","50000","Conumee",22.1436845627614
"24","9203","1e+05","Conumee",22.1205849337764
"25","9203","1e+06","Conumee",23.7766873895118
"26","9203","DEF","SNP",21.4
"27","9327","DEF","SNP",42.1
"28","9328","10000","MethylMaster",21.0714721676423
"29","9328","50000","MethylMaster",21.6397747651708
"30","9328","1e+05","MethylMaster",21.5859746231339
"31","9328","1e+06","MethylMaster",20.2568203857954
"32","9328","10000","Sesame",20.8277648132664
"33","9328","50000","Sesame",20.8187402733118
"34","9328","1e+05","Sesame",20.2157698014184
"35","9328","1e+06","Sesame",19.1541817889292
"36","9328","10000","Conumee",21.4916923038979
"37","9328","50000","Conumee",21.5711776750364
"38","9328","1e+05","Conumee",21.4491904693669
"39","9328","1e+06","Conumee",21.4918298934225
"40","9328","DEF","SNP",22.3
"41","9337","10000","MethylMaster",23.0609386996163
"42","9337","50000","MethylMaster",23.1696239416513
"43","9337","1e+05","MethylMaster",25.8372564321702
"44","9337","1e+06","MethylMaster",23.9449312978191
"45","9337","10000","Sesame",21.6762380023401
"46","9337","50000","Sesame",25.6515656584469
"47","9337","1e+05","Sesame",26.8418129619624
"48","9337","1e+06","Sesame",19.873225963138
"49","9337","10000","Conumee",19.0453509394129
"50","9337","50000","Conumee",20.6501371536045
"51","9337","1e+05","Conumee",23.9603193879934
"52","9337","1e+06","Conumee",17.8956609250366
"53","9337","DEF","SNP",25.1
"54","9338","10000","MethylMaster",16.8319210804148
"55","9338","50000","MethylMaster",18.3441541466453
"56","9338","1e+05","MethylMaster",16.5318108025497
"57","9338","1e+06","MethylMaster",16.5377331221851
"58","9338","10000","Sesame",14.5853830305243
"59","9338","50000","Sesame",13.6653824484831
"60","9338","1e+05","Sesame",16.3563279289374
"61","9338","1e+06","Sesame",16.075232599725
"62","9338","10000","Conumee",15.4852536125818
"63","9338","50000","Conumee",16.9796357569747
"64","9338","1e+05","Conumee",15.6846307259221
"65","9338","1e+06","Conumee",15.1615110149061
"66","9338","DEF","SNP",16.8
"67","9350","10000","MethylMaster",22.7826091142218
"68","9350","50000","MethylMaster",22.7362715725319
"69","9350","1e+05","MethylMaster",27.0493677316021
"70","9350","1e+06","MethylMaster",25.5345029706817
"71","9350","10000","Sesame",28.6668508140242
"72","9350","50000","Sesame",28.2973292242622
"73","9350","1e+05","Sesame",26.8650908603213
"74","9350","1e+06","Sesame",25.568937977206
"75","9350","10000","Conumee",22.9076890991533
"76","9350","50000","Conumee",26.8937103491695
"77","9350","1e+05","Conumee",27.0252033457416
"78","9350","1e+06","Conumee",26.0434425609063
"79","9350","DEF","SNP",40.9
