"","Case","Bin","type","count","c_sq","chr_count","gi"
"1",9312,10000,"Conumee",6,36,5,7.2
"2",9312,10000,"MethylMaster",8,64,8,8
"3",9312,10000,"SNP",9,81,6,13.5
"4",9312,10000,"SeSAMe",10,100,8,12.5
"5",9312,50000,"Conumee",6,36,5,7.2
"6",9312,50000,"MethylMaster",8,64,6,10.6666666666667
"7",9312,50000,"SNP",9,81,6,13.5
"8",9312,50000,"SeSAMe",7,49,5,9.8
"9",9312,1e+05,"Conumee",6,36,5,7.2
"10",9312,1e+05,"MethylMaster",6,36,5,7.2
"11",9312,1e+05,"SNP",9,81,6,13.5
"12",9312,1e+05,"SeSAMe",3,9,3,3
"13",9312,1e+06,"Conumee",5,25,4,6.25
"14",9312,1e+06,"MethylMaster",1,1,1,1
"15",9312,1e+06,"SNP",9,81,6,13.5
"16",9312,1e+06,"SeSAMe",5,25,4,6.25
"17",9314,10000,"MethylMaster",1,1,1,1
"18",9314,10000,"SeSAMe",1,1,1,1
"19",9316,10000,"Conumee",2,4,2,2
"20",9316,10000,"MethylMaster",7,49,5,9.8
"21",9316,10000,"SNP",2,4,2,2
"22",9316,10000,"SeSAMe",5,25,5,5
"23",9316,50000,"Conumee",3,9,2,4.5
"24",9316,50000,"MethylMaster",6,36,4,9
"25",9316,50000,"SNP",2,4,2,2
"26",9316,50000,"SeSAMe",6,36,4,9
"27",9316,1e+05,"Conumee",4,16,3,5.33333333333333
"28",9316,1e+05,"MethylMaster",3,9,3,3
"29",9316,1e+05,"SNP",2,4,2,2
"30",9316,1e+05,"SeSAMe",4,16,4,4
"31",9316,1e+06,"Conumee",2,4,2,2
"32",9316,1e+06,"MethylMaster",2,4,2,2
"33",9316,1e+06,"SNP",2,4,2,2
"34",9316,1e+06,"SeSAMe",2,4,2,2
"35",9320,10000,"Conumee",1,1,1,1
"36",9320,10000,"MethylMaster",2,4,2,2
"37",9320,10000,"SeSAMe",4,16,4,4
"38",9320,50000,"Conumee",1,1,1,1
"39",9320,50000,"MethylMaster",1,1,1,1
"40",9320,50000,"SeSAMe",2,4,2,2
"41",9320,1e+05,"SeSAMe",1,1,1,1
"42",10067,10000,"Conumee",2,4,2,2
"43",10067,10000,"MethylMaster",5,25,4,6.25
"44",10067,10000,"SNP",1,1,1,1
"45",10067,10000,"SeSAMe",6,36,5,7.2
"46",10067,50000,"Conumee",2,4,2,2
"47",10067,50000,"MethylMaster",5,25,5,5
"48",10067,50000,"SNP",1,1,1,1
"49",10067,50000,"SeSAMe",3,9,3,3
"50",10067,1e+05,"Conumee",4,16,4,4
"51",10067,1e+05,"MethylMaster",4,16,4,4
"52",10067,1e+05,"SNP",1,1,1,1
"53",10067,1e+05,"SeSAMe",3,9,3,3
"54",10067,1e+06,"Conumee",6,36,4,9
"55",10067,1e+06,"MethylMaster",2,4,2,2
"56",10067,1e+06,"SNP",1,1,1,1
"57",10067,1e+06,"SeSAMe",2,4,2,2
"58",10069,10000,"Conumee",2,4,2,2
"59",10069,10000,"MethylMaster",3,9,3,3
"60",10069,10000,"SeSAMe",2,4,2,2
"61",10069,50000,"Conumee",1,1,1,1
"62",10069,50000,"MethylMaster",2,4,2,2
"63",10069,50000,"SeSAMe",1,1,1,1
"64",10069,1e+05,"Conumee",1,1,1,1
"65",10069,1e+05,"MethylMaster",2,4,1,4
"66",10069,1e+05,"SeSAMe",2,4,2,2
"67",10090,10000,"Conumee",2,4,2,2
"68",10090,10000,"MethylMaster",4,16,3,5.33333333333333
"69",10090,10000,"SeSAMe",3,9,2,4.5
"70",10090,50000,"Conumee",1,1,1,1
"71",10090,50000,"MethylMaster",4,16,4,4
"72",10090,50000,"SeSAMe",4,16,2,8
"73",10090,1e+05,"MethylMaster",1,1,1,1
"74",10090,1e+05,"SeSAMe",1,1,1,1
"75",10092,10000,"MethylMaster",1,1,1,1
"76",10092,10000,"SNP",1,1,1,1
"77",10092,50000,"SNP",1,1,1,1
"78",10092,1e+05,"SNP",1,1,1,1
"79",10092,1e+06,"SNP",1,1,1,1
