"","Case","Bin","type","count","c_sq","chr_count","gi"
"1",9202,10000,"Conumee",17,289,8,36.125
"2",9202,10000,"MethylMaster",19,361,9,40.1111111111111
"3",9202,10000,"SeSAMe",20,400,9,44.4444444444444
"4",9202,50000,"Conumee",14,196,8,24.5
"5",9202,50000,"MethylMaster",16,256,8,32
"6",9202,50000,"SeSAMe",15,225,9,25
"7",9202,1e+05,"Conumee",15,225,8,28.125
"8",9202,1e+05,"MethylMaster",16,256,8,32
"9",9202,1e+05,"SeSAMe",13,169,9,18.7777777777778
"10",9202,1e+06,"Conumee",12,144,8,18
"11",9202,1e+06,"MethylMaster",15,225,8,28.125
"12",9202,1e+06,"SNP",13,169,8,21.125
"13",9202,1e+06,"SeSAMe",9,81,7,11.5714285714286
"14",9203,10000,"Conumee",15,225,8,28.125
"15",9203,10000,"MethylMaster",17,289,9,32.1111111111111
"16",9203,10000,"SeSAMe",25,625,10,62.5
"17",9203,50000,"Conumee",13,169,8,21.125
"18",9203,50000,"MethylMaster",14,196,8,24.5
"19",9203,50000,"SeSAMe",18,324,9,36
"20",9203,1e+05,"Conumee",12,144,8,18
"21",9203,1e+05,"MethylMaster",15,225,8,28.125
"22",9203,1e+05,"SeSAMe",17,289,9,32.1111111111111
"23",9203,1e+06,"Conumee",11,121,8,15.125
"24",9203,1e+06,"MethylMaster",15,225,8,28.125
"25",9203,1e+06,"SNP",13,169,8,21.125
"26",9203,1e+06,"SeSAMe",14,196,9,21.7777777777778
"27",9328,10000,"Conumee",28,784,13,60.3076923076923
"28",9328,10000,"MethylMaster",34,1156,14,82.5714285714286
"29",9328,10000,"SeSAMe",34,1156,14,82.5714285714286
"30",9328,50000,"Conumee",28,784,13,60.3076923076923
"31",9328,50000,"MethylMaster",34,1156,14,82.5714285714286
"32",9328,50000,"SeSAMe",33,1089,13,83.7692307692308
"33",9328,1e+05,"Conumee",23,529,13,40.6923076923077
"34",9328,1e+05,"MethylMaster",27,729,13,56.0769230769231
"35",9328,1e+05,"SeSAMe",27,729,12,60.75
"36",9328,1e+06,"Conumee",16,256,12,21.3333333333333
"37",9328,1e+06,"MethylMaster",17,289,13,22.2307692307692
"38",9328,1e+06,"SNP",50,2500,19,131.578947368421
"39",9328,1e+06,"SeSAMe",17,289,11,26.2727272727273
"40",9337,10000,"Conumee",52,2704,16,169
"41",9337,10000,"MethylMaster",86,7396,17,435.058823529412
"42",9337,10000,"SeSAMe",74,5476,16,342.25
"43",9337,50000,"Conumee",60,3600,17,211.764705882353
"44",9337,50000,"MethylMaster",83,6889,18,382.722222222222
"45",9337,50000,"SeSAMe",76,5776,17,339.764705882353
"46",9337,1e+05,"Conumee",63,3969,16,248.0625
"47",9337,1e+05,"MethylMaster",75,5625,16,351.5625
"48",9337,1e+05,"SeSAMe",75,5625,17,330.882352941176
"49",9337,1e+06,"Conumee",16,256,11,23.2727272727273
"50",9337,1e+06,"MethylMaster",25,625,15,41.6666666666667
"51",9337,1e+06,"SNP",34,1156,16,72.25
"52",9337,1e+06,"SeSAMe",22,484,14,34.5714285714286
"53",9338,10000,"Conumee",31,961,14,68.6428571428571
"54",9338,10000,"MethylMaster",28,784,15,52.2666666666667
"55",9338,10000,"SeSAMe",22,484,13,37.2307692307692
"56",9338,50000,"Conumee",35,1225,17,72.0588235294118
"57",9338,50000,"MethylMaster",38,1444,17,84.9411764705882
"58",9338,50000,"SeSAMe",31,961,14,68.6428571428571
"59",9338,1e+05,"Conumee",38,1444,15,96.2666666666667
"60",9338,1e+05,"MethylMaster",30,900,14,64.2857142857143
"61",9338,1e+05,"SeSAMe",31,961,14,68.6428571428571
"62",9338,1e+06,"Conumee",12,144,10,14.4
"63",9338,1e+06,"MethylMaster",19,361,14,25.7857142857143
"64",9338,1e+06,"SNP",53,2809,19,147.842105263158
"65",9338,1e+06,"SeSAMe",18,324,13,24.9230769230769
"66",9350,10000,"Conumee",22,484,11,44
"67",9350,10000,"MethylMaster",32,1024,15,68.2666666666667
"68",9350,10000,"SeSAMe",33,1089,14,77.7857142857143
"69",9350,50000,"Conumee",26,676,11,61.4545454545455
"70",9350,50000,"MethylMaster",37,1369,13,105.307692307692
"71",9350,50000,"SeSAMe",34,1156,13,88.9230769230769
"72",9350,1e+05,"Conumee",22,484,11,44
"73",9350,1e+05,"MethylMaster",26,676,12,56.3333333333333
"74",9350,1e+05,"SeSAMe",27,729,12,60.75
"75",9350,1e+06,"Conumee",16,256,10,25.6
"76",9350,1e+06,"MethylMaster",18,324,10,32.4
"77",9350,1e+06,"SNP",48,2304,21,109.714285714286
"78",9350,1e+06,"SeSAMe",18,324,10,32.4
"79",9353,10000,"Conumee",30,900,13,69.2307692307692
"80",9353,10000,"MethylMaster",43,1849,14,132.071428571429
"81",9353,10000,"SeSAMe",43,1849,14,132.071428571429
"82",9353,50000,"Conumee",28,784,14,56
"83",9353,50000,"MethylMaster",38,1444,12,120.333333333333
"84",9353,50000,"SeSAMe",39,1521,14,108.642857142857
"85",9353,1e+05,"Conumee",24,576,13,44.3076923076923
"86",9353,1e+05,"MethylMaster",36,1296,13,99.6923076923077
"87",9353,1e+05,"SeSAMe",39,1521,14,108.642857142857
"88",9353,1e+06,"Conumee",14,196,11,17.8181818181818
"89",9353,1e+06,"MethylMaster",19,361,12,30.0833333333333
"90",9353,1e+06,"SNP",39,1521,18,84.5
"91",9353,1e+06,"SeSAMe",18,324,11,29.4545454545455
"92",9354,10000,"Conumee",17,289,12,24.0833333333333
"93",9354,10000,"MethylMaster",39,1521,15,101.4
"94",9354,10000,"SeSAMe",35,1225,14,87.5
"95",9354,50000,"Conumee",19,361,12,30.0833333333333
"96",9354,50000,"MethylMaster",34,1156,14,82.5714285714286
"97",9354,50000,"SeSAMe",32,1024,17,60.2352941176471
"98",9354,1e+05,"Conumee",20,400,11,36.3636363636364
"99",9354,1e+05,"MethylMaster",33,1089,15,72.6
"100",9354,1e+05,"SeSAMe",32,1024,14,73.1428571428571
"101",9354,1e+06,"Conumee",15,225,9,25
"102",9354,1e+06,"MethylMaster",32,1024,18,56.8888888888889
"103",9354,1e+06,"SNP",29,841,20,42.05
"104",9354,1e+06,"SeSAMe",22,484,14,34.5714285714286
"105",9355,10000,"Conumee",26,676,13,52
"106",9355,10000,"MethylMaster",39,1521,15,101.4
"107",9355,10000,"SeSAMe",31,961,13,73.9230769230769
"108",9355,50000,"Conumee",34,1156,14,82.5714285714286
"109",9355,50000,"MethylMaster",42,1764,16,110.25
"110",9355,50000,"SeSAMe",40,1600,15,106.666666666667
"111",9355,1e+05,"Conumee",32,1024,13,78.7692307692308
"112",9355,1e+05,"MethylMaster",39,1521,15,101.4
"113",9355,1e+05,"SeSAMe",36,1296,15,86.4
"114",9355,1e+06,"Conumee",11,121,6,20.1666666666667
"115",9355,1e+06,"MethylMaster",30,900,15,60
