"","Case","Bin","Tech","val"
"1","9312","DEF","SNP",1.45609418030167
"2","9316","DEF","SNP",1.46782373065578
"3","9320","DEF","SNP",1.46433712880053
"4","9322","DEF","SNP",1.56979766737759
"5","10067","DEF","SNP",1.37433268863663
"6","10069","DEF","SNP",1.68167020302868
"7","9314","DEF","SNP",1.40942550602659
"8","10090","DEF","SNP",1.44563707619725
"9","10092","DEF","SNP",1.46520861335165
"10","9312","50000","MethylMaster",1.77966732453781
"11","9316","50000","MethylMaster",4.42549555465289
"12","9320","50000","MethylMaster",0.00665611886304322
"13","9322","50000","MethylMaster",0
"14","10067","50000","MethylMaster",1.64263982057998
"15","10069","50000","MethylMaster",0.0364452575089061
"16","9314","50000","MethylMaster",0
"17","10090","50000","MethylMaster",0.133632610865989
"18","10092","50000","MethylMaster",0
"19","9312","10000","MethylMaster",2.96056975164014
"20","9316","10000","MethylMaster",4.45985822601843
"21","9320","10000","MethylMaster",0.00804450962528727
"22","9322","10000","MethylMaster",0
"23","10067","10000","MethylMaster",1.64732563940256
"24","10069","10000","MethylMaster",0.0505027139766271
"25","9314","10000","MethylMaster",0.00676840496593971
"26","10090","10000","MethylMaster",0.16834237992209
"27","10092","10000","MethylMaster",0.00381807459617112
"28","9312","1e+05","MethylMaster",2.9717743427696
"29","9316","1e+05","MethylMaster",4.36995992416313
"30","9320","1e+05","MethylMaster",0
"31","9322","1e+05","MethylMaster",0
"32","10067","1e+05","MethylMaster",1.60706230729748
"33","10069","1e+05","MethylMaster",0.065948561206592
"34","9314","1e+05","MethylMaster",0
"35","10090","1e+05","MethylMaster",0.0572711189425668
"36","10092","1e+05","MethylMaster",0
"37","9312","1e+06","MethylMaster",1.52722983846845
"38","9316","1e+06","MethylMaster",4.25194670937238
"39","9320","1e+06","MethylMaster",0
"40","9322","1e+06","MethylMaster",0
"41","10067","1e+06","MethylMaster",1.66606891469285
"42","10069","1e+06","MethylMaster",0
"43","9314","1e+06","MethylMaster",0
"44","10090","1e+06","MethylMaster",0
"45","10092","1e+06","MethylMaster",0
"46","9312","50000","Sesame",2.31080287490993
"47","9316","50000","Sesame",4.42723104310569
"48","9320","50000","Sesame",0.776753781663875
"49","9322","50000","Sesame",0
"50","10067","50000","Sesame",1.56107186329815
"51","10069","50000","Sesame",0.0260323267920758
"52","9314","50000","Sesame",0
"53","10090","50000","Sesame",0.0937163764514729
"54","10092","50000","Sesame",0
"55","9312","10000","Sesame",2.18983932974942
"56","9316","10000","Sesame",4.41438842855494
"57","9320","10000","Sesame",0.0260139653242451
"58","9322","10000","Sesame",0
"59","10067","10000","Sesame",1.65773857011939
"60","10069","10000","Sesame",0.0239497406487097
"61","9314","10000","Sesame",0.00676840496593971
"62","10090","10000","Sesame",0.126343559364208
"63","10092","10000","Sesame",0
"64","9312","1e+05","Sesame",1.39186173914965
"65","9316","1e+05","Sesame",4.38731480869118
"66","9320","1e+05","Sesame",0.777907360838454
"67","9322","1e+05","Sesame",0
"68","10067","1e+05","Sesame",1.56541058443016
"69","10069","1e+05","Sesame",0.172444345719371
"70","9314","1e+05","Sesame",0
"71","10090","1e+05","Sesame",0.0572711189425668
"72","10092","1e+05","Sesame",0
"73","9312","1e+06","Sesame",7.63580209465167
"74","9316","1e+06","Sesame",4.28665647842848
"75","9320","1e+06","Sesame",0
"76","9322","1e+06","Sesame",0
"77","10067","1e+06","Sesame",1.56193960752455
"78","10069","1e+06","Sesame",0
"79","9314","1e+06","Sesame",0
"80","10090","1e+06","Sesame",0
"81","10092","1e+06","Sesame",0
"82","9312","50000","Conumee",6.69544145627757
"83","9316","50000","Conumee",4.39947954145227
"84","9320","50000","Conumee",0.0425194670937238
"85","9322","50000","Conumee",0
"86","10067","50000","Conumee",1.51421367507241
"87","10069","50000","Conumee",0.141442308903612
"88","9314","50000","Conumee",0
"89","10090","50000","Conumee",0.0459904439993339
"90","10092","50000","Conumee",0
"91","9312","10000","Conumee",6.65837499803187
"92","9316","10000","Conumee",4.39330477766649
"93","9320","10000","Conumee",0.00624775843009819
"94","9322","10000","Conumee",0
"95","10067","10000","Conumee",1.59578163235425
"96","10069","10000","Conumee",0.101873172179657
"97","9314","10000","Conumee",0
"98","10090","10000","Conumee",0.0985757441193271
"99","10092","10000","Conumee",0
"100","9312","1e+05","Conumee",6.63122838352379
"101","9316","1e+05","Conumee",4.56955740982716
"102","9320","1e+05","Conumee",0
"103","9322","1e+05","Conumee",0
"104","10067","1e+05","Conumee",1.65582741552539
"105","10069","1e+05","Conumee",0.0607420958481769
"106","9314","1e+05","Conumee",0
"107","10090","1e+05","Conumee",0
"108","10092","1e+05","Conumee",0
"109","9312","1e+06","Conumee",7.04575705481801
"110","9316","1e+06","Conumee",4.32995944913911
"111","9320","1e+06","Conumee",0
"112","9322","1e+06","Conumee",0
"113","10067","1e+06","Conumee",4.82391212470011
"114","10069","1e+06","Conumee",0
"115","9314","1e+06","Conumee",0
"116","10090","1e+06","Conumee",0
"117","10092","1e+06","Conumee",0
