"","Case","Bin","Tech","val"
"1","9202","50000","MethylMaster",22.5229325240083
"2","9202","50000","Sesame",13.7942143164812
"3","9202","50000","Conumee",22.6299507946747
"4","9202","10000","MethylMaster",22.491173085322
"5","9202","10000","Sesame",15.6860161316442
"6","9202","10000","Conumee",22.6868748159267
"7","9202","1e+05","MethylMaster",22.0456731994869
"8","9202","1e+05","Sesame",11.9956858075676
"9","9202","1e+05","Conumee",22.5891668160338
"10","9202","1e+06","MethylMaster",23.1019288542854
"11","9202","1e+06","Sesame",14.1081718137428
"12","9202","1e+06","Conumee",22.45771616538
"13","9202","DEF","SNP",16.7
"14","9203","50000","MethylMaster",22.489958243405
"15","9203","50000","Sesame",24.5288764428388
"16","9203","50000","Conumee",22.1436845627614
"17","9203","10000","MethylMaster",22.5265770497592
"18","9203","10000","Sesame",25.0235625705298
"19","9203","10000","Conumee",22.1384604648403
"20","9203","1e+05","MethylMaster",22.0422022225813
"21","9203","1e+05","Sesame",27.9868226763695
"22","9203","1e+05","Conumee",22.1205849337764
"23","9203","1e+06","MethylMaster",24.5597391546416
"24","9203","1e+06","Sesame",24.7140880134906
"25","9203","1e+06","Conumee",23.7766873895118
"26","9203","DEF","SNP",21.4
"27","9327","50000","MethylMaster",21.4240105450833
"28","9327","50000","Sesame",23.6917677875104
"29","9327","50000","Conumee",21.8307541969857
"30","9327","10000","MethylMaster",20.4398308017327
"31","9327","10000","Sesame",20.9512071218743
"32","9327","10000","Conumee",21.8476144325949
"33","9327","1e+05","MethylMaster",21.2921733664413
"34","9327","1e+05","Sesame",22.0163434793443
"35","9327","1e+05","Conumee",22.0101515342228
"36","9327","1e+06","MethylMaster",25.6400091796787
"37","9327","1e+06","Sesame",22.8701472906204
"38","9327","1e+06","Conumee",22.0404611111459
"39","9327","DEF","SNP",42.1
"40","9328","50000","MethylMaster",21.6397747651708
"41","9328","50000","Sesame",20.8187402733118
"42","9328","50000","Conumee",21.5711776750364
"43","9328","10000","MethylMaster",21.0714721676423
"44","9328","10000","Sesame",20.8277648132664
"45","9328","10000","Conumee",21.4916923038979
"46","9328","1e+05","MethylMaster",21.5859746231339
"47","9328","1e+05","Sesame",20.2157698014184
"48","9328","1e+05","Conumee",21.4491904693669
"49","9328","1e+06","MethylMaster",20.2568203857954
"50","9328","1e+06","Sesame",19.1541817889292
"51","9328","1e+06","Conumee",21.4918298934225
"52","9328","DEF","SNP",22.3
"53","9337","50000","MethylMaster",23.1696239416513
"54","9337","50000","Sesame",25.6515656584469
"55","9337","50000","Conumee",20.6501371536045
"56","9337","10000","MethylMaster",23.0609386996163
"57","9337","10000","Sesame",21.6762380023401
"58","9337","10000","Conumee",19.0453509394129
"59","9337","1e+05","MethylMaster",25.8372564321702
"60","9337","1e+05","Sesame",26.8418129619624
"61","9337","1e+05","Conumee",23.9603193879934
"62","9337","1e+06","MethylMaster",23.9449312978191
"63","9337","1e+06","Sesame",19.873225963138
"64","9337","1e+06","Conumee",17.8956609250366
"65","9337","DEF","SNP",25.1
"66","9338","50000","MethylMaster",18.3441541466453
"67","9338","50000","Sesame",13.6653824484831
"68","9338","50000","Conumee",16.9796357569747
"69","9338","10000","MethylMaster",16.8319210804148
"70","9338","10000","Sesame",14.5853830305243
"71","9338","10000","Conumee",15.4852536125818
"72","9338","1e+05","MethylMaster",16.5318108025497
"73","9338","1e+05","Sesame",16.3563279289374
"74","9338","1e+05","Conumee",15.6846307259221
"75","9338","1e+06","MethylMaster",16.5377331221851
"76","9338","1e+06","Sesame",16.075232599725
"77","9338","1e+06","Conumee",15.1615110149061
"78","9338","DEF","SNP",16.8
"79","9350","50000","MethylMaster",22.7362715725319
"80","9350","50000","Sesame",28.2973292242622
"81","9350","50000","Conumee",26.8937103491695
"82","9350","10000","MethylMaster",22.7826091142218
"83","9350","10000","Sesame",28.6668508140242
"84","9350","10000","Conumee",22.9076890991533
"85","9350","1e+05","MethylMaster",27.0493677316021
"86","9350","1e+05","Sesame",26.8650908603213
"87","9350","1e+05","Conumee",27.0252033457416
"88","9350","1e+06","MethylMaster",25.5345029706817
"89","9350","1e+06","Sesame",25.568937977206
"90","9350","1e+06","Conumee",26.0434425609063
"91","9350","DEF","SNP",40.9
"92","9353","50000","MethylMaster",18.170555978783
"93","9353","50000","Sesame",17.6691216472117
"94","9353","50000","Conumee",16.3135920811433
"95","9353","10000","MethylMaster",25.3185278887472
"96","9353","10000","Sesame",17.7980634757581
"97","9353","10000","Conumee",16.0628588100249
"98","9353","1e+05","MethylMaster",17.9939426427023
"99","9353","1e+05","Sesame",18.2212820154137
"100","9353","1e+05","Conumee",15.7970585488057
"101","9353","1e+06","MethylMaster",17.1963105531437
"102","9353","1e+06","Sesame",16.2296437626094
"103","9353","1e+06","Conumee",17.634869005814
"104","9353","DEF","SNP",47.3
"105","9354","50000","MethylMaster",22.768395359664
"106","9354","50000","Sesame",20.4306666937967
"107","9354","50000","Conumee",15.3440581942655
"108","9354","10000","MethylMaster",22.9122686713728
"109","9354","10000","Sesame",15.5842581611881
"110","9354","10000","Conumee",16.2907058131088
"111","9354","1e+05","MethylMaster",24.5111088591567
"112","9354","1e+05","Sesame",21.7552158472354
"113","9354","1e+05","Conumee",15.4466234445304
"114","9354","1e+06","MethylMaster",43.6710003009663
"115","9354","1e+06","Sesame",26.206383684246
"116","9354","1e+06","Conumee",15.5677057665206
"117","9354","DEF","SNP",45.7
