"","Case","Bin","type","count","c_sq","chr_count","gi"
"1",9202,10000,"Conumee",17,289,8,36.125
"2",9202,10000,"MethylMaster",19,361,9,40.1111111111111
"3",9202,10000,"SeSAMe",20,400,9,44.4444444444444
"4",9202,50000,"Conumee",14,196,8,24.5
"5",9202,50000,"MethylMaster",16,256,8,32
"6",9202,50000,"SeSAMe",15,225,9,25
"7",9202,1e+05,"Conumee",15,225,8,28.125
"8",9202,1e+05,"MethylMaster",16,256,8,32
"9",9202,1e+05,"SeSAMe",13,169,9,18.7777777777778
"10",9202,1e+06,"Conumee",12,144,8,18
"11",9202,1e+06,"MethylMaster",15,225,8,28.125
"12",9202,1e+06,"SNP",13,169,8,21.125
"13",9202,1e+06,"SeSAMe",9,81,7,11.5714285714286
"14",9203,10000,"Conumee",15,225,8,28.125
"15",9203,10000,"MethylMaster",17,289,9,32.1111111111111
"16",9203,10000,"SeSAMe",25,625,10,62.5
"17",9203,50000,"Conumee",13,169,8,21.125
"18",9203,50000,"MethylMaster",14,196,8,24.5
"19",9203,50000,"SeSAMe",18,324,9,36
"20",9203,1e+05,"Conumee",12,144,8,18
"21",9203,1e+05,"MethylMaster",15,225,8,28.125
"22",9203,1e+05,"SeSAMe",17,289,9,32.1111111111111
"23",9203,1e+06,"Conumee",11,121,8,15.125
"24",9203,1e+06,"MethylMaster",15,225,8,28.125
"25",9203,1e+06,"SNP",13,169,8,21.125
"26",9203,1e+06,"SeSAMe",14,196,9,21.7777777777778
"27",9327,10000,"Conumee",33,1089,16,68.0625
"28",9327,10000,"MethylMaster",36,1296,17,76.2352941176471
"29",9327,10000,"SeSAMe",40,1600,17,94.1176470588235
"30",9327,50000,"Conumee",33,1089,15,72.6
"31",9327,50000,"MethylMaster",38,1444,15,96.2666666666667
"32",9327,50000,"SeSAMe",40,1600,16,100
"33",9327,1e+05,"Conumee",33,1089,15,72.6
"34",9327,1e+05,"MethylMaster",34,1156,16,72.25
"35",9327,1e+05,"SeSAMe",32,1024,16,64
"36",9327,1e+06,"Conumee",22,484,14,34.5714285714286
"37",9327,1e+06,"MethylMaster",33,1089,15,72.6
"38",9327,1e+06,"SNP",37,1369,18,76.0555555555556
"39",9327,1e+06,"SeSAMe",25,625,14,44.6428571428571
"40",9328,10000,"Conumee",28,784,13,60.3076923076923
"41",9328,10000,"MethylMaster",34,1156,14,82.5714285714286
"42",9328,10000,"SeSAMe",34,1156,14,82.5714285714286
"43",9328,50000,"Conumee",28,784,13,60.3076923076923
"44",9328,50000,"MethylMaster",34,1156,14,82.5714285714286
"45",9328,50000,"SeSAMe",33,1089,13,83.7692307692308
"46",9328,1e+05,"Conumee",23,529,13,40.6923076923077
"47",9328,1e+05,"MethylMaster",27,729,13,56.0769230769231
"48",9328,1e+05,"SeSAMe",27,729,12,60.75
"49",9328,1e+06,"Conumee",16,256,12,21.3333333333333
"50",9328,1e+06,"MethylMaster",17,289,13,22.2307692307692
"51",9328,1e+06,"SNP",50,2500,19,131.578947368421
"52",9328,1e+06,"SeSAMe",17,289,11,26.2727272727273
"53",9337,10000,"Conumee",52,2704,16,169
"54",9337,10000,"MethylMaster",86,7396,17,435.058823529412
"55",9337,10000,"SeSAMe",74,5476,16,342.25
"56",9337,50000,"Conumee",60,3600,17,211.764705882353
"57",9337,50000,"MethylMaster",83,6889,18,382.722222222222
"58",9337,50000,"SeSAMe",76,5776,17,339.764705882353
"59",9337,1e+05,"Conumee",63,3969,16,248.0625
"60",9337,1e+05,"MethylMaster",75,5625,16,351.5625
"61",9337,1e+05,"SeSAMe",75,5625,17,330.882352941176
"62",9337,1e+06,"Conumee",16,256,11,23.2727272727273
"63",9337,1e+06,"MethylMaster",25,625,15,41.6666666666667
"64",9337,1e+06,"SNP",34,1156,16,72.25
"65",9337,1e+06,"SeSAMe",22,484,14,34.5714285714286
"66",9338,10000,"Conumee",31,961,14,68.6428571428571
"67",9338,10000,"MethylMaster",28,784,15,52.2666666666667
"68",9338,10000,"SeSAMe",22,484,13,37.2307692307692
"69",9338,50000,"Conumee",35,1225,17,72.0588235294118
"70",9338,50000,"MethylMaster",38,1444,17,84.9411764705882
"71",9338,50000,"SeSAMe",31,961,14,68.6428571428571
"72",9338,1e+05,"Conumee",38,1444,15,96.2666666666667
"73",9338,1e+05,"MethylMaster",30,900,14,64.2857142857143
"74",9338,1e+05,"SeSAMe",31,961,14,68.6428571428571
"75",9338,1e+06,"Conumee",12,144,10,14.4
"76",9338,1e+06,"MethylMaster",19,361,14,25.7857142857143
"77",9338,1e+06,"SNP",53,2809,19,147.842105263158
"78",9338,1e+06,"SeSAMe",18,324,13,24.9230769230769
"79",9350,10000,"Conumee",22,484,11,44
"80",9350,10000,"MethylMaster",32,1024,15,68.2666666666667
"81",9350,10000,"SeSAMe",33,1089,14,77.7857142857143
"82",9350,50000,"Conumee",26,676,11,61.4545454545455
"83",9350,50000,"MethylMaster",37,1369,13,105.307692307692
"84",9350,50000,"SeSAMe",34,1156,13,88.9230769230769
"85",9350,1e+05,"Conumee",22,484,11,44
"86",9350,1e+05,"MethylMaster",26,676,12,56.3333333333333
"87",9350,1e+05,"SeSAMe",27,729,12,60.75
"88",9350,1e+06,"Conumee",16,256,10,25.6
"89",9350,1e+06,"MethylMaster",18,324,10,32.4
"90",9350,1e+06,"SNP",48,2304,21,109.714285714286
"91",9350,1e+06,"SeSAMe",18,324,10,32.4
"92",9353,10000,"Conumee",30,900,13,69.2307692307692
"93",9353,10000,"MethylMaster",43,1849,14,132.071428571429
"94",9353,10000,"SeSAMe",43,1849,14,132.071428571429
"95",9353,50000,"Conumee",28,784,14,56
"96",9353,50000,"MethylMaster",38,1444,12,120.333333333333
"97",9353,50000,"SeSAMe",39,1521,14,108.642857142857
"98",9353,1e+05,"Conumee",24,576,13,44.3076923076923
"99",9353,1e+05,"MethylMaster",36,1296,13,99.6923076923077
"100",9353,1e+05,"SeSAMe",39,1521,14,108.642857142857
"101",9353,1e+06,"Conumee",14,196,11,17.8181818181818
"102",9353,1e+06,"MethylMaster",19,361,12,30.0833333333333
"103",9353,1e+06,"SNP",39,1521,18,84.5
"104",9353,1e+06,"SeSAMe",18,324,11,29.4545454545455
"105",9354,10000,"Conumee",17,289,12,24.0833333333333
"106",9354,10000,"MethylMaster",39,1521,15,101.4
"107",9354,10000,"SeSAMe",35,1225,14,87.5
"108",9354,50000,"Conumee",19,361,12,30.0833333333333
"109",9354,50000,"MethylMaster",34,1156,14,82.5714285714286
"110",9354,50000,"SeSAMe",32,1024,17,60.2352941176471
"111",9354,1e+05,"Conumee",20,400,11,36.3636363636364
"112",9354,1e+05,"MethylMaster",33,1089,15,72.6
"113",9354,1e+05,"SeSAMe",32,1024,14,73.1428571428571
"114",9354,1e+06,"Conumee",15,225,9,25
"115",9354,1e+06,"MethylMaster",32,1024,18,56.8888888888889
