GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
9a9ec4ee-7535-4c73-8db6-adf3a7aa9828	1	62920	2092625	350	-0.7908
9a9ec4ee-7535-4c73-8db6-adf3a7aa9828	1	2096462	2109324	4	-4.7365
9a9ec4ee-7535-4c73-8db6-adf3a7aa9828	1	2109459	3343113	405	-1.1368
9a9ec4ee-7535-4c73-8db6-adf3a7aa9828	1	3345118	3362760	4	-5.1269
9a9ec4ee-7535-4c73-8db6-adf3a7aa9828	1	3364250	7468609	2809	-0.8847
9a9ec4ee-7535-4c73-8db6-adf3a7aa9828	1	7468786	7476683	11	-2.7495
9a9ec4ee-7535-4c73-8db6-adf3a7aa9828	1	7476823	10788003	1800	-0.7596
9a9ec4ee-7535-4c73-8db6-adf3a7aa9828	1	10798689	16604834	3206	0.1375
9a9ec4ee-7535-4c73-8db6-adf3a7aa9828	1	16605031	16863509	52	-0.158
9a9ec4ee-7535-4c73-8db6-adf3a7aa9828	1	16864367	16935737	53	-0.4513
9a9ec4ee-7535-4c73-8db6-adf3a7aa9828	1	16935752	16985328	20	-0.0866
9a9ec4ee-7535-4c73-8db6-adf3a7aa9828	1	16988207	24757617	4902	0.1252
9a9ec4ee-7535-4c73-8db6-adf3a7aa9828	1	24760503	26218910	768	0.2163
9a9ec4ee-7535-4c73-8db6-adf3a7aa9828	1	26219172	31148580	2590	0.1327
9a9ec4ee-7535-4c73-8db6-adf3a7aa9828	1	31150820	31152499	2	-2.3739
9a9ec4ee-7535-4c73-8db6-adf3a7aa9828	1	31152542	55014831	13314	0.1546
9a9ec4ee-7535-4c73-8db6-adf3a7aa9828	1	55015431	66030425	8342	0.1843
9a9ec4ee-7535-4c73-8db6-adf3a7aa9828	1	66030905	71556523	3612	0.2323
9a9ec4ee-7535-4c73-8db6-adf3a7aa9828	1	71556547	72303233	456	0.1757
9a9ec4ee-7535-4c73-8db6-adf3a7aa9828	1	72303253	72345465	45	-1.4499
9a9ec4ee-7535-4c73-8db6-adf3a7aa9828	1	72346221	78286867	3744	0.1556
