"","ID","chrom","loc.start","loc.end","num.mark","bstat","pval","seg.mean","seg.median"
"1","205243940107_R05C01","chr1",93709,1400000,58,16.0998967220231,3.06150623018916e-56,-0.584,-0.691
"2","205243940107_R05C01","chr1",1425000,2730000,80,29.5497096801028,8.93163657443239e-189,-0.122,-0.12
"3","205243940107_R05C01","chr1",2755000,249220311,3370,NA,NA,0.134,0.131
"4","205243940107_R05C01","chr10",80000,135482374,1818,NA,NA,0.017,0.027
"5","205243940107_R05C01","chr11",130000,2235000,129,24.4793868162794,1.84598691752189e-129,-0.319,-0.32
"6","205243940107_R05C01","chr11",2245000,78260000,1270,11.8310071506322,8.59080472446476e-30,-0.026,-0.022
"7","205243940107_R05C01","chr11",78285000,80800000,16,9.49802485018468,7.28096529545468e-20,0.191,0.2
"8","205243940107_R05C01","chr11",81410000,85405000,25,12.6561362939787,2.46158046337336e-34,0.462,0.463
"9","205243940107_R05C01","chr11",85435000,125275000,482,21.7419949726143,3.55324834340865e-102,0.206,0.203
"10","205243940107_R05C01","chr11",125340000,134893258,146,NA,NA,-0.075,-0.056
"11","205243940107_R05C01","chr12",182870,133375000,1884,14.0063955256502,6.34547625217295e-42,-0.006,0
"12","205243940107_R05C01","chr12",133390000,133795948,14,NA,NA,-0.382,-0.394
"13","205243940107_R05C01","chr13",19100000,22595000,58,15.6836471613248,3.6405636161732e-53,0.051,0.066
"14","205243940107_R05C01","chr13",22695000,37610000,190,37.0260780135,1.71110872925944e-297,0.348,0.369
"15","205243940107_R05C01","chr13",37750000,67230000,222,51.5373659164077,0,-0.357,-0.336
"16","205243940107_R05C01","chr13",67470000,114195000,407,16.2101675938316,1.18093265247122e-56,0.424,0.422
"17","205243940107_R05C01","chr13",114205000,115094939,32,NA,NA,0.036,0.052
"18","205243940107_R05C01","chr14",19210000,20035000,4,12.5554719756797,7.72993947444348e-34,-0.167,-0.163
"19","205243940107_R05C01","chr14",20245000,57635000,393,50.5345920302942,0,0.086,0.08
"20","205243940107_R05C01","chr14",57735000,107254770,871,NA,NA,-0.408,-0.396
"21","205243940107_R05C01","chr15",20185000,102430696,1224,NA,NA,-0.075,-0.07
"22","205243940107_R05C01","chr16",80000,31940000,713,36.238831530035,1.03600144627165e-284,-0.545,-0.541
"23","205243940107_R05C01","chr16",32125000,51185000,97,34.4467007609309,3.62621722048777e-257,0.053,0.091
"24","205243940107_R05C01","chr16",51315000,90222377,775,NA,NA,-0.541,-0.542
"25","205243940107_R05C01","chr17",15000,665000,25,17.1251038860269,2.4286564242169e-63,0.014,0.02
"26","205243940107_R05C01","chr17",685000,10345000,330,78.3715580032217,0,-0.509,-0.517
"27","205243940107_R05C01","chr17",10440000,22161503,198,49.5179840914418,0,0.514,0.482
"28","205243940107_R05C01","chr17",25291503,81122605,1328,NA,NA,-0.049,-0.056
"29","205243940107_R05C01","chr18",45000,78008624,650,NA,NA,-0.045,-0.038
"30","205243940107_R05C01","chr19",175000,44310000,1143,15.510616205933,1.26005416797732e-51,-0.08,-0.082
"31","205243940107_R05C01","chr19",44325000,44955000,19,8.61039548582019,1.132646885312e-15,0.217,0.228
"32","205243940107_R05C01","chr19",44985000,59099492,500,NA,NA,-0.037,-0.052
"33","205243940107_R05C01","chr2",30000,156125000,1724,30.3649360370857,1.71480548271147e-199,-0.047,-0.036
"34","205243940107_R05C01","chr2",156865000,174790000,175,25.1295649426546,1.56918567850543e-136,-0.347,-0.33
"35","205243940107_R05C01","chr2",174830000,243046238,884,NA,NA,-0.072,-0.065
"36","205243940107_R05C01","chr20",100000,62927760,986,NA,NA,0.236,0.246
"37","205243940107_R05C01","chr21",10843948,48099948,450,NA,NA,-0.142,-0.13
"38","205243940107_R05C01","chr22",16165000,51212283,787,NA,NA,-0.166,-0.158
"39","205243940107_R05C01","chr3",150000,186540000,1955,19.470681664461,1.33072122482785e-81,0.128,0.137
"40","205243940107_R05C01","chr3",186595000,188860000,34,16.2965098583449,5.96358883777784e-58,-0.298,-0.312
"41","205243940107_R05C01","chr3",188970000,191985000,28,9.50407073088372,1.90068086953467e-19,0.142,0.185
"42","205243940107_R05C01","chr3",192125000,197881215,125,NA,NA,-0.074,-0.071
"43","205243940107_R05C01","chr4",35000,190992138,1585,NA,NA,0.035,0.045
"44","205243940107_R05C01","chr5",35000,163680000,1612,41.8106376705638,0,0.149,0.158
"45","205243940107_R05C01","chr5",163815000,180797630,310,NA,NA,-0.159,-0.18
"46","205243940107_R05C01","chr6",130000,15035000,237,60.3556260337035,0,-1.037,-1.041
"47","205243940107_R05C01","chr6",15165000,57135000,834,31.2034045452044,6.60376314163652e-211,-0.39,-0.39
"48","205243940107_R05C01","chr6",57265000,73795000,52,6.67116352376028,1.07874852450359e-09,0.235,0.225
"49","205243940107_R05C01","chr6",73895000,74495000,15,8.22130438618683,1.05613536627415e-14,-0.028,-0.02
"50","205243940107_R05C01","chr6",74825000,85650000,58,30.7763777789392,1.54483207733527e-205,0.259,0.256
"51","205243940107_R05C01","chr6",85985000,116740000,243,55.0398962031595,0,-0.362,-0.353
"52","205243940107_R05C01","chr6",116820000,170977534,656,NA,NA,0.156,0.161
"53","205243940107_R05C01","chr7",40000,105000,3,5.08813780078886,2.35614230234383e-05,0.115,0.016
"54","205243940107_R05C01","chr7",130000,6830000,284,28.0891794889337,7.99806848852069e-171,-0.302,-0.3
"55","205243940107_R05C01","chr7",6875000,55715000,515,8.74146185503537,3.66787788081342e-16,-0.039,-0.025
"56","205243940107_R05C01","chr7",55865000,56535000,12,13.2430774708455,1.78786131987114e-37,-0.304,-0.281
"57","205243940107_R05C01","chr7",56715000,159044332,1212,NA,NA,0.081,0.087
"58","205243940107_R05C01","chr8",95000,143510000,1530,20.938808571195,1.64640020016482e-94,-0.052,-0.045
"59","205243940107_R05C01","chr8",143535000,146267011,129,NA,NA,-0.279,-0.279
"60","205243940107_R05C01","chr9",110000,975000,10,12.5436425643378,3.44911885964181e-34,-0.747,-0.744
"61","205243940107_R05C01","chr9",1010000,17225000,86,8.73218480090419,1.80233342538762e-16,-0.091,-0.092
"62","205243940107_R05C01","chr9",17680000,21980000,26,18.2683957396571,7.22845993299572e-72,-0.413,-0.343
"63","205243940107_R05C01","chr9",21995000,141081716,1016,NA,NA,-0.138,-0.128
