"","Sample","Chromosome","bp.Start","bp.End","Num.of.Markers","Mean"
"1","Sample.1","chr1",792994,248473211,230,-0.00169052319026016
"2","Sample.1","chr10",505000,133345233,132,0.00200947680973984
"3","Sample.1","chr11",530000,134538311,128,-9.05231902601621e-05
"4","Sample.1","chr12",505000,133132655,133,0.0200094768097398
"5","Sample.1","chr13",18704053,114177164,98,0.0242094768097398
"6","Sample.1","chr14",19805857,106441859,86,0.00730947680973984
"7","Sample.1","chr15",20232279,101490595,84,-0.00849052319026016
"8","Sample.1","chr16",505000,30500000,31,-0.0406905231902602
"9","Sample.1","chr16",31500000,35422504,5,-0.15299052319026
"10","Sample.1","chr16",46690341,90114173,44,-0.0154905231902602
"11","Sample.1","chr17",254094,83123721,82,-0.0276905231902602
"12","Sample.1","chr18",505000,80131643,75,0.0196094768097398
"13","Sample.1","chr19",530000,58303808,57,-0.0493905231902602
"14","Sample.1","chr2",505000,242091765,238,0.0166094768097398
"15","Sample.1","chr20",533168,64167084,62,-0.0233905231902602
"16","Sample.1","chr21",10569444,28500000,16,0.0844094768097398
"17","Sample.1","chr21",29500000,46349992,20,-0.00519052319026016
"18","Sample.1","chr22",16657005,50391917,36,-0.0356905231902602
"19","Sample.1","chr3",505000,198117780,194,0.0300094768097398
"20","Sample.1","chr4",505000,190061561,186,0.0450094768097398
"21","Sample.1","chr5",505000,181239130,179,0.0255094768097398
"22","Sample.1","chr6",530000,170372990,165,0.0132094768097398
"23","Sample.1","chr7",123923,159167987,155,0.00200947680973984
"24","Sample.1","chr8",530000,145039318,144,0.00700947680973984
"25","Sample.1","chr9",505000,138167359,107,-0.000890523190260162
"26","Sample.1","chrX",2568744,155515448,135,0.62550947680974
"27","Sample.1","chrY",4568744,20998668,9,-3.73639052319026
