Use In Export	File	CN State	Type	Chromosome	Cytoband Start	Cytoband End	Median BAF	Median Log2Ratio	Size (kbp)	Marker Count	Gene Count	Genes	OMIM ® Genes Count	OMIM ® Genes	DB Count Both	CytoRegions	Call	Segment Interpretation	Microarray Nomenclature	Curation By	Materially Modified Segment
true	Recentered_STT9337.RC.OSCHP	2.67	Gain	1	p35.3	p35.2	0.371431	0.37196242809295654	1812.552	123	9	MECR, PTPRU, LINC01756, LINC01648, MATN1, MATN1-AS1, LAPTM5, MIR4420, LINC01778	4	MECR (608205), PTPRU (602454), MATN1 (115437), LAPTM5 (601476)		CytoRegions Not Set			arr[GRCh37] 1p35.3p35.2(29,518,293_31,330,844)x2~3		false
true	Recentered_STT9337.RC.OSCHP	3.33	Gain	1	p35.2	p35.1	0.4758203	0.6029853224754333	1851.837	165	46	SDC3, PUM1, SNORD103A, SNORD103B, SNORD103C, NKAIN1, SNRNP40, ZCCHC17, FABP3, SERINC2, LDC1P, LINC01226, LOC105378626, TINAGL1, HCRTR1, PEF1, PEF1-AS1, COL16A1, ADGRB2, MIR4254, SPOCD1, PTP4A2, LOC128031832, KHDRBS1, TMEM39B, MIR5585, KPNA6, TXLNA, CCDC28B, IQCC, DCDC2B, TMEM234, EIF3I, MTMR9LP, FAM167B, LCK, HDAC1, MARCKSL1, FAM229A, TSSK3, BSDC1, ZBTB8B, ZBTB8A, ZBTB8OS, RBBP4, SYNC	29	SDC3 (186357), PUM1 (607204), NKAIN1 (612871), SNRNP40 (607797), ZCCHC17 (619744), FABP3 (134651), SERINC2 (614549), TINAGL1 (616064), HCRTR1 (602392), PEF1 (610033), COL16A1 (120326), ADGRB2 (602683), SPOCD1 (619038), PTP4A2 (601584), KHDRBS1 (602489), KPNA6 (610563), TXLNA (608676), CCDC28B (610162), TMEM234 (620289), EIF3I (603911), LCK (153390), HDAC1 (601241), MARCKSL1 (602940), TSSK3 (607660), BSDC1 (617518), ZBTB8A (618742), ZBTB8OS (615891), RBBP4 (602923), SYNC (611750)		CytoRegions Not Set			arr[GRCh37] 1p35.2p35.1(31,339,570_33,191,406)x3~4		false
true	Recentered_STT9337.RC.OSCHP	2.33	Gain	1	p35.1	p34.2	0.4152137	0.20741717517375946	8579.046	723	137	NHSL3, YARS1, S100PBP, FNDC5, HPCA, TMEM54, RNF19B, AK2, AZIN2, TRIM62, ZNF362, A3GALT2, PHC2, MIR3605, PHC2-AS1, ZSCAN20, CSMD2, HMGB4, CSMD2-AS1, C1orf94, MIR552, GJB5, GJB4, GJB3, GJA4, SMIM12, DLGAP3, GPR199P, TMEM35B, ZMYM6, ZMYM1, SFPQ, ZMYM4, ZMYM4-AS1, KIAA0319L, NCDN, TFAP2E-AS1, TFAP2E, PSMB2, C1orf216, CLSPN, AGO4, AGO1, AGO3, TEKT2, ADPRS, COL8A2, TRAPPC3, MAP7D1, THRAP3, SH3D21, EVA1B, STK40, LSM10, OSCP1, SNORA63C, MRPS15, CSF3R, GRIK3, MIR4255, LITATS1, ZC3H12A, MIR6732, MEAF6, MIR5581, SNIP1, DNALI1, GNL2, RSPO1, AIRIM, CDCA8, EPHA10, MANEAL, YRDC, C1orf122, MTF1, INPP5B, SF3A3, FHL3, UTP11, POU3F1, MIR3659HG, MIR3659, LINC01343, LINC01685, RRAGC, RRAGC-DT, MYCBP, GJA9-MYCBP, GJA9, RHBDL2, AKIRIN1, NDUFS5, MACF1, BMP8A, OXCT2P1, PPIEL, PABPC4, PABPC4-AS1, SNORA55, HEYL, NT5C1A, HPCAL4, PPIE, BMP8B, OXCT2, LOC101929536, LOC130932201, LINC02811, TRIT1, MYCL-AS1, MYCL, MFSD2A, CAP1, PPT1, RLF, TMCO2, ZMPSTE24, COL9A2, SMAP2, ZFP69B, ZFP69, EXO5-DT, EXO5, ZNF684, RIMS3, NFYC-AS1, NFYC, MIR30E, MIR30C1, KCNQ4, CITED4, CTPS1, SLFNL1-AS1, SLFNL1, SCMH1, SCMH1-DT	91	YARS1 (603623), S100PBP (611889), FNDC5 (611906), HPCA (142622), RNF19B (610872), AK2 (103020), AZIN2 (608353), TRIM62 (616755), A3GALT2 (619850), PHC2 (602979), ZSCAN20 (611315), CSMD2 (608398), HMGB4 (617285), GJB5 (604493), GJB4 (605425), GJB3 (603324), GJA4 (121012), DLGAP3 (611413), ZMYM6 (613567), SFPQ (605199), ZMYM4 (613568), KIAA0319L (613535), NCDN (608458), TFAP2E (614428), PSMB2 (602175), CLSPN (605434), AGO4 (607356), AGO1 (606228), AGO3 (607355), TEKT2 (608953), ADPRS (610624), COL8A2 (120252), TRAPPC3 (610955), THRAP3 (603809), STK40 (609437), LSM10 (617909), OSCP1 (608854), MRPS15 (611979), CSF3R (138971), GRIK3 (138243), ZC3H12A (610562), MEAF6 (611001), SNIP1 (608241), DNALI1 (602135), GNL2 (609365), RSPO1 (609595), AIRIM (614799), CDCA8 (609977), EPHA10 (611123), MANEAL (620919), YRDC (612276), MTF1 (600172), INPP5B (147264), SF3A3 (605596), FHL3 (602790), UTP11 (609440), POU3F1 (602479), RRAGC (608267), MYCBP (606535), GJA9 (611923), RHBDL2 (608962), AKIRIN1 (615164), NDUFS5 (603847), MACF1 (608271), BMP8A (620847), PABPC4 (603407), HEYL (609034), NT5C1A (610525), HPCAL4 (619211), PPIE (602435), BMP8B (602284), OXCT2 (610289), TRIT1 (617840), MYCL (164850), MFSD2A (614397), CAP1 (617801), PPT1 (600722), RLF (180610), ZMPSTE24 (606480), COL9A2 (120260), SMAP2 (616916), ZFP69 (617939), EXO5 (618601), RIMS3 (611600), NFYC (605344), MIR30E (619105), MIR30C1 (615151), KCNQ4 (603537), CITED4 (606815), CTPS1 (123860), SCMH1 (616396)		CytoRegions Not Set			arr[GRCh37] 1p35.1p34.2(33,230,951_41,809,996)x2~3		false
true	Recentered_STT9337.RC.OSCHP	3.67	Gain	1	p34.2	p34.2	0.4738399	0.6546904444694519	1485.486	111	24	FOXO6, FOXO6-AS1, EDN2, HIVEP3, LOC128125817, GUCA2B, GUCA2A, FOXJ3, RIMKLA, ZMYND12, CCDC30, PPCS, PPIH, YBX1, CLDN19, P3H1, C1orf50, TMEM269-DT, TMEM269, SVBP, ERMAP, ZNF691-DT, ZNF691, LOC339539	14	FOXO6 (611457), EDN2 (131241), HIVEP3 (606649), GUCA2B (601271), GUCA2A (139392), FOXJ3 (616035), RIMKLA (618949), PPCS (609853), PPIH (606095), YBX1 (154030), CLDN19 (610036), P3H1 (610339), SVBP (617853), ERMAP (609017)		CytoRegions Not Set			arr[GRCh37] 1p34.2(41,840,197_43,325,682)x3~4		false
true	Recentered_STT9337.RC.OSCHP	2.33	Gain	1	p34.2	p34.2	0.4595617	0.18732929229736328	446.798	38	10	LOC339539, SLC2A1, SLC2A1-DT, CFAP144, EBNA1BP2, MIR6733, CFAP57, TMEM125, C1orf210, TIE1	6	SLC2A1 (138140), CFAP144 (621114), EBNA1BP2 (614443), CFAP57 (614259), C1orf210 (620582), TIE1 (600222)		CytoRegions Not Set			arr[GRCh37] 1p34.2(43,326,089_43,772,886)x2~3		false
true	Recentered_STT9337.RC.OSCHP	2.67	Gain	1	p34.2	p31.3	0.4184143	0.2698110342025757	18327.902	1565	226	TIE1, MPL, CDC20-DT, CDC20, ELOVL1, MIR6734, MED8, SZT2, SZT2-AS1, MIR6735, HYI, HYI-AS1, PTPRF, KDM4A, KDM4A-AS1, ST3GAL3, ST3GAL3-AS1, MIR6079, ARTN, LOC101929609, IPO13, DPH2, ATP6V0B, B4GALT2, CCDC24, SLC6A9, KLF17, KLF18, DMAP1, ERI3, ERI3-IT1, SNORA110, RNF220, MIR5584, TMEM53, SNORD145, ARMH1, RNU5F-1, RNU5D-1, KIF2C, SNORD160, RPS8, SNORD55, SNORD46, SNORD38A, SNORD38B, BEST4, PLK3, DYNLT4, BTBD19, PTCH2, EIF2B3, HECTD3, UROD, ZSWIM5, LINC01144, HPDL, MUTYH, TOE1, TESK2, CCDC163, MMACHC, PRDX1, AKR1A1, NASP, CCDC17, GPBP1L1, RPS15AP10, TMEM69, IPP, MAST2, PIK3R3, P3R3URF-PIK3R3, LOC101929626, TSPAN1, P3R3URF, POMGNT1, LURAP1, RAD54L, LRRC41, UQCRH, NSUN4, FAAH, FAAHP1, LINC01398, DMBX1, TMEM275, MKNK1-AS1, KNCN, MKNK1, MOB3C, ATPAF1, TEX38, EFCAB14-AS1, EFCAB14, CYP4B1, CYP4Z2P, CYP4A11, CYP4X1, CYP4Z1, CYP4A22-AS1, CYP4A22, LINC00853, PDZK1IP1, TAL1, STIL, CMPK1, LINC01389, FOXE3, FOXD2-AS1, FOXD2, TRABD2B, SKINT1L, SLC5A9, SPATA6, AGBL4, BEND5, AGBL4-AS1, AGBL4-IT1, ELAVL4, DMRTA2, FAF1, CDKN2C, MIR4421, MIR6500, C1orf185, LINC01562, RNF11, TTC39A, TTC39A-AS1, EPS15, EPS15-AS1, OSBPL9, CALR4P, NRDC, MIR761, RAB3B, TXNDC12, KTI12, TXNDC12-AS1, BTF3L4, ZFYVE9, CC2D1B, ORC1, PRPF38A, TUT4, GPX7, SHISAL2A, COA7, ZYG11B, ZYG11A, ECHDC2, SCP2, PODN, SLC1A7, CPT2, CZIB, CZIB-DT, MAGOH, MAGOH-DT, LRP8, LRP8-DT, SLC25A3P1, DMRTB1, GLIS1, NDC1, YIPF1, DIO1, IFT25, LRRC42, LDLRAD1, TMEM59, TCEANC2, MIR4781, CDCP2, CYB5RL, MRPL37, SSBP3, SSBP3-AS1, LINC02784, ACOT11, FAM151A, MROH7-TTC4, MROH7, TTC4, PARS2, TTC22, CIMAP2, DHCR24, TMEM61, BSND, PCSK9, USP24, LOC100507634, MIR4422HG, MIR4422, LINC01753, LINC01755, LINC01767, PLPP3, LOC101929935, PRKAA2, FYB2, C8A, C8B, DAB1, DAB1-AS1, OMA1, TACSTD2, MYSM1, JUN, JUN-DT, LINC02777, LINC01358, HSD52, FGGY, MIR4711, LOC101926944, HOOK1, CYP2J2, C1orf87, LINC01748, LOC101926964, NFIA-AS2, NFIA, NFIA-AS1	139	TIE1 (600222), MPL (159530), CDC20 (603618), ELOVL1 (611813), MED8 (607956), SZT2 (615463), HYI (619128), PTPRF (179590), KDM4A (609764), ST3GAL3 (606494), ARTN (603886), IPO13 (610411), DPH2 (603456), ATP6V0B (603717), B4GALT2 (604013), SLC6A9 (601019), KLF17 (609602), KLF18 (621009), DMAP1 (605077), ERI3 (609917), RNF220 (616136), TMEM53 (619722), RNU5F-1 (620363), RNU5D-1 (620361), KIF2C (604538), RPS8 (600357), BEST4 (607336), PLK3 (602913), DYNLT4 (611713), PTCH2 (603673), EIF2B3 (606273), HECTD3 (618638), UROD (613521), ZSWIM5 (620132), HPDL (618994), MUTYH (604933), TOE1 (613931), TESK2 (604746), MMACHC (609831), PRDX1 (176763), AKR1A1 (103830), NASP (603185), IPP (147485), MAST2 (612257), PIK3R3 (606076), TSPAN1 (613170), POMGNT1 (606822), LURAP1 (616129), RAD54L (603615), LRRC41 (618753), UQCRH (613844), NSUN4 (615394), FAAH (602935), FAAHP1 (618375), DMBX1 (607410), KNCN (611455), MKNK1 (606724), MOB3C (620804), ATPAF1 (608917), TEX38 (621126), EFCAB14 (619559), CYP4B1 (124075), CYP4A11 (601310), CYP4X1 (614999), CYP4Z1 (618953), CYP4A22 (615341), PDZK1IP1 (607178), TAL1 (187040), STIL (181590), CMPK1 (191710), FOXE3 (601094), FOXD2 (602211), TRABD2B (614913), SLC5A9 (620216), SPATA6 (613947), AGBL4 (616476), BEND5 (621198), ELAVL4 (168360), DMRTA2 (614804), FAF1 (604460), CDKN2C (603369), C1orf185 (621135), RNF11 (612598), TTC39A (619885), EPS15 (600051), OSBPL9 (606737), NRDC (602651), RAB3B (179510), TXNDC12 (609448), ZFYVE9 (603755), ORC1 (601902), PRPF38A (617031), TUT4 (613692), GPX7 (615784), SHISAL2A (620218), COA7 (615623), ZYG11B (618673), ZYG11A (618675), ECHDC2 (620724), SCP2 (184755), PODN (608661), SLC1A7 (604471), CPT2 (600650), MAGOH (602603), LRP8 (602600), DMRTB1 (614805), GLIS1 (610378), NDC1 (610115), YIPF1 (617521), DIO1 (147892), IFT25 (620841), LRRC42 (620896), TMEM59 (617084), CDCP2 (612320), MRPL37 (611843), SSBP3 (607390), ACOT11 (606803), TTC4 (606753), PARS2 (612036), CIMAP2 (616446), DHCR24 (606418), BSND (606412), PCSK9 (607786), USP24 (610569), PLPP3 (607125), PRKAA2 (600497), FYB2 (618478), C8A (120950), C8B (120960), DAB1 (603448), OMA1 (617081), TACSTD2 (137290), MYSM1 (612176), JUN (165160), FGGY (611370), HOOK1 (607820), CYP2J2 (601258), C1orf87 (618860), NFIA (600727)		CytoRegions Not Set			arr[GRCh37] 1p34.2p31.3(43,778,495_62,106,396)x2~3		false
true	Recentered_STT9337.RC.OSCHP	1.67	Loss	1	p31.3	p31.3	0.41688475	-0.2422073781490326	4056.67	303	37	TM2D1, PATJ-DT, PATJ, MIR12132, MIR3116-1, MIR3116-2, L1TD1, KANK4, USP1, DOCK7, ANGPTL3, DOCK7-DT, ATG4C, LINC01739, LINC00466, FOXD3-AS1, FOXD3, MIR6068, ALG6, ITGB3BP, EFCAB7, DLEU2L, PGM1, ROR1, ROR1-AS1, UBE2U, CACHD1, MIR4794, RAVER2, JAK1, LINC01359, MIR3671, MIR101-1, AK4, DNAJC6, LEPR, LEPROT	21	TM2D1 (610080), PATJ (603199), KANK4 (614612), USP1 (603478), DOCK7 (615730), ANGPTL3 (604774), ATG4C (611339), FOXD3 (611539), ALG6 (604566), ITGB3BP (605494), EFCAB7 (617632), PGM1 (171900), ROR1 (602336), CACHD1 (620144), RAVER2 (609953), JAK1 (147795), MIR101-1 (612511), AK4 (103030), DNAJC6 (608375), LEPR (601007), LEPROT (613461)		CytoRegions Not Set			arr[GRCh37] 1p31.3(62,143,569_66,200,238)x1~2		false
true	Recentered_STT9337.RC.OSCHP	2.67	Gain	1	p31.3	p31.1	0.30109537	0.3316252529621124	9157.05	641	55	PDE4B, PDE4B-AS1, SGIP1, MIR3117, DYNLT5, INSL5, DNAI4, MIER1, SLC35D1, C1orf141, IL23R, IL12RB2, SERBP1, GADD45A, GNG12, GNG12-AS1, DIRAS3, WLS, MIR1262, RPE65, DEPDC1, DEPDC1-AS1, LINC01707, LINC02791, LINC01758, LRRC7, PIN1P1, LRRC7-AS1, LRRC40, SRSF11, ANKRD13C, ANKRD13C-DT, LINC03102, CTH, LINC01788, PTGER3, ZRANB2-AS1, ZRANB2, MIR186, ZRANB2-DT, NEGR1, NEGR1-IT1, LOC105378798, LINC02796, LINC01360, LINC02238, LRRIQ3, FPGT, FPGT-TNNI3K, TNNI3K, LRRC53, ERICH3, ERICH3-AS1, CRYZ, TYW3	32	PDE4B (600127), SGIP1 (611540), DYNLT5 (619994), INSL5 (606413), DNAI4 (619156), MIER1 (616848), SLC35D1 (610804), IL23R (607562), IL12RB2 (601642), SERBP1 (607378), GADD45A (126335), GNG12 (615405), GNG12-AS1 (615406), DIRAS3 (605193), WLS (611514), RPE65 (180069), DEPDC1 (612002), LRRC7 (614453), PIN1P1 (602051), SRSF11 (602010), ANKRD13C (615125), ANKRD13C-DT (604372), CTH (607657), PTGER3 (176806), ZRANB2 (604347), NEGR1 (613173), LRRIQ3 (617957), FPGT (603609), TNNI3K (613932), ERICH3 (620866), CRYZ (123691), TYW3 (611245)		CytoRegions Not Set			arr[GRCh37] 1p31.3p31.1(66,216,976_75,374,025)x2~3		false
true	Recentered_STT9337.RC.OSCHP	3.33	Gain	1	p31.1	p22.3	0.24635132	0.6311381459236145	10982.437	778	66	LHX8-AS1, LHX8, SLC44A5, ACADM, DLSTP1, RABGGTB, SNORD45C, SNORD45A, SNORD45B, MSH4, ASB17, LOC101927342, ST6GALNAC3, LINC02567, ST6GALNAC5, MIR7156, PIGK, AK5, ZZZ3, USP33, MIGA1, NEXN-AS1, NEXN, FUBP1, DNAJB4, GIPC2, MGC27382, PTGFR, IFI44L, IFI44, ADGRL4, LINC01781, ADGRL2, LOC101927434, MED28P8, LINC01362, LINC01361, LINC01712, LINC01725, LOC101927560, TTLL7, TTLL7-IT1, PRKACB, SAMD13, UOX, DNASE2B, RPF1, GNG5, SPATA1, CTBS, LINC01461, LINC01555, SSX2IP, LPAR3, MCOLN2, MCOLN3, DNAI3, MIR4423, SYDE2, C1orf52, BCL10, BCL10-AS1, DDAH1, CCN1, ZNHIT6, COL24A1	40	LHX8 (604425), SLC44A5 (620329), ACADM (607008), RABGGTB (179080), MSH4 (602105), ASB17 (619936), ST6GALNAC3 (610133), ST6GALNAC5 (610134), PIGK (605087), AK5 (608009), ZZZ3 (619892), USP33 (615146), MIGA1 (616773), NEXN-AS1 (618370), NEXN (613121), FUBP1 (603444), DNAJB4 (611327), GIPC2 (619089), PTGFR (600563), IFI44L (613975), IFI44 (610468), ADGRL4 (616419), ADGRL2 (607018), TTLL7 (618813), PRKACB (176892), SAMD13 (620800), DNASE2B (608057), GNG5 (600874), CTBS (600873), SSX2IP (608690), LPAR3 (605106), MCOLN2 (607399), MCOLN3 (607400), DNAI3 (617968), SYDE2 (620834), BCL10 (603517), DDAH1 (604743), CCN1 (602369), ZNHIT6 (620473), COL24A1 (610025)		CytoRegions Not Set			arr[GRCh37] 1p31.1p22.3(75,399,214_86,381,650)x3~4		false
true	Recentered_STT9337.RC.OSCHP	2.67	Gain	1	p22.3	p13.3	0.30520892	0.2597140371799469	23085.002	1808	164	COL24A1, LINC02795, ODF2L, MIR7856, CLCA2, CLCA1, CLCA4, CLCA4-AS1, CLCA3P, SH3GLB1, SELENOF, HS2ST1, LINC01140, LINC02801, LMO4, LINC01364, PKN2-AS1, PKN2, GTF2B, KYAT3, RBMXL1, GBP3, GBP1, GBP2, GBP7, GBP4, GBP5, LOC729930, GBP6, GBP1P1, LRRC8B, LOC128092251, LRRC8C-DT, LRRC8C, LRRC8D-DT, LRRC8D, GEMIN8P4, ZNF326, SNORD3G, BARHL2, LINC02609, LINC02788, LINC01763, ZNF644, HFM1, CDC7, TGFBR3, BRDT, EPHX4, SETSIP, BTBD8, C1orf146, GLMN, RPAP2, GFI1, EVI5, RPL5, DIPK1A, SNORD21, SNORA66, MTF2, TMED5, CCDC18, CCDC18-AS1, DR1, FNBP1L, BCAR3, BCAR3-AS1, MIR760, DNTTIP2, GCLM, ABCA4, ARHGAP29, ABCD3, F3, MIR12133, SLC44A3-AS1, MIR378G, SLC44A3, CNN3, CNN3-DT, ALG14, ALG14-AS1, TLCD4, TLCD4-RWDD3, RWDD3-DT, RWDD3, LINC01760, LINC01650, LINC01761, LINC02607, LINC02790, LINC01787, PTBP2, DPYD, DPYD-AS1, DPYD-AS2, LINC01930, MIR137HG, MIR2682, MIR137, LINC01776, SNX7-DT, SNX7, PLPPR5, PLPPR5-AS1, PLPPR4, LINC01708, PALMD, FRRS1, AGL, SLC35A3, MFSD14A, SASS6, TRMT13, LRRC39, DBT, RTCA-AS1, RTCA, MIR553, CDC14A, GPR88, LINC01349, VCAM1, EXTL2, SLC30A7, DPH5, DPH5-DT, S1PR1-DT, S1PR1, LINC01307, LINC01709, OLFM3, DNAJA1P5, COL11A1, RNPC3-DT, RNPC3, AMY2B, ACTG1P4, AMY2A, AMY1A, AMY1B, AMY1C, THAP3P1, LINC01676, LINC01677, LINC01661, PRMT6, NTNG1, VAV3, MIR7852, VAV3-AS1, SLC25A24, NBPF4, NBPF6, EEIG2, HENMT1, PRPF38B, FNDC7, STXBP3, AKNAD1, SPATA42, GPSM2, CLCC1	96	COL24A1 (610025), ODF2L (620130), CLCA2 (604003), CLCA1 (603906), CLCA4 (616857), CLCA3P (604337), SH3GLB1 (609287), SELENOF (606254), HS2ST1 (604844), LMO4 (603129), PKN2 (602549), GTF2B (189963), KYAT3 (610656), GBP3 (600413), GBP1 (600411), GBP2 (600412), GBP7 (612468), GBP4 (612466), GBP5 (611467), GBP6 (612467), LRRC8B (612888), LRRC8C (612889), LRRC8D (612890), ZNF326 (614601), BARHL2 (605212), ZNF644 (614159), HFM1 (615684), CDC7 (603311), TGFBR3 (600742), BRDT (602144), EPHX4 (617401), BTBD8 (617945), C1orf146 (618968), GLMN (601749), RPAP2 (611476), GFI1 (600871), EVI5 (602942), RPL5 (603634), DIPK1A (614542), SNORD21 (603635), MTF2 (609882), TMED5 (616876), CCDC18 (621137), DR1 (601482), FNBP1L (608848), BCAR3 (604704), DNTTIP2 (611199), GCLM (601176), ABCA4 (601691), ARHGAP29 (610496), ABCD3 (170995), F3 (134390), SLC44A3 (620328), CNN3 (602374), ALG14 (612866), RWDD3 (615875), PTBP2 (608449), DPYD (612779), MIR137 (614304), SNX7 (614904), PLPPR5 (617287), PLPPR4 (607813), PALMD (610182), FRRS1 (611578), AGL (610860), SLC35A3 (605632), MFSD14A (620347), SASS6 (609321), DBT (248610), RTCA (611286), CDC14A (603504), GPR88 (607468), VCAM1 (192225), EXTL2 (602411), SLC30A7 (611149), DPH5 (611075), S1PR1 (601974), OLFM3 (607567), COL11A1 (120280), RNPC3 (618016), AMY2B (104660), AMY2A (104650), AMY1A (104700), AMY1B (104701), AMY1C (104702), PRMT6 (608274), NTNG1 (608818), VAV3 (605541), SLC25A24 (608744), NBPF4 (613994), NBPF5P (613995), NBPF6 (613996), HENMT1 (612178), STXBP3 (608339), GPSM2 (609245), CLCC1 (617539)		CytoRegions Not Set			arr[GRCh37] 1p22.3p13.3(86,407,135_109,492,136)x2~3		false
