"","Chromosome","Start","End","Feature","205125590013_R05C01","205128000013_R03C01","205128000076_R04C01","205240110044_R02C01","205240110063_R03C01"
"chr1-0001","chr1",10001,177417,"chr1-0001",0.027,0.043,0.031,0.062,0.274
"chr1-0002","chr1",521369,600000,"chr1-0002",0.073,0.093,0.145,0.077,0.248
"chr1-0003","chr1",600001,750000,"chr1-0003",-0.035,-0.052,0.023,-0.133,-0.093
"chr1-0004","chr1",750001,825000,"chr1-0004",0.014,0.062,0.052,0.028,0.062
"chr1-0005","chr1",825001,900000,"chr1-0005",0.063,0.086,0.229,0.127,-0.043
"chr1-0006","chr1",900001,975000,"chr1-0006",0.067,0.07,0.257,0.146,-0.026
"chr1-0007","chr1",975001,1050000,"chr1-0007",0.093,0.177,0.269,0.199,0.131
"chr1-0008","chr1",1050001,1125000,"chr1-0008",0.109,0.143,0.248,0.175,0.049
"chr1-0009","chr1",1125001,1200000,"chr1-0009",0.107,0.164,0.256,0.225,0.099
"chr1-0010","chr1",1200001,1275000,"chr1-0010",0.093,0.131,0.241,0.161,0.063
"chr1-0011","chr1",1275001,1350000,"chr1-0011",0.122,0.094,0.227,0.129,0.035
"chr1-0012","chr1",1350001,1425000,"chr1-0012",0.109,0.131,0.225,0.121,0.011
"chr1-0013","chr1",1425001,1500000,"chr1-0013",0.098,0.108,0.208,0.161,0.057
"chr1-0014","chr1",1500001,1575000,"chr1-0014",0.111,0.14,0.243,0.236,0.2
"chr1-0015","chr1",1575001,1650000,"chr1-0015",0.189,0.128,0.259,0.177,0.134
"chr1-0016","chr1",1650001,1725000,"chr1-0016",0.136,0.142,0.254,0.194,0.152
"chr1-0017","chr1",1725001,1800000,"chr1-0017",0.089,0.062,0.161,0.156,0.233
"chr1-0018","chr1",1800001,1875000,"chr1-0018",0.089,0.093,0.204,0.118,-0.069
"chr1-0019","chr1",1875001,1950000,"chr1-0019",0.128,0.157,0.225,0.178,0.151
"chr1-0020","chr1",1950001,2025000,"chr1-0020",0.091,0.107,0.195,0.099,-0.046
"chr1-0021","chr1",2025001,2100000,"chr1-0021",0.093,0.042,0.151,0.043,0.003
"chr1-0022","chr1",2100001,2175000,"chr1-0022",0.111,0.061,0.22,0.097,-0.037
"chr1-0023","chr1",2175001,2250000,"chr1-0023",0.12,0.056,0.161,0.092,-0.033
"chr1-0024","chr1",2250001,2325000,"chr1-0024",0.109,0.082,0.184,0.109,0.005
"chr1-0025","chr1",2325001,2400000,"chr1-0025",0.066,0.041,0.157,0.034,-0.104
"chr1-0026","chr1",2400001,2475000,"chr1-0026",0.057,0.043,0.188,0.049,-0.22
"chr1-0027","chr1",2475001,2550000,"chr1-0027",0.133,0.049,0.22,0.065,-0.034
"chr1-0028","chr1",2550001,2634220,"chr1-0028",0.136,0.057,0.241,0.008,-0.123
"chr1-0029","chr1",2684221,2775000,"chr1-0029",0.098,-0.026,0.136,0.012,-0.102
"chr1-0030","chr1",2775001,2850000,"chr1-0030",0.039,-0.062,0.093,-0.093,-0.264
"chr1-0031","chr1",2850001,2925000,"chr1-0031",0.045,-0.131,0.07,-0.077,-0.326
"chr1-0032","chr1",2925001,3000000,"chr1-0032",0.019,-0.006,0.088,-0.078,-0.151
"chr1-0033","chr1",3000001,3075000,"chr1-0033",0.038,-0.046,0.029,-0.073,-0.241
"chr1-0034","chr1",3075001,3150000,"chr1-0034",0.035,-0.122,-0.031,-0.107,-0.24
"chr1-0035","chr1",3150001,3225000,"chr1-0035",-0.005,-0.068,0.02,-0.064,-0.193
"chr1-0036","chr1",3225001,3300000,"chr1-0036",0.047,-0.169,0.021,-0.134,-0.343
"chr1-0037","chr1",3300001,3375000,"chr1-0037",0.069,-0.016,0.084,0.02,-0.131
"chr1-0038","chr1",3375001,3450000,"chr1-0038",0.042,0.007,0.157,-0.026,-0.251
"chr1-0039","chr1",3450001,3525000,"chr1-0039",0.041,0,0.122,0,-0.169
"chr1-0040","chr1",3525001,3600000,"chr1-0040",0.05,0.042,0.142,0.097,0.049
"chr1-0041","chr1",3600001,3675000,"chr1-0041",0.036,-0.051,0.082,-0.042,-0.22
"chr1-0042","chr1",3675001,3750000,"chr1-0042",0.06,-0.014,0.132,0.073,-0.008
"chr1-0043","chr1",3750001,3825000,"chr1-0043",0.057,0.001,0.136,0.023,-0.034
"chr1-0044","chr1",3825001,3845268,"chr1-0044",0.008,-0.067,0.051,0.001,-0.097
"chr1-0045","chr1",3995269,4050000,"chr1-0045",-0.046,-0.077,-0.03,-0.095,-0.178
"chr1-0046","chr1",4050001,4125000,"chr1-0046",0.057,-0.052,-0.037,-0.054,0.013
"chr1-0047","chr1",4125001,4200000,"chr1-0047",-0.003,-0.053,-0.009,-0.014,-0.067
