Chrom	Chr	Start	End	Width	BAF.Value	BAF.Status	Start.FeatureName	End.FeatureName	Start.FeatureIdx	End.FeatureIdx	Features
chr1	1	887560	18136684	17249125	0.5	Hetero	S-tag021073	S-tag217475	435	1	435
chr1	1	18287884	19921747	1633864	0.447933113685361	Unbalanced	S-tag259909	S-tag285266	489	436	54
chr1	1	19942931	92573670	72630740	0.5	Hetero	S-tag312857	S-tag322543	2073	490	1584
chr1	1	93473744	94947655	1473912	0.436523694214913	Unbalanced	S-tag315615	S-tag285234	2099	2074	26
chr1	1	94995819	113191868	18196050	0.5	Hetero	S-tag121741	S-tag261394	2474	2100	375
chr1	1	113255212	114447914	1192703	0.454042467599114	Unbalanced	S-tag281309	S-tag071640	2522	2475	48
chr1	1	114475350	118994387	4519038	0.5	Hetero	S-tag175691	S-tag200680	2642	2523	120
chr1	1	118994444	119586687	592244	0.430040273295982	Unbalanced	S-tag028597	S-tag074187	2656	2643	14
chr1	1	119624163	188984321	69360159	0.5	Hetero	S-tag094677	S-tag271642	3677	2657	1021
chr1	1	189369841	190713980	1344140	0.44585638096992	Unbalanced	S-tag308275	S-tag259947	3724	3678	47
chr1	1	190733725	207598290	16864566	0.5	Hetero	S-tag253975	S-tag216738	4094	3725	370
chr1	1	207623829	209588509	1964681	0.445508288012611	Unbalanced	S-tag008298	S-tag167646	4139	4095	45
chr1	1	209632204	217988951	8356748	0.5	Hetero	S-tag011457	S-tag173760	4342	4140	203
chr1	1	218050263	218518742	468480	0.430937206022003	Unbalanced	S-tag172362	S-tag237328	4359	4343	17
chr1	1	218557310	228501996	9944687	0.5	Hetero	S-tag086831	S-tag124137	4638	4360	279
chr1	1	228507803	230255859	1748057	0.390530623654102	Unbalanced	S-tag052785	S-tag114051	4685	4639	47
chr1	1	230272063	249081330	18809268	0.5	Hetero	S-tag248404	S-tag147530	5178	4686	493
chr2	2	69431	34470602	34401172	0.467535173145915	Unbalanced	S-tag034365	S-tag090027	6008	5179	830
chr2	2	34501404	37536436	3035033	0.450392436496047	Unbalanced	S-tag002524	S-tag323008	6094	6009	86
chr2	2	37578208	77663218	40085011	0.470213272860924	Unbalanced	S-tag170036	S-tag309840	6936	6095	842
chr2	2	77848881	88428834	10579954	0.347961281813108	Unbalanced	S-tag019066	S-tag036667	7066	6937	130
chr2	2	88475047	98775298	10300252	0.366670255452872	Unbalanced	S-tag302505	S-tag271253	7144	7067	78
chr2	2	98781847	110382217	11600371	0.347716263511725	Unbalanced	S-tag120400	S-tag155393	7429	7145	285
chr2	2	110419226	112875039	2455814	0.372117807467779	Unbalanced	S-tag304210	S-tag277181	7483	7430	54
chr2	2	112934433	156346494	43412062	0.353574995655679	Unbalanced	S-tag320638	S-tag056465	8446	7484	963
chr2	2	156546655	174763936	18217282	0.5	Hetero	S-tag231255	S-tag178001	8727	8447	281
chr2	2	174818970	175336837	517868	0.443875559351661	Unbalanced	S-tag031550	S-tag063264	8738	8728	11
chr2	2	175570297	191979359	16409063	0.35357406336282	Unbalanced	S-tag287030	S-tag295012	9074	8739	336
chr2	2	191996518	196935811	4939294	0.37007046469207	Unbalanced	S-tag112955	S-tag138839	9177	9075	103
chr2	2	196945439	197988554	1043116	0.363273012638092	Unbalanced	S-tag162898	S-tag206090	9187	9178	10
chr2	2	198040055	243035730	44995676	0.354343940899941	Unbalanced	S-tag047859	S-tag042804	10370	9188	1183
chr3	3	96855	1252668	1155814	0.452655454887698	Unbalanced	S-tag068152	S-tag005846	10400	10371	30
chr3	3	1331135	1953413	622279	0.5	Hetero	S-tag126550	S-tag199387	10413	10401	13
chr3	3	1986399	3943186	1956788	0.352917146869004	Unbalanced	S-tag023950	S-tag319935	10477	10414	64
chr3	3	3992774	89201325	85208552	0.5	Hetero	S-tag155925	S-tag066555	12578	10478	2101
chr3	3	89229822	101977688	12747867	0.464777344657529	Unbalanced	S-tag164431	S-tag276494	12733	12579	155
chr3	3	101988001	102720516	732516	0.438828441404527	Unbalanced	S-tag274398	S-tag259662	12764	12734	31
chr3	3	102724770	109555870	6831101	0.5	Hetero	S-tag300245	S-tag079947	12916	12765	152
chr3	3	109636271	111077048	1440778	0.437817646691576	Unbalanced	S-tag032413	S-tag000382	12956	12917	40
chr3	3	111257405	136153468	24896064	0.470322651310444	Unbalanced	S-tag211187	S-tag127888	13496	12957	540
chr3	3	136314119	137032292	718174	0.424295242542401	Unbalanced	S-tag135205	S-tag055735	13516	13497	20
chr3	3	137050194	147960665	10910472	0.5	Hetero	S-tag063894	S-tag017398	13781	13517	265
chr3	3	148037176	150331588	2294413	0.431204836368561	Unbalanced	S-tag045088	S-tag275575	13831	13782	50
chr3	3	150378858	172911361	22532504	0.46901893096205	Unbalanced	S-tag088686	S-tag127491	14319	13832	488
