seqnames,start,end,width,strand,freq,type,pvalue
1,747994,38525000,37777007,*,11,both,0.552941176470588
1,38690000,208295000,169605001,*,9,both,0.0952380952380952
1,208480000,248923211,40443212,*,7,both,0.435294117647059
2,110000,46830000,46720001,*,7,loss,0.223529411764706
2,46880000,49160000,2280001,*,3,loss,0.435294117647059
2,56860000,60540000,3680001,*,4,loss,0.317647058823529
2,66330000,66700000,370001,*,4,both,0.694117647058824
2,81595000,86795000,5200001,*,4,both,0.694117647058824
2,87425000,90078252,2653253,*,4,loss,0.317647058823529
2,113865000,179930000,66065001,*,10,loss,0.0588235294117647
2,180260000,181790000,1530001,*,4,loss,0.317647058823529
2,181900000,200815000,18915001,*,4,loss,0.317647058823529
2,200840000,201305000,465001,*,4,loss,0.317647058823529
2,201545000,223720000,22175001,*,4,loss,0.317647058823529
2,223890000,233555000,9665001,*,5,loss,0.223529411764706
2,233670000,242111765,8441766,*,5,loss,0.223529411764706
3,115000,186810000,186695001,*,7,both,0.285714285714286
3,186875000,189220000,2345001,*,3,loss,0.435294117647059
3,189350000,198097780,8747781,*,5,both,0.285714285714286
4,110000,505000,395001,*,1,loss,0.694117647058824
4,10525000,49158462,38633463,*,2,gain,0.476190476190476
4,68520000,70435000,1915001,*,1,loss,0.694117647058824
4,92750000,190066561,97316562,*,2,loss,0.552941176470588
5,50000,142730000,142680001,*,9,both,0.0952380952380952
5,154755000,168915000,14160001,*,2,both,0.603174603174603
5,175455000,181369130,5914131,*,3,both,0.694117647058824
6,140000,15035000,14895001,*,10,loss,0.0705882352941176
6,15165000,57881944,42716945,*,9,both,0.317647058823529
6,60793482,73035000,12241519,*,5,gain,0.238095238095238
6,73605000,84940000,11335001,*,6,gain,0.174603174603175
6,85275000,116330000,31055001,*,7,loss,0.152941176470588
6,116460000,170662990,54202991,*,7,both,0.174603174603175
7,50000,159247987,159197988,*,9,loss,0.188235294117647
8,195000,43676872,43481873,*,3,both,0.552941176470588
8,46063633,48530000,2466368,*,2,both,0.603174603174603
8,51020000,53385000,2365001,*,2,both,0.603174603174603
8,53630000,145039318,91409319,*,8,both,0.435294117647059
9,215000,31100000,30885001,*,9,loss,0.0705882352941176
9,32465000,39479735,7014736,*,2,loss,0.552941176470588
9,68460276,68835000,374725,*,2,both,0.603174603174603
9,92685000,94020000,1335001,*,1,gain,0.603174603174603
9,94170000,95415000,1245001,*,1,gain,0.603174603174603
9,95475000,95945000,470001,*,1,loss,0.694117647058824
9,112970000,138187359,25217360,*,4,loss,0.317647058823529
10,125000,133625233,133500234,*,6,both,0.435294117647059
11,145000,4225000,4080001,*,5,loss,0.223529411764706
11,4450000,5480000,1030001,*,3,loss,0.435294117647059
11,5550000,6710000,1160001,*,3,loss,0.435294117647059
11,6765000,8295000,1530001,*,3,loss,0.435294117647059
11,8460000,18230000,9770001,*,4,both,0.694117647058824
11,55167537,56615000,1447464,*,3,both,0.694117647058824
11,62760000,62840000,80001,*,3,both,0.694117647058824
11,71097848,134993311,63895464,*,9,both,0.435294117647059
12,70000,8645000,8575001,*,8,loss,0.117647058823529
12,8765000,9710000,945001,*,3,both,0.694117647058824
12,9810000,10190000,380001,*,4,both,0.694117647058824
12,10215000,13070000,2855001,*,3,both,0.694117647058824
12,13115000,13825000,710001,*,3,both,0.694117647058824
12,14210000,27395000,13185001,*,3,both,0.694117647058824
12,27490000,27565000,75001,*,3,both,0.476190476190476
12,27660000,29260000,1600001,*,3,gain,0.333333333333333
12,29450000,32710000,3260001,*,3,gain,0.333333333333333
12,32820000,38720000,5900001,*,3,gain,0.333333333333333
12,54615000,55565000,950001,*,1,loss,0.694117647058824
12,71995000,75000000,3005001,*,1,loss,0.694117647058824
12,75265000,125130000,49865001,*,1,loss,0.694117647058824
12,125170000,130745000,5575001,*,1,loss,0.694117647058824
12,130795000,133222655,2427656,*,5,loss,0.223529411764706
13,18679053,66625000,47945948,*,11,both,0.152941176470588
13,67040000,114332164,47292165,*,9,gain,0.0793650793650794
14,19770857,38325000,18554144,*,8,both,0.223529411764706
14,57330000,106751859,49421860,*,12,loss,0.0235294117647059
15,20232279,35035000,14802722,*,6,both,0.694117647058824
15,35130000,39880000,4750001,*,3,both,0.476190476190476
15,39950000,45665000,5715001,*,2,both,0.603174603174603
15,45890000,51500000,5610001,*,2,both,0.603174603174603
15,51650000,64065000,12415001,*,2,both,0.603174603174603
16,40000,33865870,33825871,*,7,loss,0.152941176470588
16,35350000,90149173,54799174,*,13,both,0.552941176470588
17,785000,22586840,21801841,*,10,both,0.0634920634920635
17,32955000,34860000,1905001,*,1,loss,0.694117647058824
17,40620000,41395000,775001,*,1,gain,0.603174603174603
17,41920000,42875000,955001,*,1,loss,0.694117647058824
17,46015000,46790000,775001,*,2,gain,0.476190476190476
17,54710000,56185000,1475001,*,3,gain,0.333333333333333
17,59590000,59925000,335001,*,1,gain,0.603174603174603
17,60940000,63075000,2135001,*,2,gain,0.476190476190476
17,67730000,74700000,6970001,*,7,gain,0.0952380952380952
17,75475000,75905000,430001,*,1,loss,0.694117647058824
17,77315000,80370000,3055001,*,3,loss,0.552941176470588
17,80735000,83168721,2433722,*,1,loss,0.694117647058824
18,135000,80206643,80071644,*,7,both,0.174603174603175
19,4125000,18045000,13920001,*,1,loss,0.694117647058824
19,18120000,19695000,1575001,*,1,gain,0.603174603174603
19,29975000,32370000,2395001,*,3,gain,0.333333333333333
19,34455000,58588808,24133809,*,6,loss,0.223529411764706
20,178168,64292084,64113917,*,9,both,0.0952380952380952
21,10569444,46679992,36110549,*,6,loss,0.188235294117647
22,31365000,50769234,19404235,*,3,both,0.694117647058824
X,2528744,42345000,39816257,*,13,both,0.188235294117647
X,43210000,63011271,19801272,*,13,gain,0
X,63670000,137565000,73895001,*,12,both,0.223529411764706
X,138150000,152870000,14720001,*,11,gain,0.0158730158730159
X,152950000,154595000,1645001,*,11,gain,0.0158730158730159
X,154700000,155645448,945449,*,11,gain,0.0158730158730159
Y,4728744,21244771,16516028,*,13,loss,0
