"","ID","chrom","loc.start","loc.end","num.mark","bstat","pval","seg.mean","seg.median"
"1","16fbdec6-fd39-4852-a162-893e597529f3_noid","chr1",560684,3075000,45,6.98794211270451,1.13816062408675e-10,0.049,0.036
"2","16fbdec6-fd39-4852-a162-893e597529f3_noid","chr1",3125000,3822634,15,20.0523654494712,1.06745803509469e-86,-0.27,-0.264
"3","16fbdec6-fd39-4852-a162-893e597529f3_noid","chr1",4072634,185525000,1097,22.0747205897955,3.37588457432253e-105,0.045,0.038
"4","16fbdec6-fd39-4852-a162-893e597529f3_noid","chr1",186025000,199425000,22,13.2508022468812,9.12974544041077e-38,-0.603,-0.544
"5","16fbdec6-fd39-4852-a162-893e597529f3_noid","chr1",200025000,249195311,329,NA,NA,-0.03,-0.021
"6","16fbdec6-fd39-4852-a162-893e597529f3_noid","chr10",105000,88850000,447,4.40833561055881,0.00065166860967455,-0.467,-0.419
"7","16fbdec6-fd39-4852-a162-893e597529f3_noid","chr10",89050000,90850000,11,8.1637632719814,4.05721934924378e-14,-0.749,-0.735
"8","16fbdec6-fd39-4852-a162-893e597529f3_noid","chr10",90975000,135462374,338,NA,NA,-0.4,-0.357
"9","16fbdec6-fd39-4852-a162-893e597529f3_noid","chr11",130000,20675000,193,9.04018421588486,1.72303484137184e-17,-0.083,-0.049
"10","16fbdec6-fd39-4852-a162-893e597529f3_noid","chr11",21525000,31650000,24,8.34671659164509,4.9143090597711e-15,-0.348,-0.401
"11","16fbdec6-fd39-4852-a162-893e597529f3_noid","chr11",31825000,48125000,89,12.7296260781914,3.48421780676086e-35,-0.042,-0.002
"12","16fbdec6-fd39-4852-a162-893e597529f3_noid","chr11",48550000,56425000,15,14.2731355535391,6.83943472804447e-44,-0.815,-0.684
"13","16fbdec6-fd39-4852-a162-893e597529f3_noid","chr11",56800000,96075000,322,11.638694128696,4.74275632795392e-29,-0.042,-0.004
"14","16fbdec6-fd39-4852-a162-893e597529f3_noid","chr11",96193792,107125000,27,11.6117190862578,5.22796917734428e-29,-0.438,-0.389
"15","16fbdec6-fd39-4852-a162-893e597529f3_noid","chr11",107450000,134873258,211,NA,NA,-0.065,-0.027
"16","16fbdec6-fd39-4852-a162-893e597529f3_noid","chr12",172870,133770948,818,NA,NA,-0.186,-0.127
"17","16fbdec6-fd39-4852-a162-893e597529f3_noid","chr13",19110000,54225000,224,11.0866016877582,2.26282910536769e-26,-0.557,-0.534
"18","16fbdec6-fd39-4852-a162-893e597529f3_noid","chr13",54800000,95300000,62,11.6381600794712,3.36148547903382e-29,-1.033,-0.964
"19","16fbdec6-fd39-4852-a162-893e597529f3_noid","chr13",95375000,115079939,130,NA,NA,-0.457,-0.426
"20","16fbdec6-fd39-4852-a162-893e597529f3_noid","chr14",19325000,39700000,92,8.45620864547789,2.14400334765583e-15,-0.16,-0.088
"21","16fbdec6-fd39-4852-a162-893e597529f3_noid","chr14",39850000,53300000,39,15.820480417729,5.92970625255151e-54,-0.494,-0.529
"22","16fbdec6-fd39-4852-a162-893e597529f3_noid","chr14",53425000,107119770,381,NA,NA,-0.077,-0.044
"23","16fbdec6-fd39-4852-a162-893e597529f3_noid","chr15",20275000,102410696,549,NA,NA,0.056,0.116
"24","16fbdec6-fd39-4852-a162-893e597529f3_noid","chr16",105000,90222377,609,NA,NA,0.008,0.026
"25","16fbdec6-fd39-4852-a162-893e597529f3_noid","chr17",25000,2325000,37,8.02120858595052,1.14995739359804e-13,0.057,0.08
"26","16fbdec6-fd39-4852-a162-893e597529f3_noid","chr17",2400000,29050000,234,26.2172446702425,9.3383833852322e-149,-0.282,-0.28
"27","16fbdec6-fd39-4852-a162-893e597529f3_noid","chr17",29175000,80525000,517,13.1227377208756,6.14311601403731e-37,0.114,0.143
"28","16fbdec6-fd39-4852-a162-893e597529f3_noid","chr17",80575000,81122605,11,NA,NA,-0.232,-0.231
"29","16fbdec6-fd39-4852-a162-893e597529f3_noid","chr18",80000,77983624,227,NA,NA,-0.117,-0.062
"30","16fbdec6-fd39-4852-a162-893e597529f3_noid","chr19",180000,325000,2,8.65074764364782,6.69503807384363e-16,-0.3,-0.298
"31","16fbdec6-fd39-4852-a162-893e597529f3_noid","chr19",375000,32450000,336,33.9163459077526,2.31087334384713e-249,0.036,0.068
"32","16fbdec6-fd39-4852-a162-893e597529f3_noid","chr19",33100000,59084492,366,NA,NA,-0.284,-0.268
"33","16fbdec6-fd39-4852-a162-893e597529f3_noid","chr2",130000,209225000,974,10.7172391845436,2.17355851486019e-24,-0.127,-0.08
"34","16fbdec6-fd39-4852-a162-893e597529f3_noid","chr2",209775000,215475000,11,13.2895396306493,4.17368818751895e-38,-0.461,-0.504
"35","16fbdec6-fd39-4852-a162-893e597529f3_noid","chr2",215950000,243026238,216,NA,NA,-0.027,-0.002
"36","16fbdec6-fd39-4852-a162-893e597529f3_noid","chr20",155000,62907760,351,NA,NA,-0.011,0.008
"37","16fbdec6-fd39-4852-a162-893e597529f3_noid","chr21",10848948,32125000,30,11.1354314959024,8.96175745516567e-27,-0.462,-0.332
"38","16fbdec6-fd39-4852-a162-893e597529f3_noid","chr21",32575000,48084948,123,NA,NA,-0.029,-0.013
"39","16fbdec6-fd39-4852-a162-893e597529f3_noid","chr22",16373925,51197283,291,NA,NA,0.027,0.038
"40","16fbdec6-fd39-4852-a162-893e597529f3_noid","chr3",155000,73900000,396,18.2700935316275,4.26662295325628e-72,-0.061,-0.035
"41","16fbdec6-fd39-4852-a162-893e597529f3_noid","chr3",74750000,98225000,32,12.8696353829315,1.63163637179617e-35,-0.68,-0.525
"42","16fbdec6-fd39-4852-a162-893e597529f3_noid","chr3",98350000,197831215,486,NA,NA,-0.139,-0.112
"43","16fbdec6-fd39-4852-a162-893e597529f3_noid","chr4",80000,190972138,711,NA,NA,-0.233,-0.15
"44","16fbdec6-fd39-4852-a162-893e597529f3_noid","chr5",55000,17940329,119,15.219151761106,2.92483493117948e-50,0.123,0.143
"45","16fbdec6-fd39-4852-a162-893e597529f3_noid","chr5",19125000,29650000,10,11.3291889282672,2.27690973920684e-27,-0.484,-0.556
"46","16fbdec6-fd39-4852-a162-893e597529f3_noid","chr5",30800000,180777630,683,NA,NA,0.113,0.131
"47","16fbdec6-fd39-4852-a162-893e597529f3_noid","chr6",155000,26325000,171,31.3549196449256,3.15304557862841e-213,-0.434,-0.406
"48","16fbdec6-fd39-4852-a162-893e597529f3_noid","chr6",26375000,44275000,241,20.4375580091193,3.59023627882046e-90,0.184,0.204
"49","16fbdec6-fd39-4852-a162-893e597529f3_noid","chr6",44350000,170952534,523,NA,NA,-0.136,-0.099
"50","16fbdec6-fd39-4852-a162-893e597529f3_noid","chr7",55000,76100000,436,9.76393594759766,2.72066427524112e-20,-0.118,-0.065
"51","16fbdec6-fd39-4852-a162-893e597529f3_noid","chr7",76375000,77425000,8,3.20763153915067,0.027465217164475,-0.388,-0.48
"52","16fbdec6-fd39-4852-a162-893e597529f3_noid","chr7",77550000,95150000,59,4.83933901503354,4.30369656315602e-05,-0.877,-0.872
"53","16fbdec6-fd39-4852-a162-893e597529f3_noid","chr7",95300000,97575000,12,8.98858749482351,1.31703827146473e-17,-0.575,-0.561
"54","16fbdec6-fd39-4852-a162-893e597529f3_noid","chr7",97625000,102075000,58,12.9148651826141,4.06229791191855e-36,-0.194,-0.173
"55","16fbdec6-fd39-4852-a162-893e597529f3_noid","chr7",102125000,125425000,82,11.0860788965277,2.4580702427144e-26,-0.695,-0.678
"56","16fbdec6-fd39-4852-a162-893e597529f3_noid","chr7",126650000,159039332,248,NA,NA,-0.379,-0.317
"57","16fbdec6-fd39-4852-a162-893e597529f3_noid","chr8",105000,105450000,502,8.84739860594104,1.44900284660456e-16,-0.115,-0.065
"58","16fbdec6-fd39-4852-a162-893e597529f3_noid","chr8",105575000,117850000,25,11.4514891579717,2.91110689802355e-28,-0.414,-0.419
"59","16fbdec6-fd39-4852-a162-893e597529f3_noid","chr8",117950000,146252011,167,NA,NA,-0.004,0.029
"60","16fbdec6-fd39-4852-a162-893e597529f3_noid","chr9",80000,141076716,365,NA,NA,-0.059,-0.036
