"","Sample","Chromosome","bp.Start","bp.End","Num.of.Markers","Mean"
"1","Sample.1","chr1",742994,1450000,7,-0.954673599408008
"2","Sample.1","chr1",1550000,3750000,22,-0.360173599408008
"3","Sample.1","chr1",3850000,227600000,1284,0.00152640059199152
"4","Sample.1","chr1",227750000,228654182,10,-0.363873599408008
"5","Sample.1","chr1",228750000,248450000,136,0.0530264005919915
"6","Sample.1","chr1",248650000,248923211,4,-0.199073599408008
"7","Sample.1","chr10",105000,133595233,829,-0.0521735994080085
"8","Sample.1","chr11",180000,3650000,33,-0.406273599408009
"9","Sample.1","chr11",3750000,81450000,470,-0.131173599408008
"10","Sample.1","chr11",82400000,125850000,244,0.105926400591992
"11","Sample.1","chr11",125950000,134988311,63,-0.324173599408008
"12","Sample.1","chr12",105000,8550000,74,-0.634973599408008
"13","Sample.1","chr12",8700000,131750000,719,-0.0940735994080085
"14","Sample.1","chr12",131850000,133182655,15,-0.335973599408008
"15","Sample.1","chr13",18704053,22050000,26,-0.0624735994080085
"16","Sample.1","chr13",22400000,37050000,91,0.303626400591992
"17","Sample.1","chr13",37350000,66750000,127,-0.413973599408008
"18","Sample.1","chr13",67050000,110350000,145,0.469526400591991
"19","Sample.1","chr13",110450000,114327164,37,0.188726400591992
"20","Sample.1","chr14",19855857,35350000,87,0.140326400591992
"21","Sample.1","chr14",35450000,57100000,92,-0.111773599408008
"22","Sample.1","chr14",57250000,106841859,354,-0.497873599408008
"23","Sample.1","chr15",20232279,101840595,551,-0.254673599408008
"24","Sample.1","chr16",55000,34194665,219,-0.590773599408009
"25","Sample.1","chr16",34892311,51200000,40,-0.0874735994080085
"26","Sample.1","chr16",51450000,90114173,254,-0.721073599408009
"27","Sample.1","chr17",130000,650000,6,-0.0374735994080085
"28","Sample.1","chr17",750000,10400000,91,-0.583973599408008
"29","Sample.1","chr17",10550000,16350000,32,0.586326400591991
"30","Sample.1","chr17",16450000,22631840,44,0.347926400591992
"31","Sample.1","chr17",27067990,68450000,315,0.0194264005919915
"32","Sample.1","chr17",68600000,72250000,18,0.477026400591992
"33","Sample.1","chr17",72350000,83123721,107,-0.0152735994080085
"34","Sample.1","chr18",105000,80231643,342,0.128126400591992
"35","Sample.1","chr19",180000,58553808,484,-0.243673599408008
"36","Sample.1","chr2",55000,155800000,826,-0.0434735994080085
"37","Sample.1","chr2",156350000,173950000,104,-0.383573599408009
"38","Sample.1","chr2",174050000,242091765,393,-0.103073599408008
"39","Sample.1","chr20",133168,30256738,148,-0.136573599408008
"40","Sample.1","chr20",31280813,62050000,248,0.187926400591992
"41","Sample.1","chr20",62150000,64267084,22,-0.0785735994080085
"42","Sample.1","chr21",10569444,46649992,181,-0.269773599408008
"43","Sample.1","chr22",16657005,49850000,281,-0.236573599408008
"44","Sample.1","chr22",49936933,50754234,9,-0.611973599408008
"45","Sample.1","chr3",155000,186750000,945,0.0817264005919915
"46","Sample.1","chr3",186850000,189150000,20,-0.314873599408009
"47","Sample.1","chr3",189250000,192200000,17,0.184726400591992
"48","Sample.1","chr3",192450000,198117780,51,-0.0400735994080085
"49","Sample.1","chr4",55000,190061561,804,0.000226400591991527
"50","Sample.1","chr5",55000,3650000,34,-0.150773599408008
"51","Sample.1","chr5",3750000,168150000,772,0.104626400591992
"52","Sample.1","chr5",168250000,181339130,109,-0.123573599408008
"53","Sample.1","chr6",180000,15100000,115,-1.12027359940801
"54","Sample.1","chr6",15250000,57876944,303,-0.510473599408009
"55","Sample.1","chr6",60793482,85250000,71,-0.0593735994080085
"56","Sample.1","chr6",85450000,116350000,125,-0.452473599408008
"57","Sample.1","chr6",116450000,170622990,327,-0.0279735994080085
"58","Sample.1","chr7",55000,159217987,862,-0.125373599408008
"59","Sample.1","chr8",180000,141150000,720,-0.0972735994080085
"60","Sample.1","chr8",141250000,145039318,39,-0.423073599408008
"61","Sample.1","chr9",205000,950000,6,-1.13887359940801
"62","Sample.1","chr9",1250000,138167359,542,-0.205973599408008
"63","Sample.1","chrX",2518744,42300000,132,-0.815473599408008
"64","Sample.1","chrX",43150000,63081271,68,0.813526400591992
"65","Sample.1","chrX",63950000,137650000,193,-0.885273599408008
"66","Sample.1","chrX",138250000,152850000,35,0.869726400591992
"67","Sample.1","chrX",152950000,154600000,14,0.544126400591991
"68","Sample.1","chrX",154750000,155615448,4,0.908926400591991
"69","Sample.1","chrY",4518744,21219771,13,-4.59517359940801
