"","ID","chrom","loc.start","loc.end","num.mark","bstat","pval","seg.mean","seg.median"
"1","205122170071_R01C01","chr1",93709,39050000,352,91.5780787739427,0,-0.43,-0.424
"2","205122170071_R01C01","chr1",39150000,93100000,378,24.9488447445202,1.02346572564476e-134,0.297,0.301
"3","205122170071_R01C01","chr1",93250000,152350000,234,26.6818464958514,3.85337085405874e-154,0.08,0.071
"4","205122170071_R01C01","chr1",152450000,208450000,413,90.7426402015789,0,0.297,0.295
"5","205122170071_R01C01","chr1",208600000,249220311,324,NA,NA,-0.456,-0.452
"6","205122170071_R01C01","chr10",80000,135462374,954,NA,NA,-0.438,-0.432
"7","205122170071_R01C01","chr11",130000,134873258,933,NA,NA,0.022,0.022
"8","205122170071_R01C01","chr12",172870,133770948,943,NA,NA,0.017,0.018
"9","205122170071_R01C01","chr13",19110000,47900000,229,33.0178171070572,1.28645154105619e-236,0.06,0.052
"10","205122170071_R01C01","chr13",48300000,63300000,69,36.1801104251242,3.76077102796955e-284,-0.43,-0.43
"11","205122170071_R01C01","chr13",63950000,115054939,242,NA,NA,0.088,0.079
"12","205122170071_R01C01","chr14",19300000,71450000,327,53.3655538177508,0,0.059,0.059
"13","205122170071_R01C01","chr14",71550000,90750000,121,41.3751677765648,0,-0.483,-0.463
"14","205122170071_R01C01","chr14",90850000,107244770,152,NA,NA,-0.006,0.005
"15","205122170071_R01C01","chr15",20100000,102460696,634,NA,NA,0.016,0.017
"16","205122170071_R01C01","chr16",80000,33961575,262,56.22644668315,0,0.063,0.067
"17","205122170071_R01C01","chr16",34286575,90197377,338,NA,NA,-0.454,-0.437
"18","205122170071_R01C01","chr17",50000,81097605,663,NA,NA,-0.011,-0.014
"19","205122170071_R01C01","chr18",55000,78008624,434,NA,NA,0.041,0.043
"20","205122170071_R01C01","chr19",180000,3950000,38,13.1684437618124,1.62194340166928e-37,0.03,0.026
"21","205122170071_R01C01","chr19",4050000,16550000,121,5.45258518500934,2.59606011221072e-06,-0.345,-0.367
"22","205122170071_R01C01","chr19",16650000,18150000,16,10.3921339543153,7.79133462428143e-24,-0.104,-0.075
"23","205122170071_R01C01","chr19",18250000,19950000,18,13.029368693968,2.71859403375259e-37,0.21,0.213
"24","205122170071_R01C01","chr19",20050000,22750000,19,5.26820130795608,2.84685034408739e-06,-0.123,-0.12
"25","205122170071_R01C01","chr19",22850000,24415891,12,10.332277251826,2.45985557343074e-23,-0.333,-0.301
"26","205122170071_R01C01","chr19",27965891,34850000,47,21.3302327162529,1.44503235854747e-98,-0.007,-0.012
"27","205122170071_R01C01","chr19",34950000,59059492,238,NA,NA,-0.464,-0.455
"28","205122170071_R01C01","chr2",55000,47050000,351,65.229260119843,0,-0.408,-0.412
"29","205122170071_R01C01","chr2",47150000,49400000,19,69.0618386524628,0,-2.485,-2.507
"30","205122170071_R01C01","chr2",49900000,243051238,1209,NA,NA,-0.426,-0.428
"31","205122170071_R01C01","chr20",130000,61177403,449,20.6350087569638,4.56676085049609e-92,0.018,0.017
"32","205122170071_R01C01","chr20",61281685,62932760,18,NA,NA,-0.437,-0.433
"33","205122170071_R01C01","chr21",10798948,48059948,226,NA,NA,0.009,0.018
"34","205122170071_R01C01","chr22",16373925,51222283,315,NA,NA,-0.176,-0.171
"35","205122170071_R01C01","chr3",180000,93750000,544,36.9178344645591,2.2990925942701e-295,0.049,0.046
"36","205122170071_R01C01","chr3",94200000,197881215,694,NA,NA,-0.142,-0.144
"37","205122170071_R01C01","chr4",55000,165550000,855,22.5336917389606,1.13881099741766e-109,0.063,0.06
"38","205122170071_R01C01","chr4",165750000,190972138,148,NA,NA,-0.14,-0.143
"39","205122170071_R01C01","chr5",55000,28200000,156,21.3704239337854,9.2197603872148e-99,-0.326,-0.332
"40","205122170071_R01C01","chr5",28600000,87100000,341,14.9709871467363,3.19224540710133e-48,-0.085,-0.084
"41","205122170071_R01C01","chr5",87450000,122850000,169,7.85862476906114,3.44174814965378e-13,0.094,0.093
"42","205122170071_R01C01","chr5",123050000,124950000,14,10.8624804147521,2.39653588814821e-25,-0.213,-0.178
"43","205122170071_R01C01","chr5",125350000,154250000,225,36.4722755995862,8.89771988042666e-289,0.145,0.132
"44","205122170071_R01C01","chr5",154350000,168350000,76,28.478179602153,3.6777245262593e-176,-0.463,-0.454
"45","205122170071_R01C01","chr5",168450000,179450000,99,20.6960737682562,3.92632598934803e-93,0.005,0.006
"46","205122170071_R01C01","chr5",179550000,180752630,12,NA,NA,-0.457,-0.471
"47","205122170071_R01C01","chr6",130000,8650000,78,44.3174845418811,0,-0.419,-0.408
"48","205122170071_R01C01","chr6",9000000,170977534,1043,NA,NA,0.057,0.049
"49","205122170071_R01C01","chr7",55000,159014332,1028,NA,NA,-0.166,-0.163
"50","205122170071_R01C01","chr8",105000,2250000,22,5.6585200873921,4.22843969870721e-07,-0.389,-0.369
"51","205122170071_R01C01","chr8",2350000,6850000,21,5.62952181975394,3.89871326793654e-07,-0.563,-0.565
"52","205122170071_R01C01","chr8",6950000,8000000,10,6.25300983130567,2.81784874473271e-08,-0.206,-0.126
"53","205122170071_R01C01","chr8",8150000,31000000,175,56.1584994538586,0,-0.464,-0.467
"54","205122170071_R01C01","chr8",31250000,146252011,698,NA,NA,0.037,0.047
"55","205122170071_R01C01","chr9",105000,141076716,687,NA,NA,-0.158,-0.161
