"","ID","chrom","loc.start","loc.end","num.mark","bstat","pval","seg.mean","seg.median"
"1","2025073004_R03C02","chr1",560684,23775000,272,16.1812978616471,1.46599283432701e-56,-0.299,-0.295
"2","2025073004_R03C02","chr1",23875000,26025000,24,14.0546124775606,4.40704033102228e-43,0.07,0.072
"3","2025073004_R03C02","chr1",26125000,29150000,44,12.9689863135784,4.79017980507438e-36,-0.269,-0.252
"4","2025073004_R03C02","chr1",29225000,147775000,540,9.31076177361748,2.22654752882188e-18,-0.006,0.002
"5","2025073004_R03C02","chr1",147825000,149875000,14,16.7069452458488,2.45829979151323e-60,-0.235,-0.29
"6","2025073004_R03C02","chr1",149950000,186625000,266,10.3045304527688,9.72048213010796e-23,0.224,0.215
"7","2025073004_R03C02","chr1",187025000,199425000,19,9.26300349479007,2.84258936973978e-18,-0.039,-0.067
"8","2025073004_R03C02","chr1",200025000,249195311,329,NA,NA,0.21,0.21
"9","2025073004_R03C02","chr10",105000,51975000,282,22.6318016497648,5.89962964850445e-111,-0.037,-0.033
"10","2025073004_R03C02","chr10",52250000,69950000,48,7.15427817991117,6.53117876603774e-11,-0.61,-0.623
"11","2025073004_R03C02","chr10",70075000,89625000,122,5.88275944062775,2.28416766585637e-07,-0.382,-0.357
"12","2025073004_R03C02","chr10",89975000,92100000,14,6.63122431723442,3.23731904649088e-09,-0.658,-0.644
"13","2025073004_R03C02","chr10",92625000,135462374,330,NA,NA,-0.407,-0.393
"14","2025073004_R03C02","chr11",130000,48125000,306,6.28487750879063,2.90853341817913e-08,-0.45,-0.421
"15","2025073004_R03C02","chr11",48550000,56425000,15,19.0384647921985,2.27861073053675e-78,-0.833,-0.788
"16","2025073004_R03C02","chr11",56800000,108075000,356,30.4915543296708,1.6294658460043e-201,-0.047,-0.015
"17","2025073004_R03C02","chr11",108225000,134873258,204,NA,NA,-0.434,-0.413
"18","2025073004_R03C02","chr12",172870,133770948,818,NA,NA,-0.049,-0.018
"19","2025073004_R03C02","chr13",19110000,21175000,17,8.03237799992089,9.59068010244094e-14,-0.123,-0.112
"20","2025073004_R03C02","chr13",21275000,54225000,207,8.83682250315945,1.17766730943493e-16,-0.523,-0.497
"21","2025073004_R03C02","chr13",54800000,94700000,59,5.31091324026222,4.77613022046826e-06,-0.93,-0.8
"22","2025073004_R03C02","chr13",95075000,102325000,42,19.0091260523304,1.74813939224523e-78,-0.506,-0.492
"23","2025073004_R03C02","chr13",102775000,115079939,91,NA,NA,-0.062,-0.05
"24","2025073004_R03C02","chr14",19325000,107119770,512,NA,NA,-0.479,-0.428
"25","2025073004_R03C02","chr15",20275000,56275000,214,36.2195511992816,1.51267485104197e-284,-0.482,-0.438
"26","2025073004_R03C02","chr15",56525000,102410696,335,NA,NA,-0.004,0.008
"27","2025073004_R03C02","chr16",105000,6375000,96,27.5143004378558,2.94401378762508e-164,0.043,0.031
"28","2025073004_R03C02","chr16",7000000,31825000,170,7.5419448300604,3.91649897219418e-12,-0.334,-0.324
"29","2025073004_R03C02","chr16",32075000,34425000,11,6.71202437689184,1.8348934183636e-09,-0.627,-0.61
"30","2025073004_R03C02","chr16",34600000,88775000,306,12.8991798974039,8.80262158774372e-36,-0.362,-0.338
"31","2025073004_R03C02","chr16",88825000,90222377,26,NA,NA,0.016,0.021
"32","2025073004_R03C02","chr17",25000,11725000,145,10.0296208068505,1.10119455864482e-21,-0.337,-0.295
"33","2025073004_R03C02","chr17",11925000,12925000,6,5.95919613995363,2.65938683689163e-07,0.324,0.326
"34","2025073004_R03C02","chr17",13225000,81122605,648,NA,NA,0.015,0.024
"35","2025073004_R03C02","chr18",80000,77983624,227,NA,NA,-0.042,-0.022
"36","2025073004_R03C02","chr19",180000,59084492,704,NA,NA,0.05,0.052
"37","2025073004_R03C02","chr2",130000,29000000,193,30.6262927856127,4.56060748165427e-203,-0.444,-0.401
"38","2025073004_R03C02","chr2",29100000,243026238,1008,NA,NA,-0.057,-0.03
"39","2025073004_R03C02","chr20",155000,62907760,351,NA,NA,0.007,0.018
"40","2025073004_R03C02","chr21",10848948,18000000,11,8.41364790048562,3.36865882527755e-15,-0.375,-0.301
"41","2025073004_R03C02","chr21",19000000,48084948,142,NA,NA,-0.025,-0.014
"42","2025073004_R03C02","chr22",16373925,51197283,291,NA,NA,0.032,0.034
"43","2025073004_R03C02","chr3",155000,73900000,396,16.8025946153127,6.52970520518998e-61,-0.025,-0.012
"44","2025073004_R03C02","chr3",74750000,97950000,31,13.2942334307978,4.61876440366847e-38,-0.474,-0.367
"45","2025073004_R03C02","chr3",98225000,150125000,263,27.5988699035442,4.76081882227431e-165,-0.052,-0.025
"46","2025073004_R03C02","chr3",150225000,197831215,224,NA,NA,-0.553,-0.504
"47","2025073004_R03C02","chr4",80000,190972138,711,NA,NA,-0.113,-0.072
"48","2025073004_R03C02","chr5",55000,17940329,119,14.2417032313112,5.44201129298806e-44,-0.061,-0.051
"49","2025073004_R03C02","chr5",19125000,29650000,10,12.3941625405197,7.54262728501962e-33,-0.566,-0.549
"50","2025073004_R03C02","chr5",30800000,180777630,683,NA,NA,-0.042,-0.015
"51","2025073004_R03C02","chr6",155000,67675000,476,31.7540489337914,2.01927363579194e-218,-0.396,-0.36
"52","2025073004_R03C02","chr6",68925000,170952534,459,NA,NA,-0.022,-0.005
"53","2025073004_R03C02","chr7",55000,3525000,59,13.7590915105091,1.08946327367997e-40,-0.284,-0.289
"54","2025073004_R03C02","chr7",3825000,79450000,390,10.918037506788,1.7224010910216e-25,-0.013,-0.003
"55","2025073004_R03C02","chr7",80050000,85550000,11,11.4954271664617,2.83974776104376e-28,-0.477,-0.462
"56","2025073004_R03C02","chr7",86400000,159039332,443,NA,NA,-0.007,0.023
"57","2025073004_R03C02","chr8",105000,146252011,694,NA,NA,-0.045,-0.014
"58","2025073004_R03C02","chr9",80000,141076716,365,NA,NA,0.016,0.014
