seqnames,start,end,width,strand,freq,type,pvalue
1,717994,2651391,1933398,*,1,gain,0.166666666666667
6,32450000,32675000,225001,*,5,loss,0
7,152000000,152750000,750001,*,1,gain,0.166666666666667
8,109800000,113925000,4125001,*,1,loss,1
11,155000,2025000,1870001,*,1,gain,0.166666666666667
11,55087537,57000000,1912464,*,1,loss,1
15,25000000,25225000,225001,*,1,loss,1
20,53625000,53975000,350001,*,1,gain,0.166666666666667
X,2518744,155640448,153121705,*,5,gain,0
Y,4518744,21244771,16726028,*,5,loss,0
