"","Sample","STT","Region used for              diploid re-centering","correlation_to_ASCAT","correlation_to_SEQUENZA"
"1","8_KAN_9337_LMS_Rec",9337,"chr5:80000000-180000000",0.8510532295178,0.799787162666866
"2","8_KAN_9338_LMS_Met",9338,"chr5:80000000-180000000",0.723003612432665,0.655240840752938
"3","10_CAD_9327_LMS_Met",9327,"chr3:10000000-60000000",0.764634379931858,0.697692466062675
"4","10_CAD_9353_LMS_Rec1",9353,"chr3:10000000-60000000",0.781412630065174,0.720847878337119
"5","10_CAD_9354_LMS_Rec2",9354,"chr3:10000000-60000000",0.645655540310001,0.577743881290586
"6","10_CAD_9355_LMS_Rec3",9355,"chr3:10000000-60000000",0.543265610217149,0.475520852465386
"7","10_CAD_9356_LMS_Rec4",9356,"chr3:10000000-60000000",0.509924493941876,0.446751929000173
"8","10_CAD_9357_LMS_Rec5",9357,"chr3:10000000-60000000",0.720603129142311,0.692153319996276
"9","10_CAD_9358_LMS_Rec6",9358,"chr3:10000000-60000000",0.740138236980958,0.693973700042337
"10","11_SB_9202_LMS_P",9202,"chr17",0.663836057118039,0.597704010070548
"11","11_SB_9203_LMS_P",9203,"chr17",0.579854767793563,0.437691910995814
"12","11_SB_9350_LMS_Met2",9350,"chr17",0.944754657866022,0.939879276946135
"13","3_PL_9328_LMS_P",9328,"chr1:160000000-200000000",0.760513496636815,0.653698369347656
