"ID","chrom","loc.start","loc.end","num.mark","seg.mean","seg.sd","seg.median","seg.mad","pval","lcl","ucl"
"Sample.1","chr1",692994,152775000,1206,-0.0509,0.2034,-0.0261,0.1851,9.90757814661945e-10,152575000,152975000
"Sample.1","chr1",152875000,153375000,8,-0.5462,0.2004,-0.5519,0.1986,1.23964331362892e-06,153275000,153625000
"Sample.1","chr1",153450000,248923211,786,-0.0877,0.2267,-0.0595,0.2123,NA,NA,NA
"Sample.1","chr10",55000,133645233,1048,-0.0592,0.2132,-0.0436,0.193,NA,NA,NA
"Sample.1","chr11",130000,84425000,743,-0.0452,0.2127,-0.017,0.1955,0,83800000,85375000
"Sample.1","chr11",85025000,126825000,312,-0.7401,0.3014,-0.7473,0.3204,5.57680014603799e-57,126425000,126950000
"Sample.1","chr11",126950000,135013311,69,-0.1167,0.222,-0.0973,0.2247,NA,NA,NA
"Sample.1","chr12",55000,133207655,1060,-0.0456,0.2231,-0.0253,0.2043,NA,NA,NA
"Sample.1","chr13",18629053,114327164,520,-0.0526,0.2189,-0.0478,0.2115,NA,NA,NA
"Sample.1","chr14",19106322,106841859,714,-0.0751,0.2232,-0.0379,0.1944,NA,NA,NA
"Sample.1","chr15",20012627,101890595,721,-0.0849,0.2022,-0.0627,0.1938,NA,NA,NA
"Sample.1","chr16",55000,90139173,799,-0.0609,0.2051,-0.0241,0.1849,NA,NA,NA
"Sample.1","chr17",130000,5575000,92,0.0403,0.1627,0.0562,0.1172,6.86273868176653e-14,5475000,5700000
"Sample.1","chr17",5700000,6325000,5,-0.5633,0.2075,-0.5802,0.1586,1.56689072635856e-08,6200000,6500000
"Sample.1","chr17",6425000,32950000,242,-0.0471,0.1793,-0.0275,0.1598,5.4761331010569e-11,32525000,32950000
"Sample.1","chr17",33125000,34475000,8,-0.51,0.1731,-0.536,0.238,8.99652812536005e-07,34375000,34850000
"Sample.1","chr17",34575000,35825000,14,-0.0641,0.1994,-0.0725,0.1583,2.41450899602834e-08,35725000,35825000
"Sample.1","chr17",35875000,36275000,6,-0.6157,0.173,-0.6167,0.1552,2.19319254790287e-13,36275000,36475000
"Sample.1","chr17",36475000,83148721,572,-0.0321,0.1884,-0.0032,0.1792,NA,NA,NA
"Sample.1","chr18",80000,80231643,413,-0.0834,0.2199,-0.0592,0.2248,NA,NA,NA
"Sample.1","chr19",180000,58578808,820,0.0229,0.1816,0.0532,0.1453,NA,NA,NA
"Sample.1","chr2",105000,242116765,1664,-0.0511,0.3161,-0.0389,0.2062,NA,NA,NA
"Sample.1","chr20",158168,64292084,568,-0.1085,0.2109,-0.0772,0.21,NA,NA,NA
"Sample.1","chr21",5055000,46674992,256,-0.0127,0.2189,0.0051,0.2145,NA,NA,NA
"Sample.1","chr22",15716995,50779234,445,-0.0353,0.1815,-0.0066,0.161,NA,NA,NA
"Sample.1","chr3",180000,93877787,571,-0.0641,0.2307,-0.0502,0.2136,1.51449482670592e-260,90025051,96250000
"Sample.1","chr3",94075000,176950000,482,-0.6511,0.3174,-0.6415,0.348,6.15938915692439e-131,174975000,177125000
"Sample.1","chr3",177125000,198167780,201,-0.0503,0.2149,-0.0184,0.1748,NA,NA,NA
"Sample.1","chr4",55000,190061561,950,-0.0196,0.2863,-0.0046,0.203,NA,NA,NA
"Sample.1","chr5",55000,181364130,1117,-0.057,0.2356,-0.0309,0.2226,NA,NA,NA
"Sample.1","chr6",155000,170647990,1189,-0.0435,0.2241,-0.019,0.2106,NA,NA,NA
"Sample.1","chr7",55000,159242987,1099,-0.0359,0.2122,-0.0235,0.1957,NA,NA,NA
"Sample.1","chr8",180000,145039318,951,-0.0774,0.228,-0.0546,0.2236,NA,NA,NA
"Sample.1","chr9",130000,138217359,697,-0.0551,0.2066,-0.0255,0.1951,NA,NA,NA
"Sample.1","chrX",2518744,155640448,504,0.8906,0.8107,0.7546,0.2378,NA,NA,NA
"Sample.1","chrY",3568744,24239248,16,-2.7587,0.9746,-3.0494,0.645,NA,NA,NA
