"","Case","Bin","Tech","val"
"1","9202","50000","MethylMaster",22.5229325240083
"2","9203","50000","MethylMaster",24.962855739807
"3","9327","50000","MethylMaster",29.6771436537995
"4","9328","50000","MethylMaster",25.7445995019996
"5","9337","50000","MethylMaster",31.0268351755517
"6","9338","50000","MethylMaster",18.8251848611235
"7","9350","50000","MethylMaster",35.6234956738365
"8","9353","50000","MethylMaster",37.3467626781178
"9","9354","50000","MethylMaster",37.1066027662688
"10","9355","50000","MethylMaster",38.3590023541297
"11","9356","50000","MethylMaster",24.8340911393413
"12","9357","50000","MethylMaster",25.1869103535238
"13","9358","50000","MethylMaster",30.8349377397648
"14","9202","10000","MethylMaster",22.491173085322
"15","9203","10000","MethylMaster",24.9697976936182
"16","9327","10000","MethylMaster",29.3816057285219
"17","9328","10000","MethylMaster",25.5019782162975
"18","9337","10000","MethylMaster",31.321661481144
"19","9338","10000","MethylMaster",19.1919137028672
"20","9350","10000","MethylMaster",34.5416883531279
"21","9353","10000","MethylMaster",46.5174764384864
"22","9354","10000","MethylMaster",37.5951017387864
"23","9355","10000","MethylMaster",42.8936939050693
"24","9356","10000","MethylMaster",30.4349665538713
"25","9357","10000","MethylMaster",17.6642892490344
"26","9358","10000","MethylMaster",30.789192346735
"27","9202","1e+05","MethylMaster",24.0223945472319
"28","9203","1e+05","MethylMaster",22.0767384427922
"29","9327","1e+05","MethylMaster",30.7951468076166
"30","9328","1e+05","MethylMaster",25.4556406746076
"31","9337","1e+05","MethylMaster",30.3117167109329
"32","9338","1e+05","MethylMaster",19.1727790055113
"33","9350","1e+05","MethylMaster",38.5460268160192
"34","9353","1e+05","MethylMaster",37.0955233385665
"35","9354","1e+05","MethylMaster",38.3735082608136
"36","9355","1e+05","MethylMaster",40.6122106150494
"37","9356","1e+05","MethylMaster",25.6152485494053
"38","9357","1e+05","MethylMaster",25.025614369108
"39","9358","1e+05","MethylMaster",30.1888589842554
"40","9202","1e+06","MethylMaster",24.5597391546416
"41","9203","1e+06","MethylMaster",24.5597391546416
"42","9327","1e+06","MethylMaster",36.0963125991457
"43","9328","1e+06","MethylMaster",25.120867590004
"44","9337","1e+06","MethylMaster",32.1652143174857
"45","9338","1e+06","MethylMaster",21.4286169132445
"46","9350","1e+06","MethylMaster",38.1484264809011
"47","9353","1e+06","MethylMaster",39.2264741088451
"48","9354","1e+06","MethylMaster",50.0423867716466
"49","9355","1e+06","MethylMaster",43.429798124172
"50","9356","1e+06","MethylMaster",51.4502343726132
"51","9357","1e+06","MethylMaster",24.7455164598192
"52","9358","1e+06","MethylMaster",29.3196736082417
"53","9202","50000","Sesame",8.47294233586998
"54","9203","50000","Sesame",22.0983248646854
"55","9327","50000","Sesame",10.7638992408365
"56","9328","50000","Sesame",19.7002179654789
"57","9337","50000","Sesame",14.7530237177551
"58","9338","50000","Sesame",11.549995573359
"59","9350","50000","Sesame",28.0338905810198
"60","9353","50000","Sesame",13.2266654762975
"61","9354","50000","Sesame",15.7135394512759
"62","9355","50000","Sesame",13.0045478759526
"63","9356","50000","Sesame",14.3959306897088
"64","9357","50000","Sesame",11.0271406978809
"65","9358","50000","Sesame",10.0571860244727
"66","9202","10000","Sesame",8.93516104971513
"67","9203","10000","Sesame",20.620323926379
"68","9327","10000","Sesame",12.4586037150006
"69","9328","10000","Sesame",20.2786562667989
"70","9337","10000","Sesame",11.9117682765988
"71","9338","10000","Sesame",13.4722407368951
"72","9350","10000","Sesame",28.1038668638277
"73","9353","10000","Sesame",13.3707982088201
"74","9354","10000","Sesame",15.5842581611881
"75","9355","10000","Sesame",12.5836919261474
"76","9356","10000","Sesame",14.4348691152192
"77","9357","10000","Sesame",12.2643704158856
"78","9358","10000","Sesame",10.7767724346938
"79","9202","1e+05","Sesame",2.30220554279289
"80","9203","1e+05","Sesame",22.0792199830211
"81","9327","1e+05","Sesame",9.36857433447924
"82","9328","1e+05","Sesame",20.2157698014184
"83","9337","1e+05","Sesame",16.9472163467396
"84","9338","1e+05","Sesame",13.599376859126
"85","9350","1e+05","Sesame",26.3212899928987
"86","9353","1e+05","Sesame",14.4207358526159
"87","9354","1e+05","Sesame",16.980817485772
"88","9355","1e+05","Sesame",11.5399691706304
"89","9356","1e+05","Sesame",13.5107733704955
"90","9357","1e+05","Sesame",11.9545140860965
"91","9358","1e+05","Sesame",11.2373878001769
"92","9202","1e+06","Sesame",5.01593698004918
"93","9203","1e+06","Sesame",16.6195637629992
"94","9327","1e+06","Sesame",13.7631732311752
"95","9328","1e+06","Sesame",18.7723743293121
"96","9337","1e+06","Sesame",17.2663111327899
"97","9338","1e+06","Sesame",15.6588889198971
"98","9350","1e+06","Sesame",25.568937977206
"99","9353","1e+06","Sesame",10.078433227793
"100","9354","1e+06","Sesame",16.4534592260174
"101","9355","1e+06","Sesame",16.3277862941012
"102","9356","1e+06","Sesame",12.5826443506075
"103","9357","1e+06","Sesame",13.7491679782002
"104","9358","1e+06","Sesame",11.2194646126001
"105","9202","50000","Conumee",22.7748640804839
"106","9203","50000","Conumee",25.9742370432301
"107","9327","50000","Conumee",22.9067570377248
"108","9328","50000","Conumee",26.1804575693472
"109","9337","50000","Conumee",33.5896143478295
"110","9338","50000","Conumee",21.6765435177273
"111","9350","50000","Conumee",27.1063076846381
"112","9353","50000","Conumee",21.537856227323
"113","9354","50000","Conumee",16.1710184420271
"114","9355","50000","Conumee",21.0879253617898
"115","9356","50000","Conumee",15.0680524973289
"116","9357","50000","Conumee",16.2201232547648
"117","9358","50000","Conumee",15.3157940293231
"118","9202","10000","Conumee",22.6868748159267
"119","9203","10000","Conumee",22.1384604648403
"120","9327","10000","Conumee",22.9495458526264
"121","9328","10000","Conumee",26.6358497393633
"122","9337","10000","Conumee",29.2933565225043
"123","9338","10000","Conumee",20.8982840262818
"124","9350","10000","Conumee",28.9891391070863
"125","9353","10000","Conumee",21.502332444763
"126","9354","10000","Conumee",17.2703890447172
"127","9355","10000","Conumee",20.5622842984397
"128","9356","10000","Conumee",17.1584501436406
"129","9357","10000","Conumee",16.1125784021921
"130","9358","10000","Conumee",15.409869408916
"131","9202","1e+05","Conumee",23.8855766902792
"132","9203","1e+05","Conumee",25.9403950184004
"133","9327","1e+05","Conumee",23.1666810391721
"134","9328","1e+05","Conumee",26.0532638983193
"135","9337","1e+05","Conumee",31.5559982738776
"136","9338","1e+05","Conumee",20.0389852420469
"137","9350","1e+05","Conumee",27.1866037718524
"138","9353","1e+05","Conumee",21.521278668073
"139","9354","1e+05","Conumee",16.2675094827072
"140","9355","1e+05","Conumee",21.6600849782754
"141","9356","1e+05","Conumee",14.9675812874312
"142","9357","1e+05","Conumee",17.4626920988653
"143","9358","1e+05","Conumee",17.9582014034391
"144","9202","1e+06","Conumee",24.6791413849704
"145","9203","1e+06","Conumee",24.9221097683632
"146","9327","1e+06","Conumee",22.1435491252426
"147","9328","1e+06","Conumee",25.8315592748067
"148","9337","1e+06","Conumee",31.8447828929388
"149","9338","1e+06","Conumee",18.7219251377993
"150","9350","1e+06","Conumee",27.249550042165
"151","9353","1e+06","Conumee",22.5054137746606
"152","9354","1e+06","Conumee",16.5380579709137
"153","9355","1e+06","Conumee",16.8517914860356
"154","9356","1e+06","Conumee",14.0019955326542
"155","9357","1e+06","Conumee",15.0601611966242
"156","9358","1e+06","Conumee",19.8788198242289
"157","9202","50000","SNP",16.7
"158","9203","50000","SNP",21.4
"159","9327","50000","SNP",42.1
"160","9328","50000","SNP",22.3
"161","9337","50000","SNP",25.1
"162","9338","50000","SNP",16.8
"163","9350","50000","SNP",40.9
"164","9353","50000","SNP",47.3
"165","9354","50000","SNP",45.7
"166","9355","50000","SNP",42.8
"167","9356","50000","SNP",41.5
"168","9357","50000","SNP",37.7
"169","9358","50000","SNP",44.3
