seqnames,start,end,width,strand,freq,type,pvalue
1,742994,28650000,27907007,*,12,loss,0.0303030303030303
1,28750000,38600000,9850001,*,5,both,0.696969696969697
1,55250000,108850000,53600001,*,6,both,0.266666666666667
1,152400000,153450000,1050001,*,4,both,0.444444444444444
1,153550000,208300000,54750001,*,5,both,0.333333333333333
1,208700000,247350000,38650001,*,6,both,0.560606060606061
1,247450000,248923211,1473212,*,5,both,0.696969696969697
2,55000,46750000,46695001,*,6,loss,0.287878787878788
2,46850000,49100000,2250001,*,3,loss,0.5
2,49800000,242091765,192291766,*,12,loss,0.0303030303030303
3,155000,186850000,186695001,*,7,both,0.444444444444444
3,186950000,189250000,2300001,*,7,loss,0.212121212121212
3,189450000,192200000,2750001,*,4,gain,0.333333333333333
3,192450000,194150000,1700001,*,1,loss,0.696969696969697
3,196350000,196850000,500001,*,1,loss,0.696969696969697
4,55000,550000,495001,*,1,loss,0.696969696969697
4,10550000,49118462,38568463,*,2,gain,0.622222222222222
4,68000000,72150000,4150001,*,1,loss,0.696969696969697
4,92900000,190061561,97161562,*,2,loss,0.560606060606061
5,55000,168950000,168895001,*,9,both,0.133333333333333
5,175450000,181339130,5889131,*,3,both,0.696969696969697
6,180000,57876944,57696945,*,11,both,0.5
6,60793482,84900000,24106519,*,4,gain,0.333333333333333
6,85450000,116350000,30900001,*,7,loss,0.212121212121212
6,116450000,170622990,54172991,*,7,both,0.2
7,55000,70750000,70695001,*,10,both,0.560606060606061
7,70950000,159217987,88267988,*,8,loss,0.287878787878788
8,180000,43741872,43561873,*,3,both,0.622222222222222
8,46063633,48550000,2486368,*,2,both,0.844444444444444
8,48650000,50100000,1450001,*,2,gain,0.622222222222222
8,50850000,53650000,2800001,*,2,both,0.844444444444444
8,53750000,145039318,91289319,*,8,both,0.5
9,205000,950000,745001,*,9,loss,0.0909090909090909
9,1250000,6800000,5550001,*,7,loss,0.212121212121212
9,17950000,21950000,4000001,*,9,loss,0.0909090909090909
9,23100000,32400000,9300001,*,4,loss,0.393939393939394
9,32600000,39564735,6964736,*,4,loss,0.393939393939394
9,112900000,138167359,25267360,*,7,loss,0.212121212121212
10,105000,37350000,37245001,*,3,both,0.622222222222222
10,74650000,133595233,58945234,*,3,loss,0.5
11,180000,50510674,50330675,*,7,loss,0.287878787878788
11,55062537,56650000,1587464,*,3,both,0.696969696969697
11,71127848,78650000,7522153,*,3,loss,0.5
11,78750000,134988311,56238312,*,10,both,0.393939393939394
12,105000,40950000,40845001,*,8,both,0.5
12,71950000,75250000,3300001,*,1,loss,0.696969696969697
12,125250000,131650000,6400001,*,1,loss,0.696969696969697
12,131850000,133182655,1332656,*,4,loss,0.393939393939394
13,21850000,37050000,15200001,*,7,both,0.155555555555556
13,37350000,66750000,29400001,*,12,both,0.560606060606061
13,67050000,114327164,47277165,*,9,gain,0.111111111111111
14,19855857,39550000,19694144,*,7,both,0.2
14,57250000,106841859,49591860,*,12,both,0.560606060606061
15,20232279,101840595,81608317,*,5,both,0.444444444444444
16,55000,34194665,34139666,*,9,loss,0.0909090909090909
16,46650000,47050000,400001,*,4,both,0.622222222222222
16,47250000,90114173,42864174,*,13,loss,0
17,750000,22631840,21881841,*,10,both,0.0888888888888889
17,32950000,34000000,1050001,*,1,loss,0.696969696969697
17,41950000,42850000,900001,*,1,loss,0.696969696969697
17,51550000,56300000,4750001,*,4,gain,0.333333333333333
17,61000000,63250000,2250001,*,3,gain,0.444444444444444
17,67750000,72950000,5200001,*,7,gain,0.155555555555556
17,73050000,74650000,1600001,*,3,both,0.622222222222222
17,75450000,75850000,400001,*,1,loss,0.696969696969697
17,77350000,83123721,5773722,*,2,loss,0.560606060606061
18,105000,80231643,80126644,*,6,both,0.2
19,180000,58553808,58373809,*,8,both,0.5
20,133168,64267084,64133917,*,7,both,0.266666666666667
21,10569444,46649992,36080549,*,6,loss,0.287878787878788
22,16657005,50754234,34097230,*,4,both,0.696969696969697
X,2518744,63081271,60562528,*,13,both,0
X,63950000,137650000,73700001,*,13,both,0.363636363636364
X,138250000,152850000,14600001,*,11,gain,0.0222222222222223
X,152950000,154600000,1650001,*,11,gain,0.0222222222222223
X,154750000,155615448,865449,*,11,gain,0.0222222222222223
Y,4518744,21219771,16701028,*,13,loss,0
