"","ID","chrom","loc.start","loc.end","num.mark","bstat","pval","seg.mean","seg.median"
"1","c1abadac-49aa-4885-a017-cb0d8a54d61e_noid","chr1",560684,20975000,244,26.8352189349557,6.73991436404063e-156,-0.217,-0.213
"2","c1abadac-49aa-4885-a017-cb0d8a54d61e_noid","chr1",21025000,90000000,461,31.2134101920357,3.69160409173073e-211,0.073,0.088
"3","c1abadac-49aa-4885-a017-cb0d8a54d61e_noid","chr1",90150000,145075000,156,18.3135700892349,1.99378603267382e-72,-0.383,-0.358
"4","c1abadac-49aa-4885-a017-cb0d8a54d61e_noid","chr1",145225000,185525000,296,12.9736566600669,3.27378311194835e-36,-0.075,-0.081
"5","c1abadac-49aa-4885-a017-cb0d8a54d61e_noid","chr1",186025000,199425000,22,11.7211101586722,1.81635588866711e-29,-0.56,-0.625
"6","c1abadac-49aa-4885-a017-cb0d8a54d61e_noid","chr1",200025000,249195311,329,NA,NA,-0.089,-0.078
"7","c1abadac-49aa-4885-a017-cb0d8a54d61e_noid","chr10",105000,135462374,796,NA,NA,-0.364,-0.337
"8","c1abadac-49aa-4885-a017-cb0d8a54d61e_noid","chr11",130000,48125000,306,13.1886999045881,1.97138890684062e-37,0.001,0.025
"9","c1abadac-49aa-4885-a017-cb0d8a54d61e_noid","chr11",48550000,56425000,15,15.5987554389278,9.30624266418133e-53,-0.64,-0.531
"10","c1abadac-49aa-4885-a017-cb0d8a54d61e_noid","chr11",56800000,67275000,133,22.931668774859,9.3309169186499e-114,0.065,0.075
"11","c1abadac-49aa-4885-a017-cb0d8a54d61e_noid","chr11",67350000,134873258,427,NA,NA,-0.408,-0.336
"12","c1abadac-49aa-4885-a017-cb0d8a54d61e_noid","chr12",172870,133770948,818,NA,NA,-0.146,-0.11
"13","c1abadac-49aa-4885-a017-cb0d8a54d61e_noid","chr13",19110000,54225000,224,10.2487127067488,1.71876536737613e-22,-0.46,-0.427
"14","c1abadac-49aa-4885-a017-cb0d8a54d61e_noid","chr13",54800000,94700000,59,10.0859199416327,7.24439983401569e-22,-0.949,-0.817
"15","c1abadac-49aa-4885-a017-cb0d8a54d61e_noid","chr13",95075000,115079939,133,NA,NA,-0.425,-0.378
"16","c1abadac-49aa-4885-a017-cb0d8a54d61e_noid","chr14",19325000,107119770,512,NA,NA,-0.011,0.029
"17","c1abadac-49aa-4885-a017-cb0d8a54d61e_noid","chr15",20275000,102410696,549,NA,NA,0.065,0.093
"18","c1abadac-49aa-4885-a017-cb0d8a54d61e_noid","chr16",105000,1225000,23,13.6530369510171,3.4319064381862e-40,-0.168,-0.18
"19","c1abadac-49aa-4885-a017-cb0d8a54d61e_noid","chr16",1275000,31825000,243,33.8545338530976,1.62427936950617e-248,0.108,0.107
"20","c1abadac-49aa-4885-a017-cb0d8a54d61e_noid","chr16",32075000,90222377,343,NA,NA,-0.279,-0.262
"21","c1abadac-49aa-4885-a017-cb0d8a54d61e_noid","chr17",25000,11525000,144,23.1674640174726,1.97414141950996e-116,-0.238,-0.211
"22","c1abadac-49aa-4885-a017-cb0d8a54d61e_noid","chr17",11725000,21175000,79,16.5659560231263,4.3330927205368e-59,0.245,0.252
"23","c1abadac-49aa-4885-a017-cb0d8a54d61e_noid","chr17",21225000,81122605,576,NA,NA,-0.03,-0.019
"24","c1abadac-49aa-4885-a017-cb0d8a54d61e_noid","chr18",80000,18625000,66,14.3996172442075,8.61830349246008e-45,0.01,0.027
"25","c1abadac-49aa-4885-a017-cb0d8a54d61e_noid","chr18",18925000,77983624,161,NA,NA,-0.38,-0.311
