"ID","chrom","loc.start","loc.end","num.mark","seg.mean","seg.sd","seg.median","seg.mad","pval","lcl","ucl"
"Sample.1","chr1",680494,875000,4,-0.0875,0.2091,-0.155,0.1071,6.39454265278782e-34,875000,875000
"Sample.1","chr1",912500,1462500,23,-0.927,0.1118,-0.9117,0.1055,1.25469204834189e-132,1462500,1462500
"Sample.1","chr1",1487500,3862500,80,-0.2408,0.1197,-0.2268,0.1108,8.36391113087544e-117,3825000,3962500
"Sample.1","chr1",3887500,227762500,1946,0.0961,0.166,0.0934,0.1788,1.72598424065847e-74,227487500,227825000
"Sample.1","chr1",227825000,228666682,20,-0.2472,0.1109,-0.2504,0.1079,8.7111873892719e-34,228529182,228812500
"Sample.1","chr1",228737500,248923211,177,0.1665,0.1433,0.1754,0.1301,NA,NA,NA
"Sample.1","chr10",67500,133620233,1149,0.046,0.1755,0.0506,0.1911,NA,NA,NA
"Sample.1","chr11",130000,79450000,882,-0.0647,0.1686,-0.0606,0.177,3.74043667859942e-170,79212500,80262500
"Sample.1","chr11",79775000,117712500,213,0.2902,0.1543,0.2868,0.1628,1.02274361722448e-105,117512500,117850000
"Sample.1","chr11",117787500,135025811,206,-0.076,0.1844,-0.0623,0.1939,NA,NA,NA
"Sample.1","chr12",67500,8087500,124,-0.5184,0.1793,-0.4951,0.1449,4.75362080621764e-218,8050000,8137500
"Sample.1","chr12",8137500,133220155,1086,-0.0063,0.1693,-0.0093,0.1719,NA,NA,NA
"Sample.1","chr13",18529053,21675000,35,0.0471,0.13,0.0325,0.1286,2.86073700452282e-44,21625000,21800000
"Sample.1","chr13",21800000,37075000,122,0.4244,0.1402,0.429,0.1414,2.78385285941003e-245,37075000,37075000
"Sample.1","chr13",37287500,49525000,88,-0.2834,0.1647,-0.2457,0.1743,6.83348406498293e-06,49100000,49800000
"Sample.1","chr13",49600000,50037500,7,-0.6328,0.2422,-0.6992,0.2902,1.11304473882326e-06,49725000,50137500
"Sample.1","chr13",50100000,66637500,49,-0.2821,0.145,-0.2817,0.1597,2.12391684707044e-218,66637500,66637500
"Sample.1","chr13",67100000,110437500,175,0.5724,0.1727,0.6033,0.1812,2.23875720063914e-35,110137500,110487500
"Sample.1","chr13",110462500,114327164,90,0.3127,0.1187,0.3066,0.1098,NA,NA,NA
"Sample.1","chr14",19043822,57162500,246,0.115,0.1975,0.1049,0.1862,1.92074113639438e-298,57025000,57312500
"Sample.1","chr14",57312500,106854359,544,-0.4065,0.1762,-0.3911,0.1694,NA,NA,NA
"Sample.1","chr15",20062627,101890595,782,-0.1497,0.1662,-0.1461,0.1701,NA,NA,NA
"Sample.1","chr16",42500,32000000,444,-0.4993,0.1855,-0.4983,0.2005,1.74574089720683e-93,31775000,32237500
"Sample.1","chr16",32237500,51137500,61,0.0106,0.1293,0.0279,0.1446,7.93073403423169e-144,51137500,51350000
"Sample.1","chr16",51350000,90151673,492,-0.63,0.1889,-0.6233,0.1915,NA,NA,NA
"Sample.1","chr17",117500,762500,18,0.0901,0.1468,0.0577,0.0816,1.4720255775571e-65,762500,787500
"Sample.1","chr17",787500,10275000,204,-0.4886,0.1346,-0.5023,0.1142,0,10275000,10275000
"Sample.1","chr17",10437500,22631840,123,0.5467,0.1809,0.5492,0.1848,1.40604196970519e-134,22450000,27175000
"Sample.1","chr17",27005490,68300000,527,0.1078,0.1747,0.079,0.1536,3.82013927414626e-38,68237500,68350000
"Sample.1","chr17",68350000,73075000,30,0.5233,0.1437,0.5331,0.1817,7.60611966590238e-56,72962500,73162500
"Sample.1","chr17",73162500,83161221,268,0.0599,0.1522,0.0605,0.1539,NA,NA,NA
"Sample.1","chr18",42500,80244143,425,0.2402,0.1616,0.2464,0.1855,NA,NA,NA
"Sample.1","chr19",192500,58578808,1052,-0.1399,0.1328,-0.1413,0.1278,NA,NA,NA
"Sample.1","chr2",30000,242116765,1759,0.0177,0.1905,0.0308,0.1908,NA,NA,NA
"Sample.1","chr20",170668,26274183,199,-0.0357,0.1638,-0.0346,0.1733,3.04932726149685e-110,25637500,31255813
"Sample.1","chr20",30256738,52237500,257,0.2758,0.1312,0.275,0.114,1.40851131225572e-13,51875000,52400000
"Sample.1","chr20",52400000,55237500,16,0.5408,0.0787,0.5578,0.0528,1.55602143990015e-27,54337500,56300000
"Sample.1","chr20",56112500,64292084,152,0.1675,0.1586,0.1796,0.1859,NA,NA,NA
"Sample.1","chr21",5067500,46674992,293,-0.1868,0.1737,-0.2,0.1848,NA,NA,NA
"Sample.1","chr22",15716995,49875000,492,-0.1416,0.1476,-0.1427,0.1379,4.49415576710196e-33,49812500,49912500
"Sample.1","chr22",49912500,50766734,28,-0.4962,0.1358,-0.4947,0.1397,NA,NA,NA
"Sample.1","chr3",155000,186737500,1220,0.1805,0.1748,0.1896,0.1925,2.66700408028016e-17,186575000,186737500
"Sample.1","chr3",186787500,189112500,21,-0.1663,0.0949,-0.1688,0.1218,2.73556293056083e-12,188800000,189837500
"Sample.1","chr3",189387500,198167780,105,0.1115,0.1632,0.1231,0.1957,NA,NA,NA
"Sample.1","chr4",55000,190061561,1007,0.1055,0.1788,0.1061,0.1737,NA,NA,NA
"Sample.1","chr5",42500,181364130,1210,0.158,0.1946,0.1619,0.2138,NA,NA,NA
"Sample.1","chr6",142500,14912500,151,-1.013,0.1979,-0.9737,0.1756,3.24301562625001e-232,14812500,14912500
"Sample.1","chr6",15100000,32525000,237,-0.4061,0.1648,-0.4083,0.182,1.45736531907101e-46,32525000,32600000
"Sample.1","chr6",32562500,32737500,5,-1.6742,0.7734,-1.7475,0.0909,9.19800965107213e-58,32637500,32737500
"Sample.1","chr6",32775000,57362500,258,-0.4186,0.1644,-0.4258,0.1849,1.18407944549733e-119,57250000,57687500
"Sample.1","chr6",57687500,85262500,84,0.0614,0.158,0.0893,0.168,1.151111115232e-73,84625000,85500000
"Sample.1","chr6",85500000,116312500,149,-0.3369,0.159,-0.3283,0.14,1.51783470736898e-143,116262500,116500000
"Sample.1","chr6",116400000,170660490,424,0.0696,0.1682,0.0873,0.1791,NA,NA,NA
"Sample.1","chr7",42500,159242987,1270,-0.0357,0.1909,-0.0287,0.2009,NA,NA,NA
"Sample.1","chr8",155000,141287500,945,0.0105,0.1494,0.024,0.1551,3.74959558099753e-96,141212500,141337500
"Sample.1","chr8",141312500,145039318,98,-0.3224,0.1415,-0.3062,0.1497,NA,NA,NA
"Sample.1","chr9",105000,900000,7,-0.9075,0.3989,-1.0372,0.2068,2.59624893455232e-44,775000,1012500
"Sample.1","chr9",1012500,138217359,736,-0.1158,0.2018,-0.1102,0.2177,NA,NA,NA
"Sample.1","chrX",2518744,41987500,142,-0.6905,0.1812,-0.6761,0.167,0,41987500,41987500
"Sample.1","chrX",42525000,63006271,88,0.9125,0.1629,0.925,0.1376,0,63006271,63006271
"Sample.1","chrX",63662500,137687500,218,-0.7539,0.1825,-0.7324,0.1584,0,137687500,137687500
"Sample.1","chrX",138262500,152862500,40,0.9998,0.1246,0.9994,0.1337,4.89730260405788e-26,152725000,153025000
"Sample.1","chrX",152937500,154587500,36,0.6525,0.1538,0.6164,0.1651,2.24563737574516e-06,154462500,154587500
"Sample.1","chrX",154700000,155640448,6,0.9987,0.1035,1.0482,0.0484,NA,NA,NA
"Sample.1","chrY",3568744,24239248,16,-4.1214,1.228,-4.3935,0.2374,NA,NA,NA
