SegmentID	Chromosome	StartPosition	StopPosition	MarkerCount	Type	State	Median Log2 Ratio	Median BAF	% Aberr. Cells	TuScan Ploidy	FileName
83	1	754192	39046130	3234	TotalCN	2	-0.014	NaN	85	4	STT9350.OSCHP
84	1	39053684	76729651	3020	TotalCN	6	1.091	0.367	85	4	STT9350.OSCHP
85	1	76729911	77737217	70	TotalCN	4	0.59	0.489	85	4	STT9350.OSCHP
86	1	77740787	85174994	515	TotalCN	5	1.045	0.374	85	4	STT9350.OSCHP
87	1	85193058	93262704	655	TotalCN	6	1.149	0.353	85	4	STT9350.OSCHP
88	1	93277926	98750052	431	TotalCN	4	0.663	0.479	85	4	STT9350.OSCHP
89	1	98766448	100496707	126	TotalCN	6	1.085	0.352	85	4	STT9350.OSCHP
90	1	100508562	110207482	746	TotalCN	4	0.655	0.48	85	4	STT9350.OSCHP
91	1	110210671	111606689	135	TotalCN	5	0.938	0.395	85	4	STT9350.OSCHP
92	1	111615498	152411090	1283	TotalCN	4	0.678	0.482	85	4	STT9350.OSCHP
93	1	152411813	208569475	4414	TotalCN	6	1.104	0.369	85	4	STT9350.OSCHP
94	1	208612749	249212878	3171	TotalCN	2	-0.054	NaN	85	4	STT9350.OSCHP
95	2	21494	2221061	150	TotalCN	3	0.275	NaN	85	4	STT9350.OSCHP
96	2	2239487	47051551	3576	TotalCN	2	0.007	NaN	85	4	STT9350.OSCHP
97	2	47067057	49962090	256	TotalCN	0	-1.919	0.473	85	4	STT9350.OSCHP
98	2	49972394	243052331	14120	TotalCN	2	-0.032	NaN	85	4	STT9350.OSCHP
99	3	63411	47884239	3683	TotalCN	4	0.657	0.483	85	4	STT9350.OSCHP
100	3	47899878	48339360	33	TotalCN	3	0.574	NaN	85	4	STT9350.OSCHP
101	3	48360433	77195300	2602	TotalCN	4	0.665	0.483	85	4	STT9350.OSCHP
102	3	77203157	78087465	128	TotalCN	3	0.555	NaN	85	4	STT9350.OSCHP
103	3	78101577	90473621	873	TotalCN	4	0.629	0.486	85	4	STT9350.OSCHP
104	3	93517443	197852564	7718	TotalCN	3	0.319	0.362	85	4	STT9350.OSCHP
105	4	69404	154200320	10826	TotalCN	4	0.634	0.484	85	4	STT9350.OSCHP
106	4	154226551	155337663	98	TotalCN	5	0.858	0.425	85	4	STT9350.OSCHP
107	4	155365967	155933753	39	TotalCN	2.5	0.24	0.453	85	4	STT9350.OSCHP
108	4	155951509	165456150	653	TotalCN	4	0.656	0.484	85	4	STT9350.OSCHP
109	4	165470876	165725670	21	TotalCN	3	0.538	NaN	85	4	STT9350.OSCHP
110	4	165726983	167944755	145	TotalCN	4	0.581	0.482	85	4	STT9350.OSCHP
111	4	167953101	190915650	1605	TotalCN	3	0.349	0.368	85	4	STT9350.OSCHP
112	5	38139	313762	19	TotalCN	2	-0.022	NaN	85	4	STT9350.OSCHP
113	5	326684	1451782	113	TotalCN	3	0.567	0.372	85	4	STT9350.OSCHP
114	5	1470900	1895829	32	TotalCN	1	-0.545	0.156	85	4	STT9350.OSCHP
115	5	1912921	4029789	142	TotalCN	2.5	0.236	0.489	85	4	STT9350.OSCHP
116	5	4048388	8243208	282	TotalCN	2	0.028	0.478	85	4	STT9350.OSCHP
117	5	8265265	17697883	625	TotalCN	3	0.311	0.394	85	4	STT9350.OSCHP
118	5	17704161	27029889	619	TotalCN	2	-0.044	0.481	85	4	STT9350.OSCHP
119	5	27042890	28666832	112	TotalCN	3	0.29	0.369	85	4	STT9350.OSCHP
120	5	28682246	29339932	43	TotalCN	5	0.869	0.38	85	4	STT9350.OSCHP
121	5	29367474	51131400	1360	TotalCN	4	0.601	0.478	85	4	STT9350.OSCHP
122	5	51153019	89434524	2565	TotalCN	3	0.369	0.357	85	4	STT9350.OSCHP
123	5	89441320	92134273	175	TotalCN	5	0.841	0.42	85	4	STT9350.OSCHP
124	5	92139632	96323280	278	TotalCN	3	0.409	0.371	85	4	STT9350.OSCHP
125	5	96343552	117950885	1483	TotalCN	4	0.636	0.484	85	4	STT9350.OSCHP
126	5	117968537	118683502	49	TotalCN	3	0.332	0.442	85	4	STT9350.OSCHP
127	5	118690483	122855416	282	TotalCN	4	0.681	0.487	85	4	STT9350.OSCHP
128	5	122881000	125262880	168	TotalCN	3	0.344	0.349	85	4	STT9350.OSCHP
129	5	125270448	130878215	372	TotalCN	5	0.917	0.423	85	4	STT9350.OSCHP
130	5	130892741	139460236	620	TotalCN	4	0.708	0.481	85	4	STT9350.OSCHP
131	5	139475611	143471214	328	TotalCN	5	0.938	0.421	85	4	STT9350.OSCHP
132	5	143497131	146216078	186	TotalCN	4	0.723	0.482	85	4	STT9350.OSCHP
133	5	146240443	150332809	343	TotalCN	5	0.943	0.422	85	4	STT9350.OSCHP
134	5	150353775	155336076	328	TotalCN	4	0.618	0.486	85	4	STT9350.OSCHP
135	5	155351357	168391557	888	TotalCN	2	-0.044	NaN	85	4	STT9350.OSCHP
136	5	168416380	179498189	854	TotalCN	4	0.727	0.488	85	4	STT9350.OSCHP
137	5	179511302	180698312	94	TotalCN	2	-0.042	NaN	85	4	STT9350.OSCHP
138	6	204909	8779500	633	TotalCN	2	-0.097	NaN	85	4	STT9350.OSCHP
139	6	8800765	170913051	12071	TotalCN	4	0.679	0.483	85	4	STT9350.OSCHP
140	7	41421	58025423	4491	TotalCN	3	0.356	NaN	85	4	STT9350.OSCHP
141	7	61064518	63618118	81	TotalCN	4	0.602	NaN	85	4	STT9350.OSCHP
142	7	63622315	157340076	7278	TotalCN	3	0.351	NaN	85	4	STT9350.OSCHP
143	7	157350699	159118443	125	TotalCN	4	0.632	NaN	85	4	STT9350.OSCHP
144	8	172417	31107532	2911	TotalCN	2	-0.037	NaN	85	4	STT9350.OSCHP
145	8	31121769	34584425	232	TotalCN	4	0.7	0.488	85	4	STT9350.OSCHP
