"","ID","chrom","loc.start","loc.end","num.mark","bstat","pval","seg.mean","seg.median"
"1","203257030060_R08C01","chr1",560684,249195311,1508,NA,NA,-0.011,-0.008
"2","203257030060_R08C01","chr10",105000,135462374,796,NA,NA,-0.005,0.001
"3","203257030060_R08C01","chr11",130000,134873258,881,NA,NA,-0.018,-0.015
"4","203257030060_R08C01","chr12",172870,133770948,818,NA,NA,0.012,0.012
"5","203257030060_R08C01","chr13",19110000,115079939,416,NA,NA,0.004,0.008
"6","203257030060_R08C01","chr14",19325000,107119770,512,NA,NA,0.001,0.003
"7","203257030060_R08C01","chr15",20275000,102410696,549,NA,NA,0.006,0.002
"8","203257030060_R08C01","chr16",105000,90222377,609,NA,NA,0.022,0.025
"9","203257030060_R08C01","chr17",25000,81122605,799,NA,NA,0.03,0.028
"10","203257030060_R08C01","chr18",80000,77983624,227,NA,NA,0.058,0.053
"11","203257030060_R08C01","chr19",180000,59084492,704,NA,NA,0.062,0.062
"12","203257030060_R08C01","chr2",130000,243026238,1201,NA,NA,-0.006,-0.004
"13","203257030060_R08C01","chr20",155000,62907760,351,NA,NA,0.027,0.025
"14","203257030060_R08C01","chr21",10848948,48084948,153,NA,NA,0.039,0.037
"15","203257030060_R08C01","chr22",16373925,51197283,291,NA,NA,0.036,0.045
"16","203257030060_R08C01","chr3",155000,197831215,914,NA,NA,-0.013,-0.017
"17","203257030060_R08C01","chr4",80000,190972138,711,NA,NA,0.002,0
"18","203257030060_R08C01","chr5",55000,180777630,812,NA,NA,-0.01,-0.008
"19","203257030060_R08C01","chr6",155000,170952534,935,NA,NA,-0.014,-0.011
"20","203257030060_R08C01","chr7",55000,159039332,903,NA,NA,-0.026,-0.01
"21","203257030060_R08C01","chr8",105000,146252011,694,NA,NA,-0.016,-0.012
"22","203257030060_R08C01","chr9",80000,141076716,365,NA,NA,0.006,-0.004
