"","Sample","Chromosome","bp.Start","bp.End","Num.of.Markers","Mean"
"1","Sample.1","chr1",742994,185500000,813,-0.0185875245930301
"2","Sample.1","chr1",186025000,200500000,20,-0.48338752459303
"3","Sample.1","chr1",200725000,248898211,230,0.0134124754069699
"4","Sample.1","chr10",130000,42650000,152,-0.37508752459303
"5","Sample.1","chr10",42800000,46125000,22,0.0516124754069699
"6","Sample.1","chr10",46400000,50200000,17,-0.21278752459303
"7","Sample.1","chr10",50500000,68375000,34,-0.59088752459303
"8","Sample.1","chr10",68500000,87300000,76,-0.28138752459303
"9","Sample.1","chr10",87750000,89075000,5,-0.73558752459303
"10","Sample.1","chr10",89225000,133620233,239,-0.29658752459303
"11","Sample.1","chr11",155000,4700000,66,0.0446124754069699
"12","Sample.1","chr11",4875000,5775000,7,-0.34858752459303
"13","Sample.1","chr11",6050000,20625000,79,-0.0342875245930301
"14","Sample.1","chr11",21475000,31775000,16,-0.27938752459303
"15","Sample.1","chr11",31925000,48475000,58,-0.00658752459303008
"16","Sample.1","chr11",49250000,56275000,5,-0.65618752459303
"17","Sample.1","chr11",56975000,134888311,413,-0.0174875245930301
"18","Sample.1","chr12",80000,9350000,66,-0.33898752459303
"19","Sample.1","chr12",9800000,11150000,7,-0.83988752459303
"20","Sample.1","chr12",11475000,15125000,18,-0.40778752459303
"21","Sample.1","chr12",15525000,25200000,21,-0.83438752459303
"22","Sample.1","chr12",25300000,33850000,25,-0.49258752459303
"23","Sample.1","chr12",34325000,58525000,123,-0.0285875245930301
"24","Sample.1","chr12",59225000,91850000,68,-0.29998752459303
"25","Sample.1","chr12",92250000,133182655,242,-0.00578752459303008
"26","Sample.1","chr13",18854053,53175000,141,-0.46688752459303
"27","Sample.1","chr13",54150000,70975000,12,-1.18688752459303
"28","Sample.1","chr13",72300000,93375000,24,-0.70638752459303
"29","Sample.1","chr13",93925000,114302164,109,-0.0300875245930301
"30","Sample.1","chr14",19955857,25800000,41,-0.0510875245930301
"31","Sample.1","chr14",27650000,106541859,323,-0.39558752459303
"32","Sample.1","chr15",22579121,101840595,375,-0.0383875245930301
"33","Sample.1","chr16",80000,90139173,445,0.0310124754069699
"34","Sample.1","chr17",155000,16775000,134,-0.26418752459303
"35","Sample.1","chr17",16975000,83148721,468,-0.00178752459303008
"36","Sample.1","chr18",130000,80181643,147,-0.0670875245930301
"37","Sample.1","chr19",180000,19775000,267,0.0156124754069699
"38","Sample.1","chr19",19950000,43775000,122,-0.27408752459303
"39","Sample.1","chr19",43850000,44275000,7,-0.59928752459303
"40","Sample.1","chr19",44450000,58578808,182,-0.30768752459303
"41","Sample.1","chr2",130000,75650000,304,-0.0138875245930301
"42","Sample.1","chr2",76175000,82850000,7,-0.33188752459303
"43","Sample.1","chr2",84375000,180475000,265,-0.0510875245930301
"44","Sample.1","chr2",181200000,189275000,13,-0.52828752459303
"45","Sample.1","chr2",189525000,242091765,233,0.00591247540696992
"46","Sample.1","chr20",183168,25999183,82,-0.34788752459303
"47","Sample.1","chr20",31305813,64292084,169,0.0106124754069699
"48","Sample.1","chr21",14007904,30525000,14,-0.30558752459303
"49","Sample.1","chr21",31125000,46649992,83,-0.00658752459303008
"50","Sample.1","chr22",16657005,50754234,206,0.0297124754069699
"51","Sample.1","chr3",155000,75100000,279,0.00831247540696992
"52","Sample.1","chr3",75675000,97275000,17,-0.65488752459303
"53","Sample.1","chr3",97850000,198092780,322,-0.0572875245930301
"54","Sample.1","chr4",155000,190061561,475,0.00961247540696992
"55","Sample.1","chr5",80000,17440274,88,0.0139124754069699
"56","Sample.1","chr5",18765274,29975000,6,-0.75528752459303
"57","Sample.1","chr5",31325000,99700000,167,-0.10488752459303
"58","Sample.1","chr5",100700000,106200000,7,-0.58238752459303
"59","Sample.1","chr5",107500000,140725000,120,-0.0332875245930301
"60","Sample.1","chr5",140775000,141250000,8,-0.43558752459303
"61","Sample.1","chr5",141325000,161650000,81,0.0123124754069699
"62","Sample.1","chr5",161925000,165025000,5,-0.47968752459303
"63","Sample.1","chr5",166975000,181339130,97,0.0646124754069699
"64","Sample.1","chr6",205000,47000000,315,-0.26318752459303
"65","Sample.1","chr6",47375000,51475000,9,-0.71768752459303
"66","Sample.1","chr6",52175000,170647990,342,-0.0468875245930301
"67","Sample.1","chr7",80000,9050000,95,0.0905124754069699
"68","Sample.1","chr7",10325000,21325000,22,-0.33678752459303
"69","Sample.1","chr7",21700000,78275000,185,-0.00238752459303008
"70","Sample.1","chr7",79000000,95475000,35,-0.29528752459303
"71","Sample.1","chr7",95800000,143525402,185,-0.00418752459303008
"72","Sample.1","chr7",143850402,146750000,5,-0.36938752459303
"73","Sample.1","chr7",147900000,159242987,99,0.0806124754069699
"74","Sample.1","chr8",205000,75175000,265,0.19481247540697
"75","Sample.1","chr8",76025000,78650000,5,-0.14498752459303
"76","Sample.1","chr8",79200000,82975000,11,-0.47288752459303
"77","Sample.1","chr8",84625000,89875000,9,-0.11088752459303
"78","Sample.1","chr8",90300000,145039318,192,0.19461247540697
"79","Sample.1","chr9",480000,138067359,239,0.0174124754069699
"80","Sample.1","chrX",2718744,155640448,271,0.53251247540697
"81","Sample.1","chrY",5592201,20998668,7,-3.82178752459303
