Chrom	Chr	Start	End	Width	BAF.Value	BAF.Status	Start.FeatureName	End.FeatureName	Start.FeatureIdx	End.FeatureIdx	Features
chr1	1	754192	29503214	28749023	0.5	Hetero	S-tag133716	S-tag076472	2488	1	2488
chr1	1	29518293	31313752	1795460	0.6289	Unbalanced	S-tag121723	S-tag277521	2609	2489	121
chr1	1	31328666	33489487	2160822	0.5	Hetero	S-tag027726	S-tag287223	2796	2610	187
chr1	1	33508527	34790295	1281769	0.586	Unbalanced	S-tag035983	S-tag214753	2889	2797	93
chr1	1	34796416	35340648	544233	0.545	Unbalanced	S-tag207169	S-tag246801	2931	2890	42
chr1	1	35363186	42009004	6645819	0.591	Unbalanced	S-tag139513	S-tag030078	3513	2932	582
chr1	1	42031693	43300663	1268971	0.5	Hetero	S-tag064316	S-tag312812	3609	3514	96
chr1	1	43325682	43772886	447205	0.535	Unbalanced	S-tag211166	S-tag278709	3648	3610	39
chr1	1	43778495	62102307	18323813	0.5856	Unbalanced	S-tag307853	S-tag068458	5212	3649	1564
chr1	1	62106396	65472323	3365928	0.5865	Unbalanced	S-tag071072	S-tag193841	5466	5213	254
chr1	1	65499815	75451783	9951969	0.705	Unbalanced	S-tag143118	S-tag079648	6169	5467	703
chr1	1	75466410	86263970	10797561	0.7621	Unbalanced	S-tag036253	S-tag238439	6939	6170	770
chr1	1	86278754	109454285	23175532	0.701	Unbalanced	S-tag045702	S-tag214818	8751	6940	1812
chr1	1	109472773	120223732	10750960	0.5835	Unbalanced	S-tag123036	S-tag084507	9619	8752	868
chr1	1	120224972	145215548	24990577	0.7111	Unbalanced	S-tag160513	S-tag324687	9771	9620	152
chr1	1	145226808	249212878	103986071	0.8855	Unbalanced	S-tag299157	S-tag279722	17813	9772	8042
chr2	2	21494	77505165	77483672	0.8853	Unbalanced	S-tag008358	S-tag286301	23802	17814	5989
chr2	2	77518902	81700508	4181607	0.6311	Unbalanced	S-tag302985	S-tag035647	24098	23803	296
chr2	2	81722849	87428677	5705829	0.5	Hetero	S-tag216542	S-tag280551	24461	24099	363
