"ID","chrom","loc.start","loc.end","num.mark","seg.mean","seg.sd","seg.median","seg.mad","pval","lcl","ucl"
"Sample.1","chr1",717994,20625000,212,-0.1938,0.0877,-0.1826,0.0691,0,20625000,20675000
"Sample.1","chr1",20675000,89325000,357,0.1158,0.0766,0.1292,0.0558,0,89325000,89550000
"Sample.1","chr1",89550000,120200000,118,-0.3096,0.1491,-0.2944,0.1283,3.5409418870233e-82,119775000,120775000
"Sample.1","chr1",120400000,185825000,236,-0.0381,0.1089,-0.0166,0.0873,1.06210757779063e-27,185500000,192925000
"Sample.1","chr1",186150000,199450000,18,-0.3905,0.2756,-0.4491,0.3046,4.39427828859214e-33,197475000,200150000
"Sample.1","chr1",200150000,247450000,238,-0.042,0.0938,-0.0259,0.0796,3.80312949420772e-07,246950000,248175000
"Sample.1","chr1",247550000,248898211,9,-0.2317,0.1899,-0.2386,0.2691,NA,NA,NA
"Sample.1","chr10",55000,49900000,205,-0.3524,0.1679,-0.3419,0.141,3.63559033712988e-07,48475000,59250000
"Sample.1","chr10",50225000,68250000,36,-0.5396,0.2269,-0.5404,0.1519,1.76667092467994e-19,63875000,68675000
"Sample.1","chr10",68350000,133620233,362,-0.2781,0.1481,-0.2444,0.1292,NA,NA,NA
"Sample.1","chr11",130000,50535674,254,0.0761,0.0993,0.0933,0.0625,5.41759743739599e-38,50535674,55037537
"Sample.1","chr11",55037537,56550000,5,-0.5474,0.272,-0.5327,0.3189,2.25197379882209e-64,56275000,56550000
"Sample.1","chr11",56975000,67175000,114,0.1257,0.0728,0.1355,0.0486,1.08479129502918e-198,67075000,67175000
"Sample.1","chr11",67275000,78725000,109,-0.2004,0.0881,-0.1923,0.0755,7.29458155213888e-38,78425000,81575000
"Sample.1","chr11",78925000,110550000,77,-0.4819,0.197,-0.4496,0.1885,8.62089288560265e-15,107625000,111875000
"Sample.1","chr11",110775000,134913311,153,-0.2874,0.1548,-0.2465,0.136,NA,NA,NA
"Sample.1","chr12",55000,133182655,615,-0.063,0.1617,-0.0368,0.1067,NA,NA,NA
"Sample.1","chr13",18554053,53175000,151,-0.3664,0.1672,-0.3455,0.1737,5.88023237804914e-15,52525000,72900000
"Sample.1","chr13",54250000,94650000,42,-0.7028,0.3829,-0.7189,0.5238,9.42315362709829e-06,78575000,94950000
"Sample.1","chr13",94725000,102825000,36,-0.3507,0.1648,-0.3461,0.1436,0.00157249189343919,101175000,107525000
"Sample.1","chr13",103000000,109475000,14,-0.5771,0.2238,-0.5451,0.1827,5.63127750442304e-16,107050000,109800000
"Sample.1","chr13",109800000,114302164,63,-0.2888,0.0733,-0.2767,0.0776,NA,NA,NA
"Sample.1","chr14",18981322,106841859,386,0.0814,0.1351,0.1018,0.0556,NA,NA,NA
"Sample.1","chr15",20062627,75675000,279,0.0957,0.0851,0.105,0.0636,3.61913612648852e-110,75625000,75975000
"Sample.1","chr15",75800000,101840595,128,0.2933,0.0753,0.2942,0.0629,NA,NA,NA
"Sample.1","chr16",80000,1175000,22,-0.1577,0.0534,-0.1537,0.0542,1.82856017971793e-108,1175000,1175000
"Sample.1","chr16",1225000,33925000,202,0.1214,0.056,0.1228,0.052,2.30143990702921e-199,33925000,33925000
"Sample.1","chr16",34125000,58600000,65,-0.2557,0.1476,-0.2177,0.1231,3.48854579973572e-06,58075000,58600000
"Sample.1","chr16",59225000,65825000,7,-0.5592,0.0979,-0.5602,0.1353,1.48520258911362e-15,65825000,66475000
"Sample.1","chr16",66250000,90139173,189,-0.2167,0.1049,-0.2011,0.0815,NA,NA,NA
"Sample.1","chr17",130000,11600000,120,-0.1945,0.1074,-0.1572,0.0842,3.10709050893504e-149,11600000,11825000
"Sample.1","chr17",11825000,40650000,176,0.1813,0.1298,0.1601,0.1237,7.27956208136864e-26,40650000,40650000
