"","ID","chrom","loc.start","loc.end","num.mark","bstat","pval","seg.mean","seg.median"
"1","54d23a15-16da-4628-af72-8d864f503754_noid","chr1",560684,185525000,1157,12.7447409296569,1.13587392401313e-34,-0.077,-0.083
"2","54d23a15-16da-4628-af72-8d864f503754_noid","chr1",186025000,200500000,27,14.1151785428234,6.60955993163199e-43,-0.432,-0.504
"3","54d23a15-16da-4628-af72-8d864f503754_noid","chr1",200700000,249195311,324,NA,NA,-0.018,-0.011
"4","54d23a15-16da-4628-af72-8d864f503754_noid","chr10",105000,135462374,796,NA,NA,-0.102,-0.073
"5","54d23a15-16da-4628-af72-8d864f503754_noid","chr11",130000,20675000,193,7.81013451390915,5.48437095404813e-13,-0.06,-0.043
"6","54d23a15-16da-4628-af72-8d864f503754_noid","chr11",21525000,31650000,24,7.73036654840796,7.22329834061636e-13,-0.334,-0.331
"7","54d23a15-16da-4628-af72-8d864f503754_noid","chr11",31825000,48950000,91,12.0167303351787,2.43141335146804e-31,-0.026,-0.029
"8","54d23a15-16da-4628-af72-8d864f503754_noid","chr11",49225000,56425000,13,11.6822077583204,3.6348562738197e-29,-0.711,-0.61
"9","54d23a15-16da-4628-af72-8d864f503754_noid","chr11",56800000,134873258,560,NA,NA,-0.092,-0.061
"10","54d23a15-16da-4628-af72-8d864f503754_noid","chr12",172870,133770948,818,NA,NA,-0.149,-0.104
"11","54d23a15-16da-4628-af72-8d864f503754_noid","chr13",19110000,47475000,180,9.53566672237802,1.98666933049305e-19,-0.459,-0.427
"12","54d23a15-16da-4628-af72-8d864f503754_noid","chr13",47775000,94700000,103,7.35133009590184,1.53775198966548e-11,-0.845,-0.767
"13","54d23a15-16da-4628-af72-8d864f503754_noid","chr13",95075000,109125000,61,16.4277147987051,1.4166688932377e-58,-0.465,-0.437
"14","54d23a15-16da-4628-af72-8d864f503754_noid","chr13",109650000,115079939,72,NA,NA,-0.037,-0.032
"15","54d23a15-16da-4628-af72-8d864f503754_noid","chr14",19325000,22425000,23,20.3290185283188,2.57099685224018e-89,-0.526,-0.459
"16","54d23a15-16da-4628-af72-8d864f503754_noid","chr14",22725000,107119770,489,NA,NA,0.13,0.15
"17","54d23a15-16da-4628-af72-8d864f503754_noid","chr15",20275000,102410696,549,NA,NA,-0.067,-0.039
"18","54d23a15-16da-4628-af72-8d864f503754_noid","chr16",105000,31825000,266,13.4943167437138,3.06437688622605e-39,0.036,0.043
"19","54d23a15-16da-4628-af72-8d864f503754_noid","chr16",32075000,46517901,14,11.6041298345646,7.02293376910516e-29,-0.313,-0.311
"20","54d23a15-16da-4628-af72-8d864f503754_noid","chr16",46675000,90222377,329,NA,NA,0.004,0.009
"21","54d23a15-16da-4628-af72-8d864f503754_noid","chr17",25000,81122605,799,NA,NA,-0.019,0.005
"22","54d23a15-16da-4628-af72-8d864f503754_noid","chr18",80000,77983624,227,NA,NA,-0.073,-0.049
"23","54d23a15-16da-4628-af72-8d864f503754_noid","chr19",180000,59084492,704,NA,NA,0.042,0.059
"24","54d23a15-16da-4628-af72-8d864f503754_noid","chr2",130000,209225000,974,8.10023710290056,9.79983093530722e-14,-0.157,-0.1
"25","54d23a15-16da-4628-af72-8d864f503754_noid","chr2",209775000,214675000,10,11.1960457041181,5.84852928636228e-27,-0.412,-0.419
