"ID","chrom","loc.start","loc.end","num.mark","seg.mean","seg.sd","seg.median","seg.mad","pval","lcl","ucl"
"Sample.1","chr1",717994,10775000,124,-0.3274,0.1189,-0.3208,0.1046,0,10775000,10775000
"Sample.1","chr1",10875000,152575000,626,0.0895,0.0749,0.0977,0.0635,1.29654678551044e-14,152400000,152575000
"Sample.1","chr1",152700000,153225000,5,-0.1911,0.0955,-0.1674,0.0572,4.8522290540003e-22,153225000,153375000
"Sample.1","chr1",153375000,158250000,53,0.0965,0.0588,0.1112,0.0533,3.14391881332257e-15,158125000,158250000
"Sample.1","chr1",158450000,159825000,6,-0.1237,0.0873,-0.1153,0.1131,6.54834163158274e-10,159525000,159975000
"Sample.1","chr1",159875000,185825000,109,0.0691,0.0669,0.0765,0.0631,3.41277478043765e-21,185825000,194400000
"Sample.1","chr1",186150000,199450000,18,-0.2022,0.2396,-0.1359,0.2561,2.74422518975575e-24,197150000,200150000
"Sample.1","chr1",200150000,248898211,247,0.0699,0.0883,0.0791,0.0691,NA,NA,NA
"Sample.1","chr10",55000,11925000,73,-0.4775,0.176,-0.4454,0.1241,0,11925000,11925000
"Sample.1","chr10",12025000,133620233,530,0.06,0.0946,0.0703,0.0761,NA,NA,NA
"Sample.1","chr11",130000,4200000,66,-0.1886,0.1018,-0.191,0.0909,9.09676073801837e-16,4200000,5250000
"Sample.1","chr11",4475000,5575000,7,-0.6891,0.3878,-0.6605,0.2891,3.49343298008374e-60,5250000,5575000
"Sample.1","chr11",5625000,50535674,181,0.0559,0.1018,0.0715,0.0804,6.09279665931515e-43,50535674,50535674
"Sample.1","chr11",55037537,56550000,5,-0.6135,0.204,-0.5759,0.1141,9.28502252450468e-57,56550000,56550000
"Sample.1","chr11",56975000,96458089,271,0.0755,0.0918,0.0882,0.0632,3.39696533724699e-16,95900000,101325000
"Sample.1","chr11",98033182,106525000,16,-0.1451,0.1809,-0.1411,0.1002,2.17524414502096e-15,103875000,107625000
"Sample.1","chr11",107275000,134913311,166,0.0661,0.0834,0.0774,0.0771,NA,NA,NA
"Sample.1","chr12",55000,33425000,146,-0.4592,0.2407,-0.4363,0.1816,2.51656340223981e-302,32500000,34150000
"Sample.1","chr12",34150000,133182655,469,0.0676,0.1055,0.0879,0.0803,NA,NA,NA
"Sample.1","chr13",18554053,53175000,151,-0.456,0.1634,-0.4433,0.1615,3.81282270902113e-16,52525000,73850000
"Sample.1","chr13",54250000,95625000,47,-0.7963,0.3855,-0.7132,0.396,4.17574222502797e-102,95350000,95625000
"Sample.1","chr13",95850000,114302164,108,0.0455,0.0907,0.057,0.0749,NA,NA,NA
"Sample.1","chr14",18981322,106841859,386,0.067,0.136,0.0882,0.0688,NA,NA,NA
"Sample.1","chr15",20062627,101840595,407,0.0709,0.0913,0.0837,0.0638,NA,NA,NA
"Sample.1","chr16",80000,34219665,226,0.1038,0.0636,0.1065,0.0601,6.5423431024852e-14,34125000,34219665
"Sample.1","chr16",34867311,46490341,5,-0.1276,0.053,-0.1264,0.0695,4.08469096500856e-09,46490341,46725000
"Sample.1","chr16",46625000,90139173,254,0.0806,0.0704,0.0906,0.0614,NA,NA,NA
"Sample.1","chr17",130000,40650000,296,0.0942,0.0678,0.0998,0.061,1.28401114840695e-13,40475000,40975000
"Sample.1","chr17",40800000,41250000,6,-0.1299,0.148,-0.0917,0.1239,3.78436971433088e-14,40975000,41375000
"Sample.1","chr17",41375000,65850000,179,0.1066,0.067,0.116,0.0509,5.65069308208451e-130,65850000,65850000
"Sample.1","chr17",66225000,68175000,10,-0.4394,0.0984,-0.4598,0.099,5.1508542216609e-104,68175000,68175000
"Sample.1","chr17",68225000,83148721,154,0.0799,0.0711,0.0848,0.0615,NA,NA,NA
"Sample.1","chr18",130000,80181643,168,0.0791,0.0764,0.095,0.0573,NA,NA,NA
"Sample.1","chr19",180000,29750000,298,0.1188,0.0626,0.1235,0.0549,1.3213988990124e-62,29750000,29750000
"Sample.1","chr19",29825000,32425000,6,-0.3311,0.1267,-0.2982,0.1109,1.09541094197112e-23,32425000,32425000
"Sample.1","chr19",32600000,34600000,13,0.1155,0.07,0.1107,0.0603,1.03739396534801e-34,34600000,34700000
"Sample.1","chr19",34700000,43025000,89,-0.2796,0.1098,-0.2706,0.0838,4.89228415579789e-11,42475000,43575000
"Sample.1","chr19",43300000,44125000,12,-0.0179,0.1795,-0.0244,0.1839,4.224477331382e-12,43975000,44225000
"Sample.1","chr19",44225000,58578808,197,-0.3248,0.1344,-0.2981,0.1266,NA,NA,NA
"Sample.1","chr2",130000,75650000,329,-0.4449,0.1741,-0.4164,0.1378,3.34385102549849e-14,75375000,75650000
"Sample.1","chr2",76600000,80125000,5,-1.0832,0.0858,-1.0477,0.053,2.73348569949181e-08,80125000,82650000
"Sample.1","chr2",80875000,242091765,578,-0.4598,0.2202,-0.4154,0.1825,NA,NA,NA
"Sample.1","chr20",158168,64292084,260,0.1023,0.0652,0.1113,0.06,NA,NA,NA
"Sample.1","chr21",5055000,46649992,117,0.067,0.1081,0.0873,0.062,NA,NA,NA
"Sample.1","chr22",15716995,50754234,225,0.1014,0.06,0.1031,0.055,NA,NA,NA
"Sample.1","chr3",155000,33575000,117,0.0627,0.0908,0.07,0.0575,5.77600724245667e-64,33250000,36625000
"Sample.1","chr3",34725000,98225000,203,-0.24,0.1776,-0.2002,0.1476,3.38618956269245e-124,95850000,98725000
"Sample.1","chr3",98525000,198167780,360,0.0525,0.112,0.0682,0.0863,NA,NA,NA
"Sample.1","chr4",155000,67625000,226,0.0416,0.1011,0.0569,0.0781,4.63734300189687e-39,67625000,68700000
"Sample.1","chr4",67950000,70500000,6,-0.592,0.3725,-0.4849,0.3186,1.44804223034677e-22,68700000,70725000
"Sample.1","chr4",70725000,190061561,300,-0.0034,0.1319,0.016,0.108,NA,NA,NA
"Sample.1","chr5",80000,18140274,93,0.4147,0.0916,0.4206,0.0948,7.42236901606362e-06,16825000,24050000
"Sample.1","chr5",19500000,30150000,8,0.2358,0.1195,0.2,0.1283,1.55283829746262e-07,26700000,32000000
"Sample.1","chr5",31325000,45617950,47,0.4801,0.1085,0.4535,0.1162,2.26896800741802e-151,45617950,45617950
"Sample.1","chr5",50529904,102675000,139,0.0419,0.0951,0.0642,0.079,1.52687140279758e-15,102675000,104450000
"Sample.1","chr5",103175000,107500000,5,-0.3703,0.341,-0.1814,0.1278,8.20645601864216e-21,103400000,108000000
"Sample.1","chr5",108000000,181364130,336,0.0619,0.0944,0.0769,0.081,NA,NA,NA
"Sample.1","chr6",205000,32375000,223,0.0712,0.0956,0.0869,0.0694,4.79502647317186e-45,32375000,32525000
"Sample.1","chr6",32450000,32675000,5,0.6937,0.3835,0.7809,0.0667,4.11671813831027e-25,32575000,32675000
"Sample.1","chr6",32725000,90425000,212,0.0474,0.1229,0.0676,0.0866,3.26483401802369e-09,89500000,92150000
"Sample.1","chr6",90750000,98400000,7,-0.2163,0.1228,-0.2591,0.109,1.03383262370118e-09,96875000,99475000
"Sample.1","chr6",98850000,170647990,293,0.0351,0.0963,0.0463,0.081,NA,NA,NA
"Sample.1","chr7",55000,6950000,96,-0.3217,0.1188,-0.3258,0.1076,5.06765484012309e-33,6825000,8100000
"Sample.1","chr7",7125000,21325000,30,-0.7568,0.2759,-0.7839,0.309,4.10392062281001e-09,17050000,22450000
"Sample.1","chr7",21700000,43475000,93,-0.4837,0.1695,-0.4567,0.1455,4.4660983583164e-08,41825000,43650000
"Sample.1","chr7",43650000,45825000,18,-0.2318,0.0948,-0.2363,0.1204,1.49835587438724e-05,45650000,48025000
"Sample.1","chr7",46200000,57884827,42,-0.5143,0.2311,-0.5342,0.181,7.64260925221359e-97,57525000,57884827
"Sample.1","chr7",63028390,80025000,74,0.1094,0.0828,0.1216,0.0808,6.76339186002179e-65,80025000,81650000
"Sample.1","chr7",80750000,86950000,9,-0.8718,0.4986,-0.9756,0.5175,0.170742583260914,81650000,88250000
"Sample.1","chr7",87175000,96625000,34,-0.5892,0.2432,-0.5845,0.2109,2.99973470737994e-09,93700000,97900000
"Sample.1","chr7",96975000,106450000,74,-0.3424,0.1481,-0.323,0.1497,8.1345230992906e-20,106175000,107775000
"Sample.1","chr7",106825000,127025000,43,-0.7463,0.3091,-0.6921,0.2731,1.17314727446485e-16,121325000,127825000
"Sample.1","chr7",127300000,159242987,207,-0.4374,0.182,-0.4092,0.1327,NA,NA,NA
"Sample.1","chr8",205000,145039318,526,0.045,0.128,0.0628,0.0784,NA,NA,NA
"Sample.1","chr9",105000,29975000,29,-0.3097,0.1609,-0.3055,0.1407,1.69911037195953e-140,23800000,29975000
"Sample.1","chr9",32450000,138217359,252,0.0631,0.0578,0.0669,0.0572,NA,NA,NA
"Sample.1","chrX",2718744,53900000,112,0.3594,0.0926,0.3645,0.0808,8.7607615957293e-88,53300000,54325000
"Sample.1","chrX",54325000,155640448,192,0.1235,0.1021,0.1371,0.0898,NA,NA,NA
"Sample.1","chrY",3568744,24239248,13,-2.6708,0.4407,-2.626,0.318,NA,NA,NA
