"","value"
"chr1-001",0.0764438065263762
"chr1-002",0.109800016993218
"chr1-003",0.0250602311789082
"chr1-004",-0.0942397348571886
"chr1-005",-0.0736997627484744
"chr1-006",-0.103234647399923
"chr1-007",-0.0219489673412809
"chr1-008",-0.0216157350606174
"chr1-009",-0.0333010397485585
"chr1-010",0.0857376722818286
"chr1-011",0.0078447077866267
"chr1-012",0.0134467690896907
"chr1-013",-0.0372742082631415
"chr1-014",0.0119494672926772
"chr1-015",-0.00937047129671474
"chr1-016",-0.0508044124036344
"chr1-017",0.010681516720388
"chr1-018",-0.0208325486247466
"chr1-019",-0.0504958229184792
"chr1-020",-0.0626338998469659
"chr1-021",-0.112332188918545
"chr1-022",0.0134182598852216
"chr1-023",-0.0120000543437121
"chr1-024",-0.0201602907977489
"chr1-025",-0.0621530819720705
"chr1-026",-0.0259386782550178
"chr1-027",0.0114308270063637
"chr1-028",-0.0337116174559455
"chr1-029",-0.0492941818697607
"chr1-030",-0.0225431915643812
"chr1-031",-0.00927879247324998
"chr1-032",-0.046608615860099
"chr1-033",-0.102363678187911
"chr1-034",-0.099459755072182
"chr1-035",-0.0255280845043363
"chr1-036",-0.0383000396425487
"chr1-037",-0.0330290789741085
"chr1-038",-0.0830900498229296
"chr1-039",-0.00430025626780747
"chr1-040",-0.0499184456293592
"chr1-041",-0.0657607038706797
"chr1-042",-0.0611037415904895
"chr1-043",0.0244904852070101
"chr1-044",-0.00635903807424128
"chr1-045",-0.0392246692746166
"chr1-046",-0.0412725933047607
"chr1-047",-0.0635434500466536
"chr1-048",-0.0531373457224829
"chr1-049",-0.0123022016963463
"chr1-050",-0.0936225693894314
"chr1-051",-0.118602871317013
"chr1-052",-0.0561720510189103
"chr1-053",-0.132084071046992
"chr1-054",-0.100816847233278
"chr1-055",0.0175619130007834
"chr1-056",-0.0495840451366223
"chr1-057",-0.0262011931183057
"chr1-058",-0.0785670805837514
"chr1-059",-0.05569207558614
"chr1-060",-0.026825176816722
"chr1-061",-0.0536578127445349
"chr1-062",-0.0478161822245176
"chr1-063",0.00461100892391898
"chr1-064",0.0406220479721124
"chr1-065",-0.0204675012342358
"chr1-066",0.0142468695101968
"chr1-067",-0.0294167729812219
"chr1-068",0.0254992408828416
"chr1-069",-0.00750547418517124
"chr1-070",-0.0858035428852948
"chr1-071",0.0109922567472798
"chr1-072",-0.068487433514414
"chr1-073",-0.132173338414814
"chr1-074",-0.073074760954629
"chr1-075",-0.205591172181262
