"","ID","chrom","loc.start","loc.end","num.mark","bstat","pval","seg.mean","seg.median"
"1","205128000076_R04C01","chr1",93709,249149416,453,NA,NA,-0.009,-0.009
"2","205128000076_R04C01","chr10",280000,135262374,264,NA,NA,-0.014,0.004
"3","205128000076_R04C01","chr11",280000,60750000,108,5.67504569544157,7.21841248126962e-07,-0.03,-0.022
"4","205128000076_R04C01","chr11",61250000,68750000,16,8.45119624320252,2.3776995460101e-15,0.144,0.147
"5","205128000076_R04C01","chr11",69044901,134723258,129,NA,NA,-0.047,-0.025
"6","205128000076_R04C01","chr12",322870,133670948,261,NA,NA,-0.006,0.001
"7","205128000076_R04C01","chr13",19260000,115054939,176,NA,NA,-0.059,-0.045
"8","205128000076_R04C01","chr14",19250000,107144770,170,NA,NA,-0.02,-0.005
"9","205128000076_R04C01","chr15",20250000,102260696,167,NA,NA,0.022,0.028
"10","205128000076_R04C01","chr16",280000,90147377,159,NA,NA,0.054,0.075
"11","205128000076_R04C01","chr17",148313,81097605,162,NA,NA,0.072,0.088
"12","205128000076_R04C01","chr18",255000,78008624,142,NA,NA,-0.015,0.004
"13","205128000076_R04C01","chr19",280000,59059492,115,NA,NA,0.139,0.16
"14","205128000076_R04C01","chr2",255000,243051238,468,NA,NA,-0.039,-0.024
"15","205128000076_R04C01","chr20",280000,62732760,123,NA,NA,0.035,0.033
"16","205128000076_R04C01","chr21",10848948,48059948,69,NA,NA,0.008,0.011
"17","205128000076_R04C01","chr22",16373925,51122283,70,NA,NA,0.101,0.104
"18","205128000076_R04C01","chr3",280000,197731215,377,NA,NA,-0.056,-0.044
"19","205128000076_R04C01","chr4",255000,8649602,18,6.97527799062259,3.15383154753455e-10,0.098,0.092
"20","205128000076_R04C01","chr4",9412321,190772138,325,NA,NA,-0.083,-0.068
"21","205128000076_R04C01","chr5",255000,180702630,344,NA,NA,-0.059,-0.057
"22","205128000076_R04C01","chr6",280000,170777534,319,NA,NA,-0.07,-0.055
"23","205128000076_R04C01","chr7",121242,158814332,304,NA,NA,-0.04,-0.03
"24","205128000076_R04C01","chr8",255000,146152011,281,NA,NA,-0.052,-0.051
"25","205128000076_R04C01","chr9",255000,141076716,214,NA,NA,-0.007,0.009
