Chrom	Chr	Start	End	Width	BAF.Value	BAF.Status	Start.FeatureName	End.FeatureName	Start.FeatureIdx	End.FeatureIdx	Features
chr1	1	754192	27921415	27167224	0.5	Hetero	S-tag133716	S-tag281407	2340	1	2340
chr1	1	27923464	29228831	1305368	0.5985	Unbalanced	S-tag294292	S-tag321579	2472	2341	132
chr1	1	29247787	31424889	2177103	0.6544	Unbalanced	S-tag313143	S-tag125698	2619	2473	147
chr1	1	31426815	33437042	2010228	0.5836	Unbalanced	S-tag178874	S-tag293343	2792	2620	173
chr1	1	33448220	42009004	8560785	0.5487	Unbalanced	S-tag168138	S-tag030078	3513	2793	721
chr1	1	42031693	43787437	1755745	0.5	Hetero	S-tag064316	S-tag231883	3653	3514	140
chr1	1	43790175	46567425	2777251	0.5575	Unbalanced	S-tag321167	S-tag239799	3943	3654	290
chr1	1	46572116	48721158	2149043	0.5	Hetero	S-tag263467	S-tag182839	4136	3944	193
chr1	1	48721207	52042131	3320925	0.5714	Unbalanced	S-tag005317	S-tag088932	4406	4137	270
chr1	1	52049659	54637167	2587509	0.5	Hetero	S-tag166179	S-tag135488	4584	4407	178
chr1	1	54645313	59203121	4557809	0.5633	Unbalanced	S-tag327913	S-tag269715	4908	4585	324
chr1	1	59204080	62102307	2898228	0.5472	Unbalanced	S-tag228781	S-tag068458	5212	4909	304
chr1	1	62106396	65557432	3451037	0.6006	Unbalanced	S-tag071072	S-tag096042	5472	5213	260
chr1	1	65571312	75424319	9853008	0.715	Unbalanced	S-tag008366	S-tag271035	6168	5473	696
chr1	1	75451783	86369933	10918151	0.7656	Unbalanced	S-tag079648	S-tag255022	6942	6169	774
chr1	1	86381650	88354470	1972821	0.726	Unbalanced	S-tag004030	S-tag014112	7102	6943	160
chr1	1	88371676	109454285	21082610	0.7052	Unbalanced	S-tag309122	S-tag214818	8751	7103	1649
chr1	1	109472773	120123179	10650407	0.6068	Unbalanced	S-tag123036	S-tag118078	9611	8752	860
chr1	1	120143753	145093893	24950141	0.7546	Unbalanced	S-tag137565	S-tag232904	9764	9612	153
chr1	1	145095477	196438949	51343473	0.8452	Unbalanced	S-tag103946	S-tag310595	13761	9765	3997
chr1	1	196455696	202906644	6450949	0.8503	Unbalanced	S-tag107002	S-tag188831	14205	13762	444
chr1	1	202914356	246753923	43839568	0.8426	Unbalanced	S-tag084896	S-tag255450	17623	14206	3418
chr1	1	246772019	249212878	2440860	0.8339	Unbalanced	S-tag155069	S-tag279722	17813	17624	190
chr2	2	21494	78740927	78719434	0.8443	Unbalanced	S-tag008358	S-tag156713	23891	17814	6078
chr2	2	78756643	81722849	2966207	0.6273	Unbalanced	S-tag327748	S-tag216542	24099	23892	208
chr2	2	81751507	87428677	5677171	0.5	Hetero	S-tag021072	S-tag280551	24461	24100	362
chr2	2	87832987	114870510	27037524	0.61	Unbalanced	S-tag327492	S-tag028565	26079	24462	1618
chr2	2	114892849	197897560	83004712	0.5	Hetero	S-tag214951	S-tag094080	32469	26080	6390
chr2	2	197915534	198546640	631107	0.5431	Unbalanced	S-tag011816	S-tag131046	32514	32470	45
chr2	2	198573612	218903282	20329671	0.5	Hetero	S-tag137356	S-tag084739	34186	32515	1672
chr2	2	218917004	219195799	278796	0.5536	Unbalanced	S-tag133404	S-tag078053	34207	34187	21
chr2	2	219202484	224732125	5529642	0.5	Hetero	S-tag154222	S-tag095969	34626	34208	419
chr2	2	224787704	226740738	1953035	0.7804	Unbalanced	S-tag111577	S-tag226789	34765	34627	139
chr2	2	226755661	227673161	917501	0.8412	Unbalanced	S-tag296326	S-tag040439	34858	34766	93
chr2	2	227675755	228804641	1128887	0.7803	Unbalanced	S-tag154821	S-tag159610	34935	34859	77
chr2	2	228818749	230681905	1863157	0.6634	Unbalanced	S-tag191944	S-tag284088	35058	34936	123
chr2	2	230731397	236867805	6136409	0.707	Unbalanced	S-tag013250	S-tag125864	35471	35059	413
chr2	2	236890713	243052331	6161619	0.7773	Unbalanced	S-tag055480	S-tag082861	35915	35472	444
chr3	3	63411	37032296	36968886	0.8317	Unbalanced	S-tag123447	S-tag112493	38780	35916	2865
chr3	3	37035834	53941164	16905331	0.8386	Unbalanced	S-tag028916	S-tag321820	40198	38781	1418
chr3	3	53946773	55822759	1875987	0.8529	Unbalanced	S-tag172252	S-tag155103	40326	40199	128
chr3	3	55834517	59079782	3245266	0.8336	Unbalanced	S-tag252656	S-tag312993	40548	40327	222
chr3	3	59099358	67172586	8073229	0.8445	Unbalanced	S-tag258647	S-tag085300	41244	40549	696
chr3	3	67181967	84226655	17044689	0.8334	Unbalanced	S-tag165597	S-tag068645	42873	41245	1629
chr3	3	84248170	90473621	6225452	0.8544	Unbalanced	S-tag248753	S-tag156417	43327	42874	454
chr3	3	93517443	95353065	1835623	0.7355	Unbalanced	S-tag159571	S-tag056396	43449	43328	122
chr3	3	95374182	95908409	534228	0.6154	Unbalanced	S-tag156062	S-tag280342	43486	43450	37
chr3	3	95932622	114082471	18149850	0.8564	Unbalanced	S-tag288176	S-tag169573	44771	43487	1285
chr3	3	114103747	197852564	83748818	0.8532	Unbalanced	S-tag237735	S-tag251937	51111	44772	6340
