SegmentID	Chromosome	StartPosition	StopPosition	MarkerCount	Type	State	Median Log2 Ratio	Median BAF	% Aberr. Cells	TuScan Ploidy	FileName
61	1	754192	249212878	17800	TotalCN	2	-0.007	0.487	homogeneous	2	STT10092.OSCHP
62	2	21494	243052331	18102	TotalCN	2	-0.003	0.487	homogeneous	2	STT10092.OSCHP
63	3	63411	197852564	15037	TotalCN	2	-0.007	0.487	homogeneous	2	STT10092.OSCHP
64	4	69404	17661628	1127	TotalCN	2	-0.022	0.489	homogeneous	2	STT10092.OSCHP
65	4	17661889	17942560	18	TotalCN	3	0.51	NaN	homogeneous	2	STT10092.OSCHP
66	4	17953125	190915650	12242	TotalCN	2	0.018	0.488	homogeneous	2	STT10092.OSCHP
67	5	38139	180698312	12360	TotalCN	2	-0.002	0.487	homogeneous	2	STT10092.OSCHP
68	6	204909	170913051	12704	TotalCN	2	0.038	0.487	homogeneous	2	STT10092.OSCHP
69	7	41421	64144096	4601	TotalCN	2	0.002	0.488	homogeneous	2	STT10092.OSCHP
70	7	64150267	64478251	23	TotalCN	1.5	-0.323	NaN	homogeneous	2	STT10092.OSCHP
71	7	64505608	81279545	1161	TotalCN	2	0.012	0.488	homogeneous	2	STT10092.OSCHP
72	7	81281002	114286611	2482	TotalCN	1.5	-0.275	0.377	homogeneous	2	STT10092.OSCHP
73	7	114290748	159118443	3708	TotalCN	2	-0.027	0.487	homogeneous	2	STT10092.OSCHP
74	8	172417	146292734	11949	TotalCN	2	0.003	0.488	homogeneous	2	STT10092.OSCHP
75	9	204738	109318761	6074	TotalCN	2	0.012	0.487	homogeneous	2	STT10092.OSCHP
76	9	109344059	109589226	19	TotalCN	1	-0.37	NaN	homogeneous	2	STT10092.OSCHP
77	9	109607185	141054761	2438	TotalCN	2	0.005	0.487	homogeneous	2	STT10092.OSCHP
78	10	126070	135434303	9695	TotalCN	2	0.027	0.488	homogeneous	2	STT10092.OSCHP
79	11	192764	134938847	9947	TotalCN	2	-0.034	0.487	homogeneous	2	STT10092.OSCHP
80	12	189400	133818115	10345	TotalCN	2	0.005	0.487	homogeneous	2	STT10092.OSCHP
81	13	19084823	115103150	7934	TotalCN	2	-0.013	0.486	homogeneous	2	STT10092.OSCHP
82	14	20219083	107282024	6756	TotalCN	2	0.028	0.487	homogeneous	2	STT10092.OSCHP
83	15	20161372	102397317	6012	TotalCN	2	0.035	0.488	homogeneous	2	STT10092.OSCHP
84	16	83887	26001029	1988	TotalCN	2	0.04	0.487	homogeneous	2	STT10092.OSCHP
85	16	26004897	26270437	18	TotalCN	3	0.267	NaN	homogeneous	2	STT10092.OSCHP
86	16	26280224	90158005	3828	TotalCN	2	0.035	0.487	homogeneous	2	STT10092.OSCHP
87	17	400959	80263427	6413	TotalCN	2	0.02	0.488	homogeneous	2	STT10092.OSCHP
88	18	12842	78007784	5595	TotalCN	2	-0.018	0.487	homogeneous	2	STT10092.OSCHP
89	19	247232	59093239	4835	TotalCN	2	0.009	0.487	homogeneous	2	STT10092.OSCHP
90	20	69094	62912463	5091	TotalCN	2	-0.001	0.486	homogeneous	2	STT10092.OSCHP
91	21	9648315	14861172	22	TotalCN	3	0.31	NaN	homogeneous	2	STT10092.OSCHP
92	21	14902699	48097610	2327	TotalCN	2	0.03	0.486	homogeneous	2	STT10092.OSCHP
93	22	16054713	24341388	700	TotalCN	2	-0.006	0.486	homogeneous	2	STT10092.OSCHP
94	22	24346428	24390318	20	TotalCN	0	-2.952	0.476	homogeneous	2	STT10092.OSCHP
95	22	24394088	38364552	1042	TotalCN	2	-0.027	0.487	homogeneous	2	STT10092.OSCHP
96	22	38383890	38516182	18	TotalCN	3	0.347	NaN	homogeneous	2	STT10092.OSCHP
97	22	38518731	51213826	1016	TotalCN	2	-0.004	0.489	homogeneous	2	STT10092.OSCHP
98	24	177942	57958100	4204	TotalCN	2	-0.008	0.485	homogeneous	2	STT10092.OSCHP
99	24	57979353	58470802	30	TotalCN	1.5	-0.273	NaN	homogeneous	2	STT10092.OSCHP
100	24	61732394	155219364	6956	TotalCN	2	0.003	0.486	homogeneous	2	STT10092.OSCHP
101	25	2660163	28799935	614	TotalCN	0	-3.766	0.326	homogeneous	2	STT10092.OSCHP
1	1	754192	49196334	4148	LOH	0	-	-	homogeneous	2	STT10092.OSCHP
2	1	49197568	53590871	339	LOH	1	-	-	homogeneous	2	STT10092.OSCHP
3	1	53614880	121350934	4598	LOH	0	-	-	homogeneous	2	STT10092.OSCHP
4	1	144009053	147830492	223	LOH	0	-	-	homogeneous	2	STT10092.OSCHP
5	1	149044448	249212878	7779	LOH	0	-	-	homogeneous	2	STT10092.OSCHP
6	2	21494	85673991	6059	LOH	0	-	-	homogeneous	2	STT10092.OSCHP
7	2	85683966	90245035	188	LOH	1	-	-	homogeneous	2	STT10092.OSCHP
8	2	91866487	91866487	1	LOH	0	-	-	homogeneous	2	STT10092.OSCHP
9	2	95429197	243052331	10746	LOH	0	-	-	homogeneous	2	STT10092.OSCHP
10	3	63411	90473621	7267	LOH	0	-	-	homogeneous	2	STT10092.OSCHP
11	3	93517443	157570795	4598	LOH	0	-	-	homogeneous	2	STT10092.OSCHP
12	3	157587098	160616852	219	LOH	1	-	-	homogeneous	2	STT10092.OSCHP
13	3	160630325	197852564	2886	LOH	0	-	-	homogeneous	2	STT10092.OSCHP
14	4	71566	49092454	3083	LOH	0	-	-	homogeneous	2	STT10092.OSCHP
15	4	52684891	190915650	9184	LOH	0	-	-	homogeneous	2	STT10092.OSCHP
16	5	38139	46401271	3231	LOH	0	-	-	homogeneous	2	STT10092.OSCHP
17	5	49441966	68828372	1383	LOH	0	-	-	homogeneous	2	STT10092.OSCHP
18	5	70306678	180698312	7721	LOH	0	-	-	homogeneous	2	STT10092.OSCHP
19	6	204909	58770502	3830	LOH	0	-	-	homogeneous	2	STT10092.OSCHP
20	6	61886393	170913051	7632	LOH	0	-	-	homogeneous	2	STT10092.OSCHP
21	7	41421	58011645	4475	LOH	0	-	-	homogeneous	2	STT10092.OSCHP
22	7	61064518	63648558	83	LOH	1	-	-	homogeneous	2	STT10092.OSCHP
