seqnames,start,end,width,strand,freq,type,pvalue
1,12827192,14850000,2022809,*,1,loss,1
2,241925000,242116765,191766,*,1,loss,1
3,94075000,176950000,82875001,*,1,loss,1
4,5225000,6800000,1575001,*,1,loss,1
4,68275000,70850000,2575001,*,3,gain,0.2
6,32525000,32725000,200001,*,1,gain,0.4
6,35275000,37125000,1850001,*,1,loss,1
10,77275000,77550000,275001,*,1,loss,1
11,77075000,126825000,49750001,*,2,loss,0
12,19150000,21225000,2075001,*,1,gain,0.4
15,85975000,88125000,2150001,*,1,loss,1
16,51500000,52850000,1350001,*,1,loss,1
16,62425000,66175000,3750001,*,1,loss,1
17,5700000,6325000,625001,*,1,loss,1
17,33675000,34475000,800001,*,1,loss,1
17,35875000,36275000,400001,*,1,loss,1
X,2518744,155640448,153121705,*,9,gain,0
Y,4518744,21244771,16726028,*,9,loss,0
