"","Sample","Chromosome","bp.Start","bp.End","Num.of.Markers","Mean"
"1","Sample.1","chr1",717994,248923211,1940,-0.0240519008170453
"2","Sample.1","chr10",105000,133620233,1029,-0.0168519008170453
"3","Sample.1","chr11",155000,84425000,722,-0.00235190081704532
"4","Sample.1","chr11",85025000,126825000,307,-0.699051900817045
"5","Sample.1","chr11",126950000,134988311,68,-0.0812519008170453
"6","Sample.1","chr12",80000,133207655,1037,4.80991829546751e-05
"7","Sample.1","chr13",18729053,114327164,511,-0.00915190081704532
"8","Sample.1","chr14",19855857,106841859,691,-0.0309519008170453
"9","Sample.1","chr15",20232279,101840595,694,-0.0426519008170453
"10","Sample.1","chr16",55000,90139173,767,-0.0247519008170453
"11","Sample.1","chr17",130000,5575000,92,0.0739480991829547
"12","Sample.1","chr17",5700000,6325000,5,-0.544851900817045
"13","Sample.1","chr17",6425000,33375000,225,-0.00545190081704532
"14","Sample.1","chr17",33675000,34475000,6,-0.549951900817045
"15","Sample.1","chr17",34575000,35825000,14,-0.0215519008170453
"16","Sample.1","chr17",35875000,36275000,5,-0.614451900817045
"17","Sample.1","chr17",36475000,83148721,558,0.00384809918295467
"18","Sample.1","chr18",130000,80231643,404,-0.0372519008170453
"19","Sample.1","chr19",180000,58578808,796,0.0639480991829547
"20","Sample.1","chr2",105000,242116765,1624,-0.00575190081704532
"21","Sample.1","chr20",158168,64292084,559,-0.0727519008170453
"22","Sample.1","chr21",10569444,46674992,240,0.0265480991829547
"23","Sample.1","chr22",16557005,50754234,432,0.00114809918295467
"24","Sample.1","chr3",230000,93877787,560,-0.0211519008170453
"25","Sample.1","chr3",94075000,176950000,473,-0.605351900817045
"26","Sample.1","chr3",177125000,198142780,192,-0.0158519008170453
"27","Sample.1","chr4",55000,69250000,370,0.000948099182954673
"28","Sample.1","chr4",69675000,70675000,5,1.82554809918295
"29","Sample.1","chr4",70750000,190061561,551,0.0348480991829547
"30","Sample.1","chr5",55000,181364130,1089,-0.0156519008170453
"31","Sample.1","chr6",155000,170647990,1167,0.00454809918295467
"32","Sample.1","chr7",55000,159242987,1049,0.00934809918295467
"33","Sample.1","chr8",205000,145039318,931,-0.0346519008170453
"34","Sample.1","chr9",130000,138192359,673,-0.0152519008170453
"35","Sample.1","chrX",2518744,27725000,89,1.00894809918295
"36","Sample.1","chrX",28775000,36475000,16,3.46934809918295
"37","Sample.1","chrX",37024631,155640448,373,0.881048099182955
"38","Sample.1","chrY",4518744,21244771,13,-2.93235190081705
