"","Chromosome","Start","End","Feature","203219650162_R08C01","203219650188_R08C01","203219750019_R05C01","203219750053_R05C01","203219760009_R08C01","203220070150_R02C01","203225140266_R03C01","203257030015_R06C01","203257030060_R08C01"
"chr1-0001","chr1",521369,600000,"chr1-0001",-0.131,-0.1,0.299,0.034,0.114,-0.179,-0.309,0.059,0.185
"chr1-0002","chr1",600001,800000,"chr1-0002",0.082,-0.038,0.17,0.026,-0.029,-0.099,-0.028,0.013,-0.044
"chr1-0003","chr1",800001,850000,"chr1-0003",0.29,-0.069,0.135,-0.036,-0.002,0.045,-0.099,0.072,0.015
"chr1-0004","chr1",850001,900000,"chr1-0004",0.046,-0.057,0.039,0.018,-0.033,0.003,-0.03,0.042,0.009
"chr1-0005","chr1",900001,950000,"chr1-0005",0.078,-0.049,0.101,0.036,0.059,0.057,-0.072,0.046,0.014
"chr1-0006","chr1",950001,1000000,"chr1-0006",0.117,0.047,0.275,0.173,0.054,0.027,0.002,0.179,0.11
"chr1-0007","chr1",1000001,1050000,"chr1-0007",0.091,0.008,0.33,0.167,0.013,0.052,-0.032,0.151,0.103
"chr1-0008","chr1",1050001,1100000,"chr1-0008",0.145,0.072,0.285,0.142,0.056,0.091,-0.023,0.211,0.097
"chr1-0009","chr1",1100001,1150000,"chr1-0009",-0.041,-0.073,0.177,0.011,0.007,0.005,-0.134,0.072,0.033
"chr1-0010","chr1",1150001,1200000,"chr1-0010",0.116,0.066,0.367,0.151,0.067,0.073,-0.003,0.168,0.113
"chr1-0011","chr1",1200001,1250000,"chr1-0011",0.137,-0.016,0.233,0.132,0.009,0.027,-0.015,0.146,0.059
"chr1-0012","chr1",1250001,1300000,"chr1-0012",0.114,-0.008,0.204,0.15,0.014,0.041,-0.045,0.124,0.071
"chr1-0013","chr1",1300001,1350000,"chr1-0013",0.122,-0.03,0.143,0.082,0.084,0.078,-0.062,0.134,0.025
"chr1-0014","chr1",1350001,1400000,"chr1-0014",0.057,-0.007,0.069,0.013,0.01,0.014,-0.08,0.086,0.026
"chr1-0015","chr1",1400001,1450000,"chr1-0015",0.122,0.125,0.279,0.196,0.133,0.053,-0.022,0.238,0.186
"chr1-0016","chr1",1450001,1500000,"chr1-0016",0.086,0.093,0.338,0.171,0.064,0.023,-0.066,0.158,0.086
"chr1-0017","chr1",1500001,1550000,"chr1-0017",0.083,0.081,0.197,0.025,0.065,0.093,-0.125,0.038,0.105
"chr1-0018","chr1",1550001,1600000,"chr1-0018",0.15,0.083,0.224,0.176,0.088,0.074,-0.066,0.179,0.124
"chr1-0019","chr1",1600001,1650000,"chr1-0019",0.031,0.092,0.421,0.183,0.121,0.133,-0.042,0.152,0.131
"chr1-0020","chr1",1650001,1700000,"chr1-0020",0.106,0.116,0.373,0.286,0.118,0.1,0.057,0.182,0.186
"chr1-0021","chr1",1700001,1800000,"chr1-0021",0.072,0.091,0.047,0,0.06,0.049,-0.15,0.086,0.037
"chr1-0022","chr1",1800001,1850000,"chr1-0022",0.052,0.107,0.05,0.033,0.083,0.07,0.034,0.143,0.057
"chr1-0023","chr1",1850001,1900000,"chr1-0023",-0.111,-0.095,0.002,-0.094,-0.08,0.043,-0.182,0,-0.023
"chr1-0024","chr1",1900001,1950000,"chr1-0024",0.069,0.194,0.405,0.19,0.148,0.166,-0.052,0.177,0.146
"chr1-0025","chr1",1950001,2000000,"chr1-0025",-0.041,0.097,0.199,0.001,0.02,0.108,-0.185,0.074,0.021
"chr1-0026","chr1",2000001,2050000,"chr1-0026",-0.053,0.021,0.152,0.056,0.064,0.078,-0.104,0.084,0.055
"chr1-0027","chr1",2050001,2100000,"chr1-0027",-0.02,0.031,0.144,0.053,0.006,0.067,-0.121,-0.009,0.019
"chr1-0028","chr1",2100001,2150000,"chr1-0028",0.11,-0.001,0.127,0.055,0.046,0.068,-0.002,0.068,0.02
"chr1-0029","chr1",2150001,2200000,"chr1-0029",0.048,0.094,0.127,0.14,0.032,0.066,-0.034,0.047,0.064
"chr1-0030","chr1",2200001,2250000,"chr1-0030",0.032,-0.006,0.116,0.035,0.009,0.025,-0.018,0.063,0.052
"chr1-0031","chr1",2250001,2300000,"chr1-0031",0.074,-0.064,0.137,0.022,0.033,0.094,-0.071,0.015,0.065
"chr1-0032","chr1",2300001,2350000,"chr1-0032",0.056,-0.043,0.103,0.029,-0.001,0.046,-0.076,0.084,0.001
"chr1-0033","chr1",2350001,2400000,"chr1-0033",-0.088,-0.07,-0.004,-0.133,-0.053,-0.024,-0.152,-0.04,0.01
"chr1-0034","chr1",2400001,2450000,"chr1-0034",-0.107,-0.172,0.015,-0.106,-0.127,-0.058,-0.207,-0.041,-0.034
"chr1-0035","chr1",2450001,2500000,"chr1-0035",0.089,-0.058,-0.066,0.036,-0.045,0.007,-0.035,0.062,0
"chr1-0036","chr1",2500001,2550000,"chr1-0036",0.016,-0.103,0.065,-0.021,-0.016,0.039,-0.1,0.044,-0.034
"chr1-0037","chr1",2550001,2634220,"chr1-0037",0.099,-0.151,-0.003,0.03,0.018,0.117,-0.02,0.153,0.042
"chr1-0038","chr1",2684221,2750000,"chr1-0038",-0.101,-0.105,-0.07,-0.081,-0.026,0.01,-0.154,-0.041,0.012
"chr1-0039","chr1",2750001,2800000,"chr1-0039",-0.068,-0.1,0.074,-0.071,-0.036,-0.001,-0.159,-0.047,-0.001
"chr1-0040","chr1",2800001,2850000,"chr1-0040",-0.112,-0.052,0.05,-0.021,-0.08,0.065,-0.159,0.008,0.006
"chr1-0041","chr1",2850001,2900000,"chr1-0041",-0.15,-0.046,0.045,-0.101,-0.045,0.045,-0.182,-0.074,0.023
"chr1-0042","chr1",2900001,2950000,"chr1-0042",-0.186,-0.087,-0.108,-0.147,-0.023,-0.019,-0.238,-0.049,-0.036
"chr1-0043","chr1",2950001,3000000,"chr1-0043",-0.017,-0.037,0.158,0.001,-0.024,-0.022,-0.109,0.033,0.012
"chr1-0044","chr1",3000001,3050000,"chr1-0044",-0.1,-0.081,0.086,-0.056,-0.006,0.033,-0.14,0.001,-0.017
"chr1-0045","chr1",3050001,3100000,"chr1-0045",-0.125,-0.044,-0.01,-0.076,-0.028,0.001,-0.153,-0.047,-0.049
"chr1-0046","chr1",3100001,3150000,"chr1-0046",-0.131,-0.078,0.016,-0.077,-0.039,-0.007,-0.129,-0.129,-0.041
"chr1-0047","chr1",3150001,3200000,"chr1-0047",-0.099,-0.094,0.045,-0.054,-0.031,-0.007,-0.206,-0.095,-0.075
"chr1-0048","chr1",3200001,3250000,"chr1-0048",-0.038,-0.071,-0.043,-0.03,-0.037,-0.016,-0.104,-0.011,-0.062
"chr1-0049","chr1",3250001,3300000,"chr1-0049",-0.148,-0.107,0.02,-0.034,-0.052,-0.075,-0.215,-0.11,-0.074
"chr1-0050","chr1",3300001,3350000,"chr1-0050",-0.041,-0.026,0.104,0,0.008,0.026,-0.157,0.008,0.074
"chr1-0051","chr1",3350001,3400000,"chr1-0051",-0.1,-0.111,0.036,-0.065,-0.075,0,-0.13,-0.029,0.015
"chr1-0052","chr1",3400001,3450000,"chr1-0052",-0.063,-0.119,0.072,0.013,-0.061,0,-0.175,0.036,0.005
"chr1-0053","chr1",3450001,3500000,"chr1-0053",-0.1,-0.113,-0.051,-0.117,-0.052,0.006,-0.188,-0.016,-0.036
