Chrom	Chr	Start	End	Width	BAF.Value	BAF.Status	Start.FeatureName	End.FeatureName	Start.FeatureIdx	End.FeatureIdx	Features
chr1	1	843405	27895517	27052113	0.5	Hetero	S-tag208223	S-tag224261	647	1	647
chr1	1	27951127	29083223	1132097	0.40083072596835	Unbalanced	S-tag091430	S-tag168186	671	648	24
chr1	1	29411250	31424889	2013640	0.34567602136905	Unbalanced	S-tag043002	S-tag125698	716	672	45
chr1	1	31426815	33437042	2010228	0.416434829433759	Unbalanced	S-tag178874	S-tag293343	764	717	48
chr1	1	33448220	41615358	8167139	0.451318061228621	Unbalanced	S-tag168138	S-tag321730	882	765	118
chr1	1	42410100	43300663	890564	0.5	Hetero	S-tag243883	S-tag312812	905	883	23
chr1	1	43325682	43811405	485724	0.47337492108345	Unbalanced	S-tag211166	S-tag045770	925	906	20
chr1	1	43826312	46502836	2676525	0.441574880799925	Unbalanced	S-tag038835	S-tag155507	1023	926	98
chr1	1	46635895	48721158	2085264	0.469649562239647	Unbalanced	S-tag287277	S-tag182839	1063	1024	40
chr1	1	48721207	52042131	3320925	0.428607365641838	Unbalanced	S-tag005317	S-tag088932	1141	1064	78
chr1	1	52049659	54634941	2585283	0.467833414582219	Unbalanced	S-tag166179	S-tag043351	1194	1142	53
chr1	1	54645313	59203121	4557809	0.436684675189372	Unbalanced	S-tag327913	S-tag269715	1352	1195	158
chr1	1	59204825	62102307	2897483	0.452293191903108	Unbalanced	S-tag021221	S-tag068458	1415	1353	63
chr1	1	62106396	65069961	2963566	0.399377229469572	Unbalanced	S-tag071072	S-tag216735	1484	1416	69
chr1	1	66049167	75327004	9277838	0.284903092284676	Unbalanced	S-tag275771	S-tag078010	1662	1485	178
chr1	1	75564734	86289082	10724349	0.23436827032487	Unbalanced	S-tag090907	S-tag220985	1873	1663	211
chr1	1	86453237	88270483	1817247	0.27399730682373	Unbalanced	S-tag254565	S-tag179141	1905	1874	32
chr1	1	88463421	109406103	20942683	0.294777550606668	Unbalanced	S-tag185716	S-tag166623	2384	1906	479
chr1	1	109527108	119975253	10448146	0.393233642272514	Unbalanced	S-tag228611	S-tag159289	2629	2385	245
chr1	1	120282342	121333234	1050893	0.249378721912702	Unbalanced	S-tag295717	S-tag270975	2644	2630	15
chr1	1	144990437	145428332	437896	0.189305293063323	Unbalanced	S-tag208139	S-tag242337	2650	2645	6
chr1	1	145597417	205656583	60059167	0.154032269409317	Unbalanced	S-tag128489	S-tag164708	3652	2651	1002
chr1	1	205685352	249114846	43429495	0.158124733131916	Unbalanced	S-tag293637	S-tag016655	4339	3653	687
chr2	2	132364	78633880	78501517	0.155660836193279	Unbalanced	S-tag041430	S-tag063256	5391	4340	1052
chr2	2	78852217	81663140	2810924	0.37270463756834	Unbalanced	S-tag053667	S-tag000442	5463	5392	72
chr2	2	81800785	87021943	5221159	0.5	Hetero	S-tag100424	S-tag261559	5560	5464	97
chr2	2	88428834	114488405	26059572	0.389998028929843	Unbalanced	S-tag036667	S-tag091057	5990	5561	430
chr2	2	115272713	197876929	82604217	0.5	Hetero	S-tag091095	S-tag130144	7672	5991	1682
chr2	2	197926353	198690001	763649	0.461472210763097	Unbalanced	S-tag110622	S-tag165098	7697	7673	25
chr2	2	198721054	218812081	20091028	0.5	Hetero	S-tag279361	S-tag156243	8208	7698	511
chr2	2	219019871	219195799	175929	0.450656540269201	Unbalanced	S-tag243466	S-tag078053	8219	8209	11
chr2	2	219202484	224724493	5522010	0.5	Hetero	S-tag154222	S-tag028609	8327	8220	108
chr2	2	224837750	226701408	1863659	0.219677209854126	Unbalanced	S-tag189036	S-tag151926	8380	8328	53
chr2	2	226809036	227579207	770172	0.178319318570197	Unbalanced	S-tag114743	S-tag209817	8396	8381	16
chr2	2	227771389	228696351	924963	0.215202209980864	Unbalanced	S-tag036245	S-tag140573	8415	8397	19
