,205125590013_R05C01,205128000013_R03C01,205128000076_R04C01,205240110044_R02C01,205240110063_R03C01
chr1:747994-248923211,2,2,2,2,2
chr1:747994-2661391,2,2,3,2,2
chr1:2778145-248923211,2,2,2,2,2
chr2:110000-242111765,2,2,2,2,2
chr3:115000-198097780,2,2,2,2,2
chr4:110000-190066561,2,2,2,2,2
chr4:110000-3585000,2,2,2,2,2
chr4:3650000-190066561,2,2,2,2,2
chr5:50000-181369130,2,2,2,2,2
chr5:50000-1615000,2,2,2,2,2
chr5:1650000-181369130,2,2,2,2,2
chr6:140000-49630000,2,2,2,2,2
chr6:140000-32425000,2,2,2,2,2
chr6:32480000-32700000,1,1,2,1,1
chr6:32750000-170662990,2,2,2,2,2
chr6:49790000-51170000,2,2,1,2,2
chr6:51665000-170662990,2,2,2,2,2
chr7:50000-159247987,2,2,2,2,2
chr8:195000-145039318,2,2,2,2,2
chr9:215000-138187359,2,2,2,2,2
chr10:125000-133625233,2,2,2,2,2
chr11:145000-134993311,2,2,2,2,2
chr11:145000-55870000,2,2,2,2,2
chr11:145000-50555674,2,2,2,2,2
chr11:145000-2450000,2,2,2,2,2
chr11:2495000-55870000,2,2,2,2,2
chr11:55167537-56455000,2,2,2,2,1
chr11:55980000-57105000,2,2,1,2,2
chr11:55980000-56615000,2,2,2,1,2
chr11:56615000-134993311,2,2,2,2,2
chr11:56835000-134993311,2,2,2,2,2
chr11:57275000-134993311,2,2,2,2,2
chr12:70000-133222655,2,2,2,2,2
chr13:18679053-114332164,2,2,2,2,2
chr13:18679053-114025000,2,2,2,2,2
chr13:114035000-114332164,2,2,2,2,2
chr14:19770857-100925000,2,2,2,2,2
chr14:19770857-100900000,2,2,2,2,2
chr14:19770857-36415000,2,2,2,2,2
chr14:36515000-37180000,2,2,2,2,1
chr14:37225000-100925000,2,2,2,2,2
chr14:100925000-101005000,1,2,1,2,2
chr14:100950000-101025000,2,2,2,2,1
chr14:100950000-101005000,2,1,2,1,2
chr14:101025000-106751859,2,2,2,2,2
chr14:101035000-106751859,2,2,2,2,2
chr15:20232279-101850595,2,2,2,2,2
chr15:20232279-25135000,2,2,2,2,2
chr15:20232279-25075000,2,2,2,2,2
chr15:25090000-25255000,2,2,1,1,2
chr15:25175000-25255000,2,1,2,2,1
chr15:25350000-101850595,2,2,2,2,2
chr15:25350000-89345000,2,2,2,2,2
chr15:89365000-89465000,2,2,2,2,1
chr15:89530000-101850595,2,2,2,2,2
chr16:40000-90149173,2,2,2,2,2
chr16:40000-89195000,2,2,2,2,2
chr16:89235000-89410000,2,2,2,2,2
chr16:89435000-90149173,2,2,2,2,2
chr17:130000-83168721,2,2,2,2,2
chr18:135000-80206643,2,2,2,2,2
chr18:135000-37105000,2,2,2,2,2
chr18:37300000-37540000,2,2,2,2,1
chr18:37625000-80206643,2,2,2,2,2
chr19:175000-58588808,2,2,2,2,2
chr20:178168-64292084,2,2,2,2,2
chr21:10569444-46679992,2,2,2,2,2
chr22:16567005-50769234,2,2,2,2,2
chrX:2528744-155645448,3,3,3,3,3
chrY:4728744-21244771,1,1,1,1,1
