"","Chromosome","Start","End","Feature","205125590013_R05C01","205128000013_R03C01","205128000076_R04C01","205240110044_R02C01","205240110063_R03C01"
"chr1-0001","chr1",521369,600000,"chr1-0001",0.055,-0.007,0.013,0.028,0.084
"chr1-0002","chr1",600001,800000,"chr1-0002",-0.02,0.06,0.021,-0.035,0.097
"chr1-0003","chr1",800001,850000,"chr1-0003",0.065,-0.036,0.124,0.032,-0.084
"chr1-0004","chr1",850001,900000,"chr1-0004",0.031,0.097,0.205,0.117,-0.074
"chr1-0005","chr1",900001,950000,"chr1-0005",0.054,0.071,0.23,0.146,0.007
"chr1-0006","chr1",950001,1000000,"chr1-0006",0.047,0.158,0.263,0.192,0.13
"chr1-0007","chr1",1000001,1050000,"chr1-0007",0.104,0.197,0.248,0.232,0.128
"chr1-0008","chr1",1050001,1100000,"chr1-0008",0.094,0.149,0.228,0.197,0.113
"chr1-0009","chr1",1100001,1150000,"chr1-0009",0.084,0.161,0.22,0.174,0
"chr1-0010","chr1",1150001,1200000,"chr1-0010",0.104,0.192,0.227,0.246,0.125
"chr1-0011","chr1",1200001,1250000,"chr1-0011",0.066,0.105,0.22,0.132,0.033
"chr1-0012","chr1",1250001,1300000,"chr1-0012",0.069,0.139,0.201,0.159,0.031
"chr1-0013","chr1",1300001,1350000,"chr1-0013",0.092,0.083,0.161,0.102,-0.02
"chr1-0014","chr1",1350001,1400000,"chr1-0014",0.064,0.067,0.139,0.062,-0.067
"chr1-0015","chr1",1400001,1450000,"chr1-0015",0.108,0.211,0.236,0.189,0.222
"chr1-0016","chr1",1450001,1500000,"chr1-0016",0.078,0.113,0.15,0.174,0.076
"chr1-0017","chr1",1500001,1550000,"chr1-0017",0.075,0.168,0.193,0.157,0.231
"chr1-0018","chr1",1550001,1600000,"chr1-0018",0.085,0.132,0.196,0.187,0.143
"chr1-0019","chr1",1600001,1650000,"chr1-0019",0.214,0.138,0.193,0.202,0.212
"chr1-0020","chr1",1650001,1700000,"chr1-0020",0.149,0.181,0.28,0.229,0.189
"chr1-0021","chr1",1700001,1800000,"chr1-0021",0.085,0.055,0.172,0.112,0.175
"chr1-0022","chr1",1800001,1850000,"chr1-0022",0.112,0.094,0.197,0.181,0.168
"chr1-0023","chr1",1850001,1900000,"chr1-0023",0.077,0.131,0.167,0.115,-0.068
"chr1-0024","chr1",1900001,1950000,"chr1-0024",0.103,0.173,0.254,0.237,0.209
"chr1-0025","chr1",1950001,2000000,"chr1-0025",0.068,0.109,0.172,0.124,-0.006
"chr1-0026","chr1",2000001,2050000,"chr1-0026",0.109,0.097,0.166,0.068,-0.023
"chr1-0027","chr1",2050001,2100000,"chr1-0027",0.082,-0.004,0.025,0.03,0.004
"chr1-0028","chr1",2100001,2150000,"chr1-0028",0.107,0.059,0.138,0.089,-0.012
"chr1-0029","chr1",2150001,2200000,"chr1-0029",0.054,0.103,0.174,0.162,0.069
"chr1-0030","chr1",2200001,2250000,"chr1-0030",0.108,0.024,0.138,0.075,-0.039
"chr1-0031","chr1",2250001,2300000,"chr1-0031",0.1,0.091,0.194,0.117,-0.044
"chr1-0032","chr1",2300001,2350000,"chr1-0032",0.057,0.055,0.119,0.053,0.018
"chr1-0033","chr1",2350001,2400000,"chr1-0033",0.038,-0.011,0.112,0.023,-0.306
"chr1-0034","chr1",2400001,2450000,"chr1-0034",0.026,0.093,0.129,0.095,-0.248
"chr1-0035","chr1",2450001,2500000,"chr1-0035",0.058,0,0.176,-0.026,-0.112
"chr1-0036","chr1",2500001,2550000,"chr1-0036",0.142,0.108,0.218,0.137,0.013
"chr1-0037","chr1",2550001,2634220,"chr1-0037",0.123,0.068,0.218,0.012,-0.083
