"ID","chrom","loc.start","loc.end","num.mark","seg.mean","seg.sd","seg.median","seg.mad","pval","lcl","ucl"
"Sample.1","chr1",680494,2663891,68,0.1538,0.0719,0.1447,0.0681,1.35928842642531e-66,2600000,2862500
"Sample.1","chr1",2773145,248923211,2182,-0.0533,0.1014,-0.0518,0.1034,NA,NA,NA
"Sample.1","chr10",67500,51375000,430,-0.0383,0.0984,-0.0312,0.0949,7.57121538733477e-15,50900000,51775000
"Sample.1","chr10",51775000,55262500,10,-0.267,0.0882,-0.2587,0.0761,1.46322075478162e-24,54687500,57412500
"Sample.1","chr10",55987500,133620233,709,-0.0528,0.1043,-0.0602,0.104,NA,NA,NA
"Sample.1","chr11",130000,3862500,108,0.1059,0.1008,0.1145,0.0977,1.49121935923788e-54,3712500,4300000
"Sample.1","chr11",3975000,27787500,197,-0.0889,0.1035,-0.0785,0.0928,5.63008591709256e-05,27375000,27987500
"Sample.1","chr11",27987500,29650000,6,-0.2971,0.0835,-0.3197,0.0673,3.33468570394656e-15,29150000,30775000
"Sample.1","chr11",30162500,135025811,990,-0.0477,0.1076,-0.0437,0.1058,NA,NA,NA
"Sample.1","chr12",67500,133220155,1210,-0.0381,0.112,-0.0363,0.1015,NA,NA,NA
"Sample.1","chr13",18529053,114327164,566,-0.061,0.1143,-0.0617,0.1143,NA,NA,NA
"Sample.1","chr14",19043822,106854359,790,-0.0583,0.121,-0.0562,0.1057,NA,NA,NA
"Sample.1","chr15",20062627,25062500,26,0.0197,0.0959,0.0149,0.1116,1.54785586911818e-12,25012500,25062500
"Sample.1","chr15",25087500,25337500,7,-0.2654,0.0721,-0.249,0.0697,1.22470647751561e-07,25337500,25637500
"Sample.1","chr15",25500000,101890595,749,-0.0524,0.0922,-0.0526,0.0946,NA,NA,NA
"Sample.1","chr16",42500,90151673,997,0.0145,0.1025,0.0167,0.1058,NA,NA,NA
"Sample.1","chr17",117500,83161221,1170,-0.0029,0.0963,3e-04,0.0986,NA,NA,NA
"Sample.1","chr18",42500,80244143,425,-0.0414,0.1032,-0.0436,0.0992,NA,NA,NA
"Sample.1","chr19",192500,58578808,1052,0.0483,0.095,0.0512,0.0883,NA,NA,NA
"Sample.1","chr2",30000,242116765,1759,-0.0554,0.1043,-0.0508,0.0976,NA,NA,NA
"Sample.1","chr20",170668,64292084,624,-0.0205,0.1043,-0.0193,0.0984,NA,NA,NA
"Sample.1","chr21",5067500,46674992,293,-0.0091,0.1292,-0.0084,0.1224,NA,NA,NA
"Sample.1","chr22",15716995,50766734,520,0.0213,0.0955,0.0201,0.0898,NA,NA,NA
"Sample.1","chr3",155000,20587500,161,-0.0597,0.0953,-0.0475,0.1082,8.02898001926227e-10,20250000,21837500
"Sample.1","chr3",21125000,22675000,5,-0.3748,0.2592,-0.2683,0.1764,3.62093175701693e-10,21575000,23087500
"Sample.1","chr3",23087500,198167780,1180,-0.0664,0.1104,-0.0626,0.1059,NA,NA,NA
"Sample.1","chr4",55000,3562500,92,0.1188,0.0901,0.1168,0.086,6.70491740748675e-68,3512500,3662500
"Sample.1","chr4",3600000,190061561,915,-0.0881,0.1081,-0.0816,0.1086,NA,NA,NA
"Sample.1","chr5",42500,181364130,1210,-0.0674,0.1095,-0.0689,0.1029,NA,NA,NA
"Sample.1","chr6",142500,32525000,388,-0.0901,0.1061,-0.0814,0.1037,2.85055677092084e-26,32525000,32637500
"Sample.1","chr6",32562500,32737500,5,-0.6672,0.4737,-0.5826,0.6555,2.85977833477938e-33,32600000,32737500
"Sample.1","chr6",32775000,170660490,915,-0.0957,0.1098,-0.0882,0.1036,NA,NA,NA
"Sample.1","chr7",42500,159242987,1270,-0.053,0.1236,-0.0481,0.1268,NA,NA,NA
"Sample.1","chr8",155000,145039318,1043,-0.0658,0.1149,-0.0695,0.115,NA,NA,NA
"Sample.1","chr9",105000,138217359,743,-0.0273,0.1062,-0.0295,0.1047,NA,NA,NA
"Sample.1","chrX",2518744,155640448,530,0.4564,0.1257,0.4512,0.1203,NA,NA,NA
"Sample.1","chrY",3568744,24239248,16,-3.3967,1.1367,-3.629,0.4855,NA,NA,NA
