"","Sample","Chromosome","bp.Start","bp.End","Num.of.Markers","Mean"
"1","Sample.1","chr1",717994,248923211,1940,-0.0130680114897626
"2","Sample.1","chr10",105000,133620233,1029,-0.00816801148976257
"3","Sample.1","chr11",155000,134988311,1097,-0.0180680114897626
"4","Sample.1","chr12",80000,133207655,1037,0.0203319885102374
"5","Sample.1","chr13",18729053,114327164,511,3.19885102374254e-05
"6","Sample.1","chr14",19855857,97125000,563,-0.0205680114897626
"7","Sample.1","chr14",97400000,99075000,7,-0.303668011489763
"8","Sample.1","chr14",99175000,106841859,121,0.0392319885102374
"9","Sample.1","chr15",20232279,101840595,694,-0.0185680114897626
"10","Sample.1","chr16",55000,90139173,767,0.000131988510237428
"11","Sample.1","chr17",130000,33375000,322,0.0167319885102374
"12","Sample.1","chr17",33675000,34475000,6,-0.388068011489763
"13","Sample.1","chr17",34575000,35825000,14,-0.0631680114897626
"14","Sample.1","chr17",35875000,36275000,5,-0.291768011489763
"15","Sample.1","chr17",36475000,83148721,558,0.00833198851023743
"16","Sample.1","chr18",130000,80231643,404,0.00113198851023743
"17","Sample.1","chr19",180000,58578808,796,0.0528319885102374
"18","Sample.1","chr2",105000,242116765,1624,0.00203198851023743
"19","Sample.1","chr20",158168,64292084,559,-0.0381680114897626
"20","Sample.1","chr21",10569444,46674992,240,0.0191319885102374
"21","Sample.1","chr22",16557005,50754234,432,0.000731988510237425
"22","Sample.1","chr3",230000,198142780,1225,0.00113198851023743
"23","Sample.1","chr4",55000,69250000,370,0.0236319885102374
"24","Sample.1","chr4",69675000,70850000,7,0.329331988510237
"25","Sample.1","chr4",70925000,190061561,549,0.0378319885102374
"26","Sample.1","chr5",55000,181364130,1089,-0.00326801148976257
"27","Sample.1","chr6",155000,32450000,323,-0.0219680114897626
"28","Sample.1","chr6",32525000,32725000,5,0.572431988510237
"29","Sample.1","chr6",32775000,170647990,839,0.00123198851023743
"30","Sample.1","chr7",55000,159242987,1049,0.0166319885102374
"31","Sample.1","chr8",205000,145039318,931,-0.0142680114897626
"32","Sample.1","chr9",130000,138192359,673,-0.0101680114897626
"33","Sample.1","chrX",2518744,155640448,478,0.692231988510237
"34","Sample.1","chrY",4518744,21244771,13,-3.24756801148976
