"","Sample","Chromosome","bp.Start","bp.End","Num.of.Markers","Mean"
"1","Sample.1","chr1",742994,23475000,213,-0.301642316749296
"2","Sample.1","chr1",23575000,25700000,18,0.0445576832507039
"3","Sample.1","chr1",25825000,28775000,32,-0.338642316749296
"4","Sample.1","chr1",28975000,248898211,800,0.140657683250704
"5","Sample.1","chr10",130000,50200000,191,0.00295768325070388
"6","Sample.1","chr10",50500000,68175000,33,-0.659342316749296
"7","Sample.1","chr10",68375000,133620233,321,-0.401142316749296
"8","Sample.1","chr11",155000,4200000,64,-0.325642316749296
"9","Sample.1","chr11",4475000,5775000,9,-0.912742316749296
"10","Sample.1","chr11",6050000,56275000,158,-0.471642316749296
"11","Sample.1","chr11",56975000,108325000,267,-0.00894231674929612
"12","Sample.1","chr11",108500000,134888311,146,-0.434142316749296
"13","Sample.1","chr12",80000,71525000,293,-0.0471423167492961
"14","Sample.1","chr12",71725000,92550000,37,-0.272842316749296
"15","Sample.1","chr12",92800000,133182655,240,-0.00304231674929612
"16","Sample.1","chr13",18854053,20550000,8,-0.104742316749296
"17","Sample.1","chr13",20725000,53175000,133,-0.551642316749296
"18","Sample.1","chr13",54150000,93925000,37,-0.904242316749296
"19","Sample.1","chr13",94450000,101675000,30,-0.562542316749296
"20","Sample.1","chr13",102225000,114302164,78,-0.0113423167492961
"21","Sample.1","chr14",19955857,106541859,364,-0.493242316749296
"22","Sample.1","chr15",22579121,57150000,150,-0.477942316749296
"23","Sample.1","chr15",57325000,101840595,225,0.00235768325070388
"24","Sample.1","chr16",80000,6525000,86,0.0415576832507039
"25","Sample.1","chr16",6950000,88725000,333,-0.378942316749296
"26","Sample.1","chr16",88775000,90139173,26,0.0564576832507039
"27","Sample.1","chr17",155000,11825000,116,-0.357642316749296
"28","Sample.1","chr17",12325000,12875000,3,0.394257683250704
"29","Sample.1","chr17",13300000,83148721,483,0.00225768325070388
"30","Sample.1","chr18",130000,80181643,147,-0.0414423167492961
"31","Sample.1","chr19",180000,58578808,578,-0.00824231674929612
"32","Sample.1","chr2",130000,28750000,148,-0.405142316749296
"33","Sample.1","chr2",28900000,180475000,428,-0.0177423167492961
"34","Sample.1","chr2",181200000,189275000,13,-0.368342316749296
"35","Sample.1","chr2",189525000,241925000,231,0.0238576832507039
"36","Sample.1","chr2",241975000,242091765,2,-0.539542316749296
"37","Sample.1","chr20",183168,64292084,251,-0.00834231674929612
"38","Sample.1","chr21",14007904,46649992,97,-0.0321423167492961
"39","Sample.1","chr22",16657005,50754234,206,0.0106576832507039
"40","Sample.1","chr3",155000,74125000,278,0.0188576832507039
"41","Sample.1","chr3",75100000,98225000,20,-0.396942316749296
"42","Sample.1","chr3",98525000,150300000,166,-0.00574231674929612
"43","Sample.1","chr3",150500000,189025000,110,-0.554742316749296
"44","Sample.1","chr3",189475000,191850000,5,-0.924942316749296
"45","Sample.1","chr3",192550000,198092780,39,-0.386242316749296
"46","Sample.1","chr4",155000,190061561,475,-0.0627423167492961
"47","Sample.1","chr5",80000,17440274,88,0.00215768325070388
"48","Sample.1","chr5",18765274,29975000,6,-0.532342316749296
"49","Sample.1","chr5",31325000,102500000,170,-0.0444423167492961
"50","Sample.1","chr5",103000000,107500000,5,-0.388042316749296
"51","Sample.1","chr5",107725000,140725000,119,-0.00584231674929612
"52","Sample.1","chr5",140775000,141125000,6,-0.324442316749296
"53","Sample.1","chr5",141175000,181339130,185,0.0445576832507039
"54","Sample.1","chr6",205000,32450000,206,-0.413942316749296
"55","Sample.1","chr6",32525000,32725000,5,-1.3009423167493
"56","Sample.1","chr6",32775000,44275000,94,-0.282642316749296
"57","Sample.1","chr6",44325000,65725000,40,-0.522142316749296
"58","Sample.1","chr6",68225000,170647990,321,0.0224576832507039
"59","Sample.1","chr7",80000,3475000,54,-0.262442316749296
"60","Sample.1","chr7",3800000,12600000,45,0.0421576832507039
"61","Sample.1","chr7",13300000,19925000,14,-0.225942316749296
"62","Sample.1","chr7",20200000,80350000,192,0.0192576832507039
"63","Sample.1","chr7",80750000,84650000,5,-0.538942316749296
"64","Sample.1","chr7",86150000,159242987,316,0.0292576832507039
"65","Sample.1","chr8",205000,145039318,482,0.00545768325070388
"66","Sample.1","chr9",480000,138067359,239,0.0407576832507039
"67","Sample.1","chrX",2718744,155640448,271,0.615957683250704
"68","Sample.1","chrY",5592201,20998668,7,-4.1075423167493
