"","ID","chrom","loc.start","loc.end","num.mark","bstat","pval","seg.mean","seg.median"
"1","203257030015_R06C01","chr1",93709,249149416,453,NA,NA,0.015,0.012
"2","203257030015_R06C01","chr10",280000,135262374,264,NA,NA,0,0.015
"3","203257030015_R06C01","chr11",280000,134723258,253,NA,NA,-0.012,-0.006
"4","203257030015_R06C01","chr12",322870,133670948,261,NA,NA,0.027,0.03
"5","203257030015_R06C01","chr13",19260000,115054939,176,NA,NA,-0.035,-0.023
"6","203257030015_R06C01","chr14",19250000,107144770,170,NA,NA,0.006,0.017
"7","203257030015_R06C01","chr15",20250000,102260696,167,NA,NA,0.028,0.041
"8","203257030015_R06C01","chr16",280000,90147377,159,NA,NA,0.051,0.076
"9","203257030015_R06C01","chr17",148313,81097605,162,NA,NA,0.092,0.118
"10","203257030015_R06C01","chr18",255000,78008624,142,NA,NA,-0.022,0
"11","203257030015_R06C01","chr19",280000,59059492,115,NA,NA,0.197,0.223
"12","203257030015_R06C01","chr2",255000,243051238,468,NA,NA,-0.02,-0.009
"13","203257030015_R06C01","chr20",280000,62732760,123,NA,NA,0.016,0.026
"14","203257030015_R06C01","chr21",10848948,48059948,69,NA,NA,0.019,0.032
"15","203257030015_R06C01","chr22",16373925,51122283,70,NA,NA,0.114,0.134
"16","203257030015_R06C01","chr3",280000,197731215,377,NA,NA,-0.032,-0.037
"17","203257030015_R06C01","chr4",255000,190772138,343,NA,NA,-0.031,-0.026
"18","203257030015_R06C01","chr5",255000,180702630,344,NA,NA,-0.034,-0.037
"19","203257030015_R06C01","chr6",280000,170777534,319,NA,NA,-0.029,-0.022
"20","203257030015_R06C01","chr7",121242,158814332,304,NA,NA,-0.003,-0.003
"21","203257030015_R06C01","chr8",255000,146152011,281,NA,NA,-0.045,-0.034
"22","203257030015_R06C01","chr9",255000,141076716,214,NA,NA,-0.001,0.02
