"","Chromosome","Start","End","Feature","205125590013_R05C01","205128000013_R03C01","205128000076_R04C01","205240110044_R02C01","205240110063_R03C01"
"chr1-001","chr1",10001,177417,"chr1-001",0.057,0.053,0.058,0.065,0.272
"chr1-002","chr1",521369,1000000,"chr1-002",0.087,0.101,0.243,0.132,0.021
"chr1-003","chr1",1000001,2000000,"chr1-003",0.139,0.141,0.262,0.17,0.074
"chr1-004","chr1",2000001,2634220,"chr1-004",0.125,0.065,0.211,0.068,-0.074
"chr1-005","chr1",2684221,3000000,"chr1-005",0.076,-0.033,0.124,-0.064,-0.224
"chr1-006","chr1",3000001,3845268,"chr1-006",0.074,-0.021,0.104,-0.012,-0.153
"chr1-007","chr1",3995269,5000000,"chr1-007",0.024,-0.059,-0.024,-0.064,-0.135
"chr1-008","chr1",5000001,6000000,"chr1-008",0.06,-0.047,0.003,-0.027,-0.109
"chr1-009","chr1",6000001,7000000,"chr1-009",0.103,0.029,0.155,0.049,0.007
"chr1-010","chr1",7000001,8000000,"chr1-010",0.063,-0.031,0.042,0,-0.052
"chr1-011","chr1",8000001,9000000,"chr1-011",0.104,0.092,0.133,0.151,0.159
"chr1-012","chr1",9000001,10000000,"chr1-012",0.102,0.034,0.13,0.083,0.061
"chr1-013","chr1",10000001,11000000,"chr1-013",0.12,0.07,0.127,0.095,0.071
"chr1-014","chr1",11000001,12000000,"chr1-014",0.082,-0.001,0.117,0.048,0.019
"chr1-015","chr1",12000001,13052998,"chr1-015",0.073,0.014,0.087,0.061,0.061
"chr1-016","chr1",13607163,14000000,"chr1-016",0.006,-0.005,0.072,-0.025,-0.078
"chr1-017","chr1",14000001,15000000,"chr1-017",-0.026,-0.01,-0.015,0.006,-0.019
"chr1-018","chr1",15000001,16000000,"chr1-018",0.051,0.006,0.061,0.051,0.037
"chr1-019","chr1",16000001,17000000,"chr1-019",0.117,0.039,0.138,0.053,0.031
"chr1-020","chr1",17000001,17125658,"chr1-020",0.113,0.109,0.156,0.087,0.079
"chr1-021","chr1",17175659,18000000,"chr1-021",0.078,-0.014,0.084,-0.03,-0.036
"chr1-022","chr1",18000001,19000000,"chr1-022",-0.003,-0.088,-0.04,-0.076,-0.136
"chr1-023","chr1",19000001,20000000,"chr1-023",0.07,0.031,0.096,0.035,0.026
"chr1-024","chr1",20000001,21000000,"chr1-024",0.035,-0.021,0.064,0.017,0.025
"chr1-025","chr1",21000001,22000000,"chr1-025",0.081,0.016,0.118,0.037,0.006
"chr1-026","chr1",22000001,23000000,"chr1-026",0.085,-0.01,0.096,0.046,0.012
"chr1-027","chr1",23000001,24000000,"chr1-027",0.036,0.002,0.063,0.023,0.045
"chr1-028","chr1",24000001,25000000,"chr1-028",0.075,0.01,0.103,0.056,0.068
"chr1-029","chr1",25000001,26000000,"chr1-029",0.054,0.015,0.1,0.045,0.038
"chr1-030","chr1",26000001,27000000,"chr1-030",0.069,-0.01,0.086,0.023,0.005
"chr1-031","chr1",27000001,28000000,"chr1-031",0.073,0.01,0.098,0.042,0.026
"chr1-032","chr1",28000001,29000000,"chr1-032",0.105,0.057,0.133,0.092,0.143
"chr1-033","chr1",29000001,29878082,"chr1-033",0.059,0.039,0.091,0.068,0.045
"chr1-034","chr1",30028083,31000000,"chr1-034",0.001,-0.113,-0.058,-0.096,-0.104
"chr1-035","chr1",31000001,32000000,"chr1-035",0.048,-0.007,0.054,0.006,-0.004
"chr1-036","chr1",32000001,33000000,"chr1-036",0.071,-0.013,0.087,0.019,-0.025
"chr1-037","chr1",33000001,34000000,"chr1-037",0.065,0.023,0.093,0.049,0.02
"chr1-038","chr1",34000001,35000000,"chr1-038",-0.007,-0.096,-0.045,-0.081,-0.098
"chr1-039","chr1",35000001,36000000,"chr1-039",0.029,0.001,0.051,0.024,0.026
"chr1-040","chr1",36000001,37000000,"chr1-040",0.097,0.029,0.128,0.049,0.052
"chr1-041","chr1",37000001,38000000,"chr1-041",0.017,-0.057,0.012,-0.048,-0.13
"chr1-042","chr1",38000001,39000000,"chr1-042",0.032,-0.048,0.052,-0.014,-0.031
"chr1-043","chr1",39000001,40000000,"chr1-043",0.056,0.053,0.101,0.089,0.094
"chr1-044","chr1",40000001,41000000,"chr1-044",0.059,0.016,0.101,0.03,0.049
"chr1-045","chr1",41000001,42000000,"chr1-045",0.044,0.008,0.063,0.02,-0.011
"chr1-046","chr1",42000001,43000000,"chr1-046",0.019,-0.042,0.002,-0.016,-0.011
"chr1-047","chr1",43000001,44000000,"chr1-047",0.038,-0.024,0.046,-0.008,-0.024
"chr1-048","chr1",44000001,45000000,"chr1-048",0.048,-0.034,0.056,-0.023,-0.072
"chr1-049","chr1",45000001,46000000,"chr1-049",0.072,0,0.114,0.048,0.042
"chr1-050","chr1",46000001,47000000,"chr1-050",0.045,0.009,0.062,0.033,0.045
"chr1-051","chr1",47000001,48000000,"chr1-051",0.03,-0.027,0.017,-0.024,-0.054
"chr1-052","chr1",48000001,49000000,"chr1-052",-0.009,-0.068,-0.055,-0.06,-0.104
"chr1-053","chr1",49000001,50000000,"chr1-053",-0.053,-0.024,-0.066,-0.062,-0.045
"chr1-054","chr1",50000001,51000000,"chr1-054",-0.038,-0.045,-0.045,-0.094,-0.126
"chr1-055","chr1",51000001,52000000,"chr1-055",0.066,0.058,0.095,0.085,0.172
"chr1-056","chr1",52000001,53000000,"chr1-056",0.033,0.029,0.027,0.044,0.101
"chr1-057","chr1",53000001,54000000,"chr1-057",0.062,0.011,0.079,0.019,-0.01
"chr1-058","chr1",54000001,55000000,"chr1-058",0.049,-0.02,0.013,-0.009,-0.018
"chr1-059","chr1",55000001,56000000,"chr1-059",0.008,-0.066,-0.019,-0.048,-0.084
"chr1-060","chr1",56000001,57000000,"chr1-060",-0.065,-0.027,-0.15,-0.067,-0.143
"chr1-061","chr1",57000001,58000000,"chr1-061",-0.043,-0.025,-0.041,-0.058,-0.086
"chr1-062","chr1",58000001,59000000,"chr1-062",-0.071,-0.049,-0.081,-0.091,-0.122
"chr1-063","chr1",59000001,60000000,"chr1-063",0.012,-0.018,-0.015,-0.016,-0.016
"chr1-064","chr1",60000001,61000000,"chr1-064",-0.052,-0.029,-0.082,-0.069,-0.063
"chr1-065","chr1",61000001,62000000,"chr1-065",-0.011,0.032,-0.018,0,0.021
"chr1-066","chr1",62000001,63000000,"chr1-066",0.055,0.05,0.074,0.055,0.147
"chr1-067","chr1",63000001,64000000,"chr1-067",-0.006,0.027,0.034,0.036,0.029
"chr1-068","chr1",64000001,65000000,"chr1-068",-0.051,-0.006,-0.062,-0.016,0.032
"chr1-069","chr1",65000001,66000000,"chr1-069",0.027,0.076,0.043,0.068,0.08
"chr1-070","chr1",66000001,67000000,"chr1-070",-0.09,-0.037,-0.158,-0.127,-0.077
"chr1-071","chr1",67000001,68000000,"chr1-071",0.009,0.021,0.036,0.012,0.038
"chr1-072","chr1",68000001,69000000,"chr1-072",-0.064,-0.063,-0.078,-0.065,-0.024
"chr1-073","chr1",69000001,70000000,"chr1-073",-0.048,-0.079,-0.128,-0.078,-0.091
"chr1-074","chr1",70000001,71000000,"chr1-074",-0.005,-0.021,-0.035,-0.091,-0.018
"chr1-075","chr1",71000001,72000000,"chr1-075",-0.067,-0.03,-0.137,-0.107,-0.024
"chr1-076","chr1",72000001,73000000,"chr1-076",-0.148,-0.03,-0.152,-0.181,-0.068
"chr1-077","chr1",73000001,74000000,"chr1-077",-0.069,0.045,-0.199,-0.073,-0.003
"chr1-078","chr1",74000001,75000000,"chr1-078",-0.089,-0.008,-0.148,-0.11,-0.036
"chr1-079","chr1",75000001,76000000,"chr1-079",-0.091,-0.132,-0.182,-0.218,-0.175
"chr1-080","chr1",76000001,77000000,"chr1-080",-0.041,-0.007,-0.067,-0.089,-0.071
"chr1-081","chr1",77000001,78000000,"chr1-081",-0.046,-0.044,-0.096,-0.06,-0.082
"chr1-082","chr1",78000001,79000000,"chr1-082",0.039,0.036,0.007,0.04,0.141
"chr1-083","chr1",79000001,80000000,"chr1-083",-0.103,-0.071,-0.217,-0.16,-0.049
"chr1-084","chr1",80000001,81000000,"chr1-084",-0.146,-0.026,-0.228,-0.225,-0.149
"chr1-085","chr1",81000001,82000000,"chr1-085",-0.059,0.004,-0.141,-0.054,0.009
"chr1-086","chr1",82000001,83000000,"chr1-086",-0.114,-0.068,-0.149,-0.092,-0.052
"chr1-087","chr1",83000001,84000000,"chr1-087",-0.046,0.06,-0.127,-0.098,-0.02
"chr1-088","chr1",84000001,85000000,"chr1-088",-0.063,-0.024,-0.09,-0.075,0
"chr1-089","chr1",85000001,86000000,"chr1-089",-0.04,0.015,-0.013,-0.031,-0.019
"chr1-090","chr1",86000001,87000000,"chr1-090",-0.062,-0.056,-0.108,-0.097,-0.108
"chr1-091","chr1",87000001,88000000,"chr1-091",-0.055,-0.03,-0.063,-0.046,-0.031
"chr1-092","chr1",88000001,89000000,"chr1-092",-0.027,0.023,-0.124,-0.024,-0.029
"chr1-093","chr1",89000001,90000000,"chr1-093",0.003,0.054,-0.043,0.02,0.07
"chr1-094","chr1",90000001,91000000,"chr1-094",-0.028,-0.01,-0.062,-0.038,-0.01
"chr1-095","chr1",91000001,92000000,"chr1-095",-0.053,-0.064,-0.067,-0.103,-0.07
"chr1-096","chr1",92000001,93000000,"chr1-096",0.023,-0.009,0.036,0,0.026
