Chrom	Chr	Start	End	Width	BAF.Value	BAF.Status	Start.FeatureName	End.FeatureName	Start.FeatureIdx	End.FeatureIdx	Features
chr1	1	754192	18136684	17382493	0.5	Hetero	S-tag133716	S-tag217475	1546	1	1546
chr1	1	18231349	19931367	1700019	0.5521	Unbalanced	S-tag160049	S-tag135781	1688	1547	142
chr1	1	19934301	93474165	73539865	0.5	Hetero	S-tag292346	S-tag169422	7517	1689	5829
chr1	1	93480191	94947655	1467465	0.5652	Unbalanced	S-tag326562	S-tag285234	7632	7518	115
chr1	1	94971863	118994387	24022525	0.5	Hetero	S-tag224228	S-tag200680	9531	7633	1899
chr1	1	118994444	119586687	592244	0.5801	Unbalanced	S-tag028597	S-tag074187	9574	9532	43
chr1	1	119610787	189167558	69556772	0.5	Hetero	S-tag302822	S-tag283559	13242	9575	3668
chr1	1	189191943	190713980	1522038	0.5541	Unbalanced	S-tag300456	S-tag259947	13346	13243	104
chr1	1	190733725	207598290	16864566	0.5	Hetero	S-tag253975	S-tag216738	14577	13347	1231
chr1	1	207623829	209572582	1948754	0.555	Unbalanced	S-tag008298	S-tag149800	14710	14578	133
chr1	1	209579702	217992744	8413043	0.5	Hetero	S-tag314664	S-tag281707	15334	14711	624
chr1	1	218021662	218537632	515971	0.5714	Unbalanced	S-tag104074	S-tag153030	15380	15335	46
chr1	1	218540057	228509427	9969371	0.5	Hetero	S-tag207193	S-tag031911	16164	15381	784
chr1	1	228517826	230249435	1731610	0.6115	Unbalanced	S-tag054551	S-tag065694	16330	16165	166
chr1	1	230255859	249212878	18957020	0.5	Hetero	S-tag114051	S-tag279722	17813	16331	1483
chr2	2	21494	34479656	34458163	0.5	Hetero	S-tag008358	S-tag113223	20556	17814	2743
chr2	2	34501404	37544716	3043313	0.5496	Unbalanced	S-tag002524	S-tag285476	20757	20557	201
chr2	2	37559355	77748857	40189503	0.5	Hetero	S-tag208879	S-tag012803	23822	20758	3065
chr2	2	77774970	88443878	10668909	0.652	Unbalanced	S-tag109063	S-tag258750	24477	23823	655
chr2	2	88460989	98775298	10314310	0.6333	Unbalanced	S-tag112296	S-tag271253	24767	24478	290
chr2	2	98781847	110398506	11616660	0.6523	Unbalanced	S-tag120400	S-tag253307	25774	24768	1007
chr2	2	110412106	112901019	2488914	0.6279	Unbalanced	S-tag156729	S-tag107381	25914	25775	140
chr2	2	112906599	156444948	43538350	0.6464	Unbalanced	S-tag257885	S-tag116896	29512	25915	3598
chr2	2	156446586	174775562	18328977	0.5	Hetero	S-tag320063	S-tag201709	30863	29513	1351
chr2	2	174793940	175452275	658336	0.5561	Unbalanced	S-tag321912	S-tag238505	30908	30864	45
chr2	2	175467910	190418690	14950781	0.6474	Unbalanced	S-tag105772	S-tag193168	31941	30909	1033
chr2	2	190431875	243052331	52620457	0.633	Unbalanced	S-tag309590	S-tag082861	35915	31942	3974
chr3	3	63411	1966019	1902609	0.5	Hetero	S-tag123447	S-tag153681	36079	35916	164
chr3	3	1986399	3960462	1974064	0.6471	Unbalanced	S-tag023950	S-tag164240	36214	36080	135
chr3	3	3972465	101977688	98005224	0.5	Hetero	S-tag099227	S-tag276494	43904	36215	7690
chr3	3	101988001	102720516	732516	0.5612	Unbalanced	S-tag274398	S-tag259662	43952	43905	48
chr3	3	102724770	109587749	6862980	0.5	Hetero	S-tag300245	S-tag233312	44470	43953	518
chr3	3	109604806	111167008	1562203	0.5622	Unbalanced	S-tag157847	S-tag301675	44575	44471	105
chr3	3	111173131	136224697	25051567	0.5	Hetero	S-tag229590	S-tag295976	46452	44576	1877
chr3	3	136240366	137032292	791927	0.5784	Unbalanced	S-tag294834	S-tag055735	46505	46453	53
chr3	3	137050194	147996549	10946356	0.5	Hetero	S-tag063894	S-tag024912	47312	46506	807
chr3	3	148003233	150331588	2328356	0.5688	Unbalanced	S-tag069129	S-tag275575	47466	47313	154
chr3	3	150357070	172944683	22587614	0.5	Hetero	S-tag012911	S-tag227181	49089	47467	1623
chr3	3	172950553	175606759	2656207	0.5522	Unbalanced	S-tag175293	S-tag061632	49267	49090	178
chr3	3	175628862	177647728	2018867	0.6168	Unbalanced	S-tag327651	S-tag121089	49403	49268	136
chr3	3	177667289	183621991	5954703	0.5573	Unbalanced	S-tag035967	S-tag275436	49866	49404	463
chr3	3	183642751	191976775	8334025	0.5	Hetero	S-tag122921	S-tag151154	50674	49867	808
chr3	3	191987899	194040611	2052713	0.6487	Unbalanced	S-tag172342	S-tag027391	50811	50675	137
chr3	3	194066332	197852564	3786233	0.5	Hetero	S-tag265625	S-tag251937	51111	50812	300
chr4	4	69404	93933295	93863892	0.5	Hetero	S-tag272826	S-tag063238	57520	51112	6409
chr4	4	93949596	106084778	12135183	0.6419	Unbalanced	S-tag081752	S-tag223949	58417	57521	897
chr4	4	106087822	108048311	1960490	0.6142	Unbalanced	S-tag076702	S-tag069583	58577	58418	160
chr4	4	108095841	114907809	6811969	0.654	Unbalanced	S-tag193654	S-tag091225	59051	58578	474
chr4	4	114922287	124724282	9801996	0.6338	Unbalanced	S-tag205382	S-tag327999	59710	59052	659
chr4	4	124736492	129860794	5124303	0.65	Unbalanced	S-tag074412	S-tag172896	60065	59711	355
chr4	4	129885298	135006267	5120970	0.6303	Unbalanced	S-tag254061	S-tag218276	60398	60066	333
chr4	4	135025891	137638537	2612647	0.6549	Unbalanced	S-tag273854	S-tag309148	60573	60399	175
chr4	4	137648207	190915650	53267444	0.6439	Unbalanced	S-tag158953	S-tag011735	64556	60574	3983
chr5	5	38139	15106967	15068829	0.5	Hetero	S-tag083571	S-tag137348	65603	64557	1047
chr5	5	15122968	16285704	1162737	0.571	Unbalanced	S-tag084125	S-tag203513	65681	65604	78
chr5	5	16302133	100486475	84184343	0.5	Hetero	S-tag279953	S-tag104781	71193	65682	5512
chr5	5	100508303	103097260	2588958	0.5546	Unbalanced	S-tag115423	S-tag258486	71366	71194	173
chr5	5	103119334	121655201	18535868	0.5	Hetero	S-tag057379	S-tag167619	72648	71367	1282
chr5	5	121669859	123561794	1891936	0.5568	Unbalanced	S-tag015270	S-tag209009	72776	72649	128
chr5	5	123587452	167373709	43786258	0.5	Hetero	S-tag229948	S-tag095113	75893	72777	3117
chr5	5	167391366	168176517	785152	0.5505	Unbalanced	S-tag155678	S-tag284021	75948	75894	55
chr5	5	168180081	180698312	12518232	0.5	Hetero	S-tag297514	S-tag320993	76910	75949	962
chr6	6	204909	14384556	14179648	0.9084	Unbalanced	S-tag032787	S-tag222879	77936	76911	1026
chr6	6	14394504	58770502	44375999	0.8684	Unbalanced	S-tag245532	S-tag276242	81422	77937	3486
chr6	6	61886393	71214998	9328606	0.6166	Unbalanced	S-tag174241	S-tag160092	82056	81423	634
chr6	6	71234960	71863731	628772	0.6609	Unbalanced	S-tag000782	S-tag023800	82106	82057	50
chr6	6	71912141	87864140	15952000	0.6272	Unbalanced	S-tag319848	S-tag067862	83258	82107	1152
chr6	6	87901977	116263181	28361205	0.8413	Unbalanced	S-tag067651	S-tag072896	85439	83259	2181
chr6	6	116278725	135285148	19006424	0.6112	Unbalanced	S-tag194124	S-tag314855	86820	85440	1381
chr6	6	135293365	138266431	2973067	0.6339	Unbalanced	S-tag107863	S-tag257698	87046	86821	226
chr6	6	138282375	160807432	22525058	0.6152	Unbalanced	S-tag194398	S-tag312109	88728	87047	1682
chr6	6	160827835	162809009	1981175	0.5973	Unbalanced	S-tag299709	S-tag069676	89031	88729	303
chr6	6	162836071	170913051	8076981	0.6127	Unbalanced	S-tag000578	S-tag281247	89630	89032	599
chr7	7	41421	5619078	5577658	0.6376	Unbalanced	S-tag316675	S-tag188522	90090	89631	460
chr7	7	5632111	8239909	2607799	0.6638	Unbalanced	S-tag090743	S-tag108466	90319	90091	229
chr7	7	8255133	10530262	2275130	0.6258	Unbalanced	S-tag225204	S-tag072022	90477	90320	158
chr7	7	10583506	58025423	47441918	0.6448	Unbalanced	S-tag324348	S-tag261171	94118	90478	3641
chr7	7	61064518	77024300	15959783	0.5	Hetero	S-tag327346	S-tag314713	95113	94119	995
chr7	7	77043863	77554622	510760	0.601	Unbalanced	S-tag188230	S-tag229451	95149	95114	36
chr7	7	77582265	78570149	987885	0.5	Hetero	S-tag209012	S-tag129356	95225	95150	76
chr7	7	78575691	80793932	2218242	0.5543	Unbalanced	S-tag215806	S-tag071766	95379	95226	154
chr7	7	80813081	89607562	8794482	0.5	Hetero	S-tag079129	S-tag299283	96035	95380	656
chr7	7	89624347	90679137	1054791	0.5612	Unbalanced	S-tag216730	S-tag188673	96110	96036	75
chr7	7	90709261	99944465	9235205	0.5	Hetero	S-tag224454	S-tag302935	96851	96111	741
chr7	7	99954457	100652317	697861	0.5844	Unbalanced	S-tag052630	S-tag142949	96915	96852	64
chr7	7	100676968	132336527	31659560	0.5	Hetero	S-tag067064	S-tag060937	99452	96916	2537
chr7	7	132357696	133974519	1616824	0.5896	Unbalanced	S-tag306246	S-tag009698	99569	99453	117
chr7	7	133985896	154815796	20829901	0.5	Hetero	S-tag100885	S-tag280339	101292	99570	1723
chr7	7	154820318	155720482	900165	0.5502	Unbalanced	S-tag247627	S-tag305026	101354	101293	62
chr7	7	155734830	159118443	3383614	0.5	Hetero	S-tag326767	S-tag164900	101597	101355	243
chr8	8	172417	11290802	11118386	0.6419	Unbalanced	S-tag057861	S-tag137327	102873	101598	1276
chr8	8	11309400	17086990	5777591	0.6555	Unbalanced	S-tag297233	S-tag055341	103261	102874	388
chr8	8	17111761	39186857	22075097	0.6432	Unbalanced	S-tag246100	S-tag277967	105099	103262	1838
chr8	8	39194984	40483270	1288287	0.6593	Unbalanced	S-tag243791	S-tag058533	105186	105100	87
chr8	8	40501168	42672167	2171000	0.6382	Unbalanced	S-tag209041	S-tag062834	105376	105187	190
chr8	8	42692302	47451829	4759528	0.6514	Unbalanced	S-tag034768	S-tag097974	105506	105377	130
chr8	8	47463201	85953941	38490741	0.6441	Unbalanced	S-tag291800	S-tag136885	108373	105507	2867
