"","value"
"chr1-001",-0.056951073074375
"chr1-002",0.0282709431974355
"chr1-003",0.0619801242046131
"chr1-004",-0.0417606025591202
"chr1-005",-0.124511390333967
"chr1-006",-0.261835789633616
"chr1-007",-0.217178549548852
"chr1-008",-0.0959911548683228
"chr1-009",-0.379884320678421
"chr1-010",-0.390742671585997
"chr1-011",-0.429121384959607
"chr1-012",-0.105170550759837
"chr1-013",-0.0966148207338524
"chr1-014",0.0129823888687178
"chr1-015",-0.112464845586214
"chr1-016",-0.0131420514011009
"chr1-017",0.0804492717429758
"chr1-018",0.0811406168352728
"chr1-019",-0.0697780963620118
"chr1-020",-0.00286740379417445
"chr1-021",0.00945829624636569
"chr1-022",-0.0534428194418621
"chr1-023",-0.149694779487977
"chr1-024",-0.075642823705983
"chr1-025",0.0355998169516366
"chr1-026",-0.112286034087854
"chr1-027",-0.300544376456849
"chr1-028",-0.131503296841677
"chr1-029",-0.164608393141173
"chr1-030",-0.067323509838271
"chr1-031",-0.130557446414943
"chr1-032",0.0511670525055189
"chr1-033",-0.0150532762638079
"chr1-034",0.174048523567235
"chr1-035",0.0909387403649371
"chr1-036",-0.179199304086341
"chr1-037",-0.106369883665168
"chr1-038",-0.355081660249039
"chr1-039",-0.173723157549541
"chr1-040",0.0023923988834798
"chr1-041",-0.120685426811712
"chr1-042",-0.272005341184051
"chr1-043",-0.0143682834916103
"chr1-044",-0.101819122634026
"chr1-045",-0.0675104908022254
"chr1-046",-0.15225864464472
"chr1-047",-0.105662389269877
"chr1-048",-0.0421784774189992
"chr1-049",-0.0184277605252094
"chr1-050",-0.0721687380187241
"chr1-051",0.0632637473733916
"chr1-052",-0.062966369370173
"chr1-053",-0.0696129407534834
"chr1-054",-0.0615868684230799
"chr1-055",-0.0120009680031985
"chr1-056",0.00485644409973865
"chr1-057",-0.000820051554270545
"chr1-058",-0.0236772572552332
"chr1-059",-0.0215156284389773
"chr1-060",0.109810682982212
"chr1-061",-0.0338260166763409
"chr1-062",0.00507557878558589
"chr1-063",0.178969154000569
"chr1-064",0.307807717499018
"chr1-065",0.32557401809471
"chr1-066",0.278543941774695
"chr1-067",0.351224795779587
"chr1-068",0.132116010446659
"chr1-069",-0.0443028937112779
"chr1-070",-0.0506475822093121
"chr1-071",0.0544566721785265
"chr1-072",0.210985280133222
"chr1-073",0.196999801982956
"chr1-074",0.140536827763818
"chr1-075",-0.152954459050281
"chr1-076",-0.0223129748423628
"chr1-077",0.104454237539624
