"","Chromosome","Start","End","Feature","205122170045_R04C01","205122170071_R01C01","205125590021_R02C01","205125590067_R07C01","205125590068_R01C01","205128000076_R07C01","205240110063_R01C01","205243940036_R02C01","205243940046_R04C01","205243940058_R04C01","205243940065_R07C01","205243940107_R05C01","205289430139_R07C01"
"chr1-001","chr1",10001,177417,"chr1-001",0.092,-0.088,0.12,-0.06,-0.088,0.163,0.071,-0.031,-0.08,0.169,-0.058,0.051,0.077
"chr1-002","chr1",521369,1000000,"chr1-002",-0.652,-0.414,-0.181,-0.735,-0.529,-0.952,-0.02,-0.327,-0.353,-0.759,-0.343,-0.627,-0.272
"chr1-003","chr1",1000001,2000000,"chr1-003",-0.537,-0.427,-0.186,-0.615,-0.417,-0.808,-0.018,-0.383,-0.406,-0.622,-0.284,-0.504,-0.318
"chr1-004","chr1",2000001,2634220,"chr1-004",-0.173,-0.439,-0.15,-0.301,-0.101,-0.475,-0.041,-0.341,-0.346,-0.173,-0.015,-0.129,-0.285
"chr1-005","chr1",2684221,3000000,"chr1-005",-0.088,-0.424,-0.106,-0.234,-0.023,-0.417,-0.094,-0.282,-0.296,-0.09,0.039,-0.035,-0.237
"chr1-006","chr1",3000001,3845268,"chr1-006",-0.091,-0.415,-0.127,-0.248,-0.046,-0.412,-0.047,-0.302,-0.303,-0.097,0.048,-0.049,-0.27
"chr1-007","chr1",3995269,5000000,"chr1-007",0.062,-0.514,-0.1,-0.142,0.083,-0.358,-0.137,-0.326,-0.279,0.002,0.109,0.116,-0.303
"chr1-008","chr1",5000001,6000000,"chr1-008",0.023,-0.476,-0.084,-0.19,0.038,-0.345,-0.094,-0.305,-0.275,-0.006,0.003,0.067,-0.29
"chr1-009","chr1",6000001,7000000,"chr1-009",-0.135,-0.43,-0.138,-0.265,-0.066,-0.451,-0.03,-0.361,-0.315,-0.126,-0.003,-0.087,-0.337
"chr1-010","chr1",7000001,8000000,"chr1-010",0.001,-0.471,-0.06,-0.192,0.024,-0.36,-0.02,-0.327,-0.276,-0.025,0.07,0.06,-0.321
"chr1-011","chr1",8000001,9000000,"chr1-011",-0.038,-0.499,-0.053,-0.198,0.041,-0.404,-0.015,-0.407,-0.328,0.007,0.028,0.004,-0.484
"chr1-012","chr1",9000001,10000000,"chr1-012",-0.135,-0.456,-0.102,-0.278,-0.067,-0.452,-0.022,-0.412,-0.336,-0.093,-0.065,-0.091,-0.415
"chr1-013","chr1",10000001,11000000,"chr1-013",-0.116,-0.493,-0.155,-0.282,-0.041,-0.294,-0.016,-0.386,-0.345,-0.075,-0.023,-0.066,-0.408
"chr1-014","chr1",11000001,12000000,"chr1-014",-0.088,-0.449,-0.124,-0.208,-0.012,-0.159,-0.044,-0.409,-0.307,-0.077,0.005,-0.035,-0.414
"chr1-015","chr1",12000001,13052998,"chr1-015",-0.092,-0.498,-0.075,-0.249,-0.012,-0.142,-0.005,-0.422,-0.297,-0.052,-0.027,-0.026,-0.451
"chr1-016","chr1",13607163,14000000,"chr1-016",-0.03,-0.521,-0.142,-0.214,0.056,-0.118,-0.151,-0.41,-0.328,-0.05,0.031,0.061,-0.429
"chr1-017","chr1",14000001,15000000,"chr1-017",0.051,-0.501,-0.058,-0.179,0.065,-0.084,-0.047,-0.331,-0.332,0.048,0.06,0.109,-0.385
"chr1-018","chr1",15000001,16000000,"chr1-018",-0.038,-0.438,-0.074,-0.203,0.001,-0.137,-0.032,-0.398,-0.299,-0.031,0.011,0.013,-0.433
"chr1-019","chr1",16000001,17000000,"chr1-019",-0.092,-0.389,-0.059,-0.207,-0.033,-0.162,0.021,-0.377,-0.298,-0.05,0.02,-0.033,-0.334
"chr1-020","chr1",17000001,17125658,"chr1-020",0.085,-0.23,0.133,-0.142,-0.044,-0.005,0.045,-0.149,-0.046,0.122,0.033,0.07,-0.174
"chr1-021","chr1",17175659,18000000,"chr1-021",-0.051,-0.431,-0.055,-0.176,-0.012,-0.115,-0.019,-0.39,-0.264,-0.038,0.019,0.012,-0.358
"chr1-022","chr1",18000001,19000000,"chr1-022",0.015,-0.448,-0.095,-0.135,0.049,-0.082,-0.142,-0.346,-0.276,0.004,0.068,0.064,-0.343
"chr1-023","chr1",19000001,20000000,"chr1-023",-0.051,-0.396,-0.063,-0.12,-0.004,-0.149,-0.027,-0.37,-0.295,-0.044,0.028,0.007,-0.368
"chr1-024","chr1",20000001,21000000,"chr1-024",0.007,-0.46,-0.116,-0.006,0.066,-0.103,-0.126,-0.374,-0.289,-0.009,0.076,0.059,-0.373
"chr1-025","chr1",21000001,22000000,"chr1-025",-0.086,-0.444,-0.134,-0.097,-0.024,-0.173,-0.024,-0.394,-0.332,-0.09,0.013,-0.051,-0.379
"chr1-026","chr1",22000001,23000000,"chr1-026",-0.066,-0.47,-0.092,-0.083,-0.017,-0.139,-0.046,-0.384,-0.297,-0.029,-0.01,-0.007,-0.39
"chr1-027","chr1",23000001,24000000,"chr1-027",-0.072,-0.41,-0.054,-0.044,0.022,-0.145,0.009,-0.387,-0.309,-0.049,0.048,0.015,-0.381
"chr1-028","chr1",24000001,25000000,"chr1-028",-0.058,-0.45,-0.084,-0.04,0.033,-0.13,-0.022,-0.416,-0.305,-0.033,0.087,-0.005,-0.422
"chr1-029","chr1",25000001,26000000,"chr1-029",-0.049,-0.42,-0.052,-0.049,0.026,-0.11,0.019,-0.361,-0.298,-0.019,0.081,0.009,-0.356
"chr1-030","chr1",26000001,27000000,"chr1-030",-0.058,-0.397,-0.096,-0.043,0.022,-0.153,0.015,-0.39,-0.303,-0.06,0.091,-0.008,-0.355
"chr1-031","chr1",27000001,28000000,"chr1-031",-0.107,-0.371,-0.092,-0.048,0.001,-0.193,0.029,-0.378,-0.295,-0.078,0.057,-0.038,-0.349
"chr1-032","chr1",28000001,29000000,"chr1-032",-0.115,-0.488,-0.122,-0.071,0.003,-0.162,0.001,-0.507,-0.332,-0.047,-0.035,-0.066,-0.55
"chr1-033","chr1",29000001,29878082,"chr1-033",-0.08,-0.503,0.08,-0.047,0.026,-0.157,0.122,-0.4,-0.338,-0.063,0.052,-0.019,-0.397
"chr1-034","chr1",30028083,31000000,"chr1-034",0.122,-0.424,0.245,0.103,0.162,-0.051,0.162,-0.291,-0.243,0.067,0.168,0.193,-0.296
"chr1-035","chr1",31000001,32000000,"chr1-035",-0.013,-0.427,0.274,-0.004,0.053,-0.106,0.29,-0.392,-0.267,-0.012,0.062,0.056,-0.394
"chr1-036","chr1",32000001,33000000,"chr1-036",-0.07,-0.365,0.281,-0.034,0.015,-0.165,0.353,-0.388,-0.279,-0.059,0.084,-0.009,-0.367
"chr1-037","chr1",33000001,34000000,"chr1-037",-0.051,-0.396,0.146,-0.015,0.038,-0.139,0.246,-0.379,-0.293,-0.03,0.053,0.015,-0.377
"chr1-038","chr1",34000001,35000000,"chr1-038",0.126,-0.469,0.048,0.07,0.128,-0.047,0.078,-0.331,-0.263,0.088,0.143,0.183,-0.32
"chr1-039","chr1",35000001,36000000,"chr1-039",-0.005,-0.451,0.057,-0.01,0.057,-0.103,0.163,-0.357,-0.297,-0.007,0.114,0.054,-0.378
"chr1-040","chr1",36000001,37000000,"chr1-040",-0.087,-0.403,0.033,-0.05,0.004,-0.18,0.176,-0.408,-0.319,-0.071,0.039,-0.035,-0.379
"chr1-041","chr1",37000001,38000000,"chr1-041",0.086,-0.458,0.02,0.056,0.128,-0.098,0.069,-0.326,-0.274,0.014,0.159,0.173,-0.322
"chr1-042","chr1",38000001,39000000,"chr1-042",-0.018,-0.439,0.033,-0.001,0.06,-0.136,0.135,-0.387,-0.281,-0.015,0.097,0.04,-0.407
"chr1-043","chr1",39000001,40000000,"chr1-043",-0.046,0.175,0.036,-0.025,0.05,-0.15,0.143,0.105,-0.329,-0.026,0.055,0.021,0.13
"chr1-044","chr1",40000001,41000000,"chr1-044",-0.057,0.175,0.041,-0.028,0.039,-0.135,0.161,0.082,-0.317,-0.053,0.074,0.006,0.116
"chr1-045","chr1",41000001,42000000,"chr1-045",-0.008,0.193,0.093,0.001,0.06,-0.112,0.212,0.112,-0.268,-0.001,0.11,0.058,0.165
"chr1-046","chr1",42000001,43000000,"chr1-046",0.043,0.238,0.27,0.031,0.075,-0.078,0.352,0.164,-0.269,0.043,0.129,0.105,0.191
"chr1-047","chr1",43000001,44000000,"chr1-047",-0.008,0.197,0.117,0.01,0.042,-0.109,0.248,0.096,-0.285,-0.008,0.133,0.065,0.166
"chr1-048","chr1",44000001,45000000,"chr1-048",-0.016,0.181,0.057,0.001,0.037,-0.122,0.163,0.093,-0.272,-0.008,0.127,0.05,0.152
"chr1-049","chr1",45000001,46000000,"chr1-049",-0.05,0.18,0.059,0.003,0.024,-0.14,0.185,0.055,-0.289,-0.013,0.075,0.021,0.09
"chr1-050","chr1",46000001,47000000,"chr1-050",-0.035,0.195,0.043,0.002,0.046,-0.128,0.173,0.072,-0.288,-0.011,0.094,0.015,0.118
"chr1-051","chr1",47000001,48000000,"chr1-051",0.007,0.208,0.049,0.031,0.076,-0.119,0.174,0.121,-0.284,-0.008,0.136,0.062,0.169
"chr1-052","chr1",48000001,49000000,"chr1-052",0.099,0.256,0.12,0.073,0.121,-0.066,0.125,0.17,-0.25,0.059,0.163,0.167,0.227
