"","Sample","Chromosome","bp.Start","bp.End","Num.of.Markers","Mean"
"1","Sample.1","chr1",792994,114500000,117,-0.305368091816549
"2","Sample.1","chr1",115500000,207500000,70,-0.00726809181654924
"3","Sample.1","chr1",208500000,248473211,43,0.126631908183451
"4","Sample.1","chr10",505000,133345233,132,-0.0251680918165492
"5","Sample.1","chr11",530000,10500000,11,-0.398068091816549
"6","Sample.1","chr11",11500000,25000000,14,0.246831908183451
"7","Sample.1","chr11",26500000,84500000,54,-0.0205680918165492
"8","Sample.1","chr11",85500000,134538311,49,-0.399068091816549
"9","Sample.1","chr12",505000,133132655,133,0.00683190818345077
"10","Sample.1","chr13",18704053,38500000,21,-0.000768091816549243
"11","Sample.1","chr13",39500000,50500000,12,-0.341068091816549
"12","Sample.1","chr13",51500000,74500000,24,0.0400319081834508
"13","Sample.1","chr13",75500000,97500000,22,0.297331908183451
"14","Sample.1","chr13",98500000,114177164,19,0.100931908183451
"15","Sample.1","chr14",19805857,106441859,86,0.0228319081834508
"16","Sample.1","chr15",20232279,78500000,60,-0.000868091816549246
"17","Sample.1","chr15",79500000,101490595,24,0.146131908183451
"18","Sample.1","chr16",505000,4500000,5,-0.120968091816549
"19","Sample.1","chr16",5500000,35422504,31,-0.0363680918165492
"20","Sample.1","chr16",46690341,90114173,44,-0.412068091816549
"21","Sample.1","chr17",254094,9500000,11,-0.111468091816549
"22","Sample.1","chr17",10500000,21397925,12,0.419231908183451
"23","Sample.1","chr17",22426545,76500000,51,-0.0439680918165492
"24","Sample.1","chr17",77500000,83123721,8,-0.380868091816549
"25","Sample.1","chr18",505000,80131643,75,0.0253319081834508
"26","Sample.1","chr19",530000,14500000,15,0.0591319081834508
"27","Sample.1","chr19",15500000,42500000,26,-0.0766680918165492
"28","Sample.1","chr19",43500000,49500000,7,-0.413268091816549
"29","Sample.1","chr19",50500000,58303808,9,-0.125168091816549
"30","Sample.1","chr2",505000,242091765,238,-0.00016809181654924
"31","Sample.1","chr20",533168,17500000,18,-0.243968091816549
"32","Sample.1","chr20",18500000,56500000,36,-0.0107680918165492
"33","Sample.1","chr20",57500000,64167084,8,-0.383668091816549
"34","Sample.1","chr21",10569444,46349992,36,0.00443190818345077
"35","Sample.1","chr22",16657005,30500000,16,-0.0566680918165492
"36","Sample.1","chr22",31500000,50391917,20,-0.260768091816549
"37","Sample.1","chr3",505000,85500000,85,-0.409068091816549
"38","Sample.1","chr3",86500000,198117780,109,0.0451319081834508
"39","Sample.1","chr4",505000,22500000,24,-0.0272680918165492
"40","Sample.1","chr4",23500000,48668462,24,0.328231908183451
"41","Sample.1","chr4",51896976,190061561,138,0.0247319081834508
"42","Sample.1","chr5",505000,2500000,3,-0.0689680918165492
"43","Sample.1","chr5",3500000,18500000,17,0.161131908183451
"44","Sample.1","chr5",19500000,181239130,159,0.0265319081834508
"45","Sample.1","chr6",530000,57726944,58,-0.436468091816549
"46","Sample.1","chr6",60793482,170372990,107,-0.00446809181654924
"47","Sample.1","chr7",123923,54500000,56,-0.449468091816549
"48","Sample.1","chr7",55500000,141500000,80,-0.0323680918165492
"49","Sample.1","chr7",142500000,159167987,19,-0.232368091816549
"50","Sample.1","chr8",530000,46463633,45,-0.0188680918165492
"51","Sample.1","chr8",47500000,140500000,94,0.249831908183451
"52","Sample.1","chr8",141500000,145039318,5,0.0469319081834508
"53","Sample.1","chr9",505000,39264735,36,-0.419368091816549
"54","Sample.1","chr9",68610276,94500000,27,0.525231908183451
"55","Sample.1","chr9",95500000,123500000,28,0.0255319081834508
"56","Sample.1","chr9",124500000,138167359,16,-0.0867680918165492
"57","Sample.1","chrX",2568744,57777790,56,0.378931908183451
"58","Sample.1","chrX",63231271,147500000,71,0.0971319081834508
"59","Sample.1","chrX",148500000,155515448,8,-0.0669680918165492
"60","Sample.1","chrY",4568744,20998668,9,-4.26996809181655
