"","Sample","Chromosome","bp.Start","bp.End","Num.of.Markers","Mean"
"1","Sample.1","chr1",747994,38525000,706,-0.468175736511507
"2","Sample.1","chr1",38690000,208295000,1210,0.215524263488493
"3","Sample.1","chr1",208480000,247370000,320,-0.474675736511507
"4","Sample.1","chr1",247430000,248655000,13,-0.851375736511507
"5","Sample.1","chr1",248755000,248923211,5,-0.310775736511507
"6","Sample.1","chr10",125000,133625233,1141,-0.473375736511507
"7","Sample.1","chr11",145000,50555674,478,0.00432426348849299
"8","Sample.1","chr11",55167537,56615000,7,-0.391275736511507
"9","Sample.1","chr11",56835000,134993311,859,-0.019375736511507
"10","Sample.1","chr12",70000,7195000,123,-0.00177573651150702
"11","Sample.1","chr12",7325000,7825000,5,-0.277775736511507
"12","Sample.1","chr12",7920000,133222655,1106,0.00132426348849299
"13","Sample.1","chr13",18679053,47270000,224,0.044024263488493
"14","Sample.1","chr13",47630000,61950000,66,-0.476275736511507
"15","Sample.1","chr13",63095000,114332164,288,0.078424263488493
"16","Sample.1","chr14",19770857,71035000,388,0.027124263488493
"17","Sample.1","chr14",71155000,90290000,143,-0.502875736511507
"18","Sample.1","chr14",90360000,100925000,140,-0.00327573651150702
"19","Sample.1","chr14",100950000,101005000,5,-0.464575736511507
"20","Sample.1","chr14",101025000,106751859,131,-0.039675736511507
"21","Sample.1","chr15",20232279,101850595,770,-0.00897573651150702
"22","Sample.1","chr16",40000,33865870,462,0.042324263488493
"23","Sample.1","chr16",34892311,90149173,552,-0.460575736511507
"24","Sample.1","chr17",130000,83168721,1213,-0.035475736511507
"25","Sample.1","chr18",135000,80206643,405,0.032924263488493
"26","Sample.1","chr19",175000,4080000,149,0.084324263488493
"27","Sample.1","chr19",4125000,18045000,298,-0.330575736511507
"28","Sample.1","chr19",18120000,19695000,47,0.209824263488493
"29","Sample.1","chr19",19795000,34390000,67,-0.106075736511507
"30","Sample.1","chr19",34455000,58588808,508,-0.502275736511507
"31","Sample.1","chr2",110000,46830000,424,-0.443475736511507
"32","Sample.1","chr2",46880000,49160000,21,-2.48247573651151
"33","Sample.1","chr2",49835000,233555000,1161,-0.456375736511507
"34","Sample.1","chr2",233670000,234870000,12,-0.774675736511507
"35","Sample.1","chr2",234960000,242111765,146,-0.378575736511507
"36","Sample.1","chr20",178168,62575000,579,-0.00937573651150701
"37","Sample.1","chr20",62625000,63665000,38,-0.449275736511507
"38","Sample.1","chr20",63690000,63945000,9,0.020224263488493
"39","Sample.1","chr20",63965000,64292084,12,-0.422575736511507
"40","Sample.1","chr21",10569444,30110000,47,0.061824263488493
"41","Sample.1","chr21",30305000,30795000,6,-0.328375736511507
"42","Sample.1","chr21",31030000,46679992,204,0.00792426348849298
"43","Sample.1","chr22",16567005,50769234,496,-0.198975736511507
"44","Sample.1","chr3",115000,198097780,1356,-0.081375736511507
"45","Sample.1","chr4",110000,154410000,838,0.037324263488493
"46","Sample.1","chr4",154525000,155285000,5,-0.196875736511507
"47","Sample.1","chr4",155405000,159340000,22,0.108624263488493
"48","Sample.1","chr4",159445000,190066561,152,-0.126175736511507
"49","Sample.1","chr5",50000,1450000,56,-0.170175736511507
"50","Sample.1","chr5",1465000,1615000,7,-0.623875736511507
"51","Sample.1","chr5",1650000,1875000,12,-0.994775736511507
"52","Sample.1","chr5",1885000,7215000,49,-0.534375736511507
"53","Sample.1","chr5",7535000,17310000,55,-0.229875736511507
"54","Sample.1","chr5",17375000,28160000,18,-0.480875736511507
"55","Sample.1","chr5",29350000,154675000,789,0.00642426348849298
"56","Sample.1","chr5",154755000,168915000,66,-0.497775736511507
"57","Sample.1","chr5",169045000,180025000,155,-0.00477573651150702
"58","Sample.1","chr5",180110000,181369130,26,-0.423475736511507
"59","Sample.1","chr6",140000,8310000,92,-0.465575736511507
"60","Sample.1","chr6",8915000,170435000,1296,-0.000575736511507011
"61","Sample.1","chr6",170500000,170662990,3,-0.372175736511507
"62","Sample.1","chr7",50000,1155000,49,-0.175475736511507
"63","Sample.1","chr7",1185000,1395000,9,-0.488375736511507
"64","Sample.1","chr7",1420000,159247987,1199,-0.217275736511507
"65","Sample.1","chr8",195000,30920000,277,-0.521775736511507
"66","Sample.1","chr8",31100000,33860000,11,-0.046475736511507
"67","Sample.1","chr8",34390000,36330000,5,-0.513375736511507
"68","Sample.1","chr8",36960000,145039318,741,0.00662426348849299
"69","Sample.1","chr9",215000,138187359,710,-0.197175736511507
"70","Sample.1","chrX",2528744,73135000,276,0.345124263488493
"71","Sample.1","chrX",73885000,155645448,258,0.037624263488493
"72","Sample.1","chrY",4728744,21244771,11,-3.37577573651151
