Sample_ID,chrom,loc.start,loc.end,num.mark,bstat,seg.mean,seg.median,pval,state,treatment,method,sub.method
203219650162_R08C01,1,792994,248473211,230,NA,-0.00561642613164662,NA,0.05,2,tumor,custom,NA
203219650188_R08C01,1,792994,248473211,230,NA,-0.0216225009949112,NA,0.05,2,tumor,custom,NA
203219750019_R05C01,1,792994,189500000,169,NA,-0.0630772967007369,NA,0.05,2,tumor,custom,NA
203219750053_R05C01,1,792994,248473211,230,NA,-0.0148963389463081,NA,0.05,2,tumor,custom,NA
203219760009_R08C01,1,792994,248473211,230,NA,-0.00169052319026016,NA,0.05,2,tumor,custom,NA
203220070150_R02C01,1,792994,248473211,230,NA,-0.0118281969253777,NA,0.05,2,tumor,custom,NA
203225140266_R03C01,1,792994,248473211,230,NA,0.00137053057956715,NA,0.05,2,tumor,custom,NA
203257030015_R06C01,1,792994,248473211,230,NA,-0.0107805363339547,NA,0.05,2,tumor,custom,NA
203257030060_R08C01,1,792994,189500000,169,NA,-0.0427275305623345,NA,0.05,2,tumor,custom,NA
203219750019_R05C01,1,190500000,196500000,7,NA,0.293622703299263,NA,0.05,3,tumor,custom,NA
203257030060_R08C01,1,190500000,196500000,7,NA,0.0950724694376655,NA,0.05,2,tumor,custom,NA
203219750019_R05C01,1,197500000,248473211,54,NA,-0.0395772967007369,NA,0.05,2,tumor,custom,NA
203257030060_R08C01,1,197500000,248473211,54,NA,-0.0293275305623345,NA,0.05,2,tumor,custom,NA
203219650162_R08C01,2,505000,242091765,238,NA,-0.000916426131646615,NA,0.05,2,tumor,custom,NA
203219650188_R08C01,2,505000,242091765,238,NA,0.00237749900508876,NA,0.05,2,tumor,custom,NA
203219750019_R05C01,2,505000,75500000,77,NA,-0.0544772967007369,NA,0.05,2,tumor,custom,NA
203219750053_R05C01,2,505000,242091765,238,NA,0.00840366105369186,NA,0.05,2,tumor,custom,NA
203219760009_R08C01,2,505000,242091765,238,NA,0.0166094768097398,NA,0.05,2,tumor,custom,NA
203220070150_R02C01,2,505000,237500000,232,NA,-0.00032819692537768,NA,0.05,2,tumor,custom,NA
203225140266_R03C01,2,505000,61500000,63,NA,-0.289929469420433,NA,0.05,1,tumor,custom,NA
203257030015_R06C01,2,505000,242091765,238,NA,0.00681946366604528,NA,0.05,2,tumor,custom,NA
203257030060_R08C01,2,505000,242091765,238,NA,-0.000327530562334545,NA,0.05,2,tumor,custom,NA
203225140266_R03C01,2,62500000,105500000,40,NA,-0.0130294694204328,NA,0.05,2,tumor,custom,NA
203219750019_R05C01,2,76500000,83500000,8,NA,0.338422703299263,NA,0.05,3,tumor,custom,NA
203219750019_R05C01,2,84500000,242091765,153,NA,-0.000677296700736889,NA,0.05,2,tumor,custom,NA
203225140266_R03C01,2,106500000,150500000,44,NA,-0.305429469420433,NA,0.05,1,tumor,custom,NA
203225140266_R03C01,2,151500000,242091765,91,NA,0.0495705305795672,NA,0.05,2,tumor,custom,NA
203220070150_R02C01,2,238451830,242091765,6,NA,0.0771718030746223,NA,0.05,2,tumor,custom,NA
203219650162_R08C01,3,505000,93852787,90,NA,0.00498357386835338,NA,0.05,2,tumor,custom,NA
203219650188_R08C01,3,505000,198117780,194,NA,0.0102774990050888,NA,0.05,2,tumor,custom,NA
203219750019_R05C01,3,505000,198117780,194,NA,-0.00347729670073689,NA,0.05,2,tumor,custom,NA
203219750053_R05C01,3,505000,198117780,194,NA,0.0202036610536919,NA,0.05,2,tumor,custom,NA
203219760009_R08C01,3,505000,198117780,194,NA,0.0300094768097398,NA,0.05,2,tumor,custom,NA
203220070150_R02C01,3,505000,198117780,194,NA,-0.00442819692537768,NA,0.05,2,tumor,custom,NA
203225140266_R03C01,3,505000,198117780,194,NA,0.0288705305795672,NA,0.05,2,tumor,custom,NA
203257030015_R06C01,3,505000,198117780,194,NA,0.0154194636660453,NA,0.05,2,tumor,custom,NA
203257030060_R08C01,3,505000,198117780,194,NA,0.00247246943766545,NA,0.05,2,tumor,custom,NA
203219650162_R08C01,3,95000000,176500000,82,NA,-0.606916426131647,NA,0.05,1,tumor,custom,NA
203219650162_R08C01,3,177500000,198117780,22,NA,-0.00331642613164661,NA,0.05,2,tumor,custom,NA
203219650162_R08C01,4,505000,190061561,186,NA,0.0487835738683534,NA,0.05,2,tumor,custom,NA
203219650188_R08C01,4,505000,190061561,186,NA,0.0184774990050888,NA,0.05,2,tumor,custom,NA
203219750019_R05C01,4,505000,190061561,186,NA,0.0424227032992631,NA,0.05,2,tumor,custom,NA
203219750053_R05C01,4,505000,190061561,186,NA,0.0509036610536919,NA,0.05,2,tumor,custom,NA
203219760009_R08C01,4,505000,190061561,186,NA,0.0450094768097398,NA,0.05,2,tumor,custom,NA
203220070150_R02C01,4,505000,190061561,186,NA,0.0111718030746223,NA,0.05,2,tumor,custom,NA
203225140266_R03C01,4,505000,190061561,186,NA,0.0413705305795672,NA,0.05,2,tumor,custom,NA
203257030015_R06C01,4,505000,190061561,186,NA,0.0417194636660453,NA,0.05,2,tumor,custom,NA
203257030060_R08C01,4,505000,190061561,186,NA,0.0316724694376655,NA,0.05,2,tumor,custom,NA
203219650162_R08C01,5,505000,181239130,179,NA,0.000283573868353384,NA,0.05,2,tumor,custom,NA
203219650188_R08C01,5,505000,181239130,179,NA,0.0103774990050888,NA,0.05,2,tumor,custom,NA
203219750019_R05C01,5,505000,181239130,179,NA,-0.0152772967007369,NA,0.05,2,tumor,custom,NA
203219750053_R05C01,5,505000,181239130,179,NA,0.000403661053691856,NA,0.05,2,tumor,custom,NA
203219760009_R08C01,5,505000,181239130,179,NA,0.0255094768097398,NA,0.05,2,tumor,custom,NA
203220070150_R02C01,5,505000,181239130,179,NA,-0.000228196925377681,NA,0.05,2,tumor,custom,NA
203225140266_R03C01,5,505000,36500000,38,NA,-0.275029469420433,NA,0.05,1,tumor,custom,NA
203257030015_R06C01,5,505000,181239130,179,NA,0.000619463666045282,NA,0.05,2,tumor,custom,NA
203257030060_R08C01,5,505000,181239130,179,NA,-0.000527530562334545,NA,0.05,2,tumor,custom,NA
203225140266_R03C01,5,37500000,181239130,141,NA,0.0160705305795672,NA,0.05,2,tumor,custom,NA
203219650162_R08C01,6,530000,170372990,165,NA,0.0199835738683534,NA,0.05,2,tumor,custom,NA
203219650188_R08C01,6,530000,170372990,165,NA,0.000477499005088762,NA,0.05,2,tumor,custom,NA
203219750019_R05C01,6,530000,170372990,165,NA,0.00262270329926311,NA,0.05,2,tumor,custom,NA
203219750053_R05C01,6,530000,170372990,165,NA,0.0138036610536919,NA,0.05,2,tumor,custom,NA
203219760009_R08C01,6,530000,170372990,165,NA,0.0132094768097398,NA,0.05,2,tumor,custom,NA
203220070150_R02C01,6,530000,170372990,165,NA,-0.0167281969253777,NA,0.05,2,tumor,custom,NA
203225140266_R03C01,6,530000,170372990,165,NA,0.0293705305795672,NA,0.05,2,tumor,custom,NA
203257030015_R06C01,6,530000,170372990,165,NA,0.00101946366604528,NA,0.05,2,tumor,custom,NA
203257030060_R08C01,6,530000,170372990,165,NA,-0.00402753056233454,NA,0.05,2,tumor,custom,NA
203219650162_R08C01,7,123923,159167987,155,NA,0.0218835738683534,NA,0.05,2,tumor,custom,NA
203219650188_R08C01,7,123923,159167987,155,NA,-0.000222500994911241,NA,0.05,2,tumor,custom,NA
203219750019_R05C01,7,123923,159167987,155,NA,0.0268227032992631,NA,0.05,2,tumor,custom,NA
203219750053_R05C01,7,123923,159167987,155,NA,0.0253036610536919,NA,0.05,2,tumor,custom,NA
203219760009_R08C01,7,123923,159167987,155,NA,0.00200947680973984,NA,0.05,2,tumor,custom,NA
203220070150_R02C01,7,123923,159167987,155,NA,-0.0172281969253777,NA,0.05,2,tumor,custom,NA
203225140266_R03C01,7,123923,159167987,155,NA,0.0358705305795672,NA,0.05,2,tumor,custom,NA
203257030015_R06C01,7,123923,159167987,155,NA,0.00911946366604528,NA,0.05,2,tumor,custom,NA
203257030060_R08C01,7,123923,85500000,82,NA,-0.0252275305623345,NA,0.05,2,tumor,custom,NA
203257030060_R08C01,7,86500000,114500000,28,NA,-0.206427530562335,NA,0.05,1,tumor,custom,NA
203257030060_R08C01,7,115500000,159167987,45,NA,-0.0174275305623345,NA,0.05,2,tumor,custom,NA
203219650162_R08C01,8,530000,145039318,144,NA,-0.0194164261316466,NA,0.05,2,tumor,custom,NA
203219650188_R08C01,8,530000,145039318,144,NA,-0.00032250099491124,NA,0.05,2,tumor,custom,NA
203219750019_R05C01,8,530000,145039318,144,NA,-0.0124772967007369,NA,0.05,2,tumor,custom,NA
203219750053_R05C01,8,530000,145039318,144,NA,-0.00549633894630814,NA,0.05,2,tumor,custom,NA
203219760009_R08C01,8,530000,145039318,144,NA,0.00700947680973984,NA,0.05,2,tumor,custom,NA
203220070150_R02C01,8,530000,145039318,144,NA,-0.0139281969253777,NA,0.05,2,tumor,custom,NA
203225140266_R03C01,8,530000,145039318,144,NA,-0.00572946942043285,NA,0.05,2,tumor,custom,NA
203257030015_R06C01,8,530000,145039318,144,NA,-0.0129805363339547,NA,0.05,2,tumor,custom,NA
203257030060_R08C01,8,530000,145039318,144,NA,-0.0154275305623345,NA,0.05,2,tumor,custom,NA
203219650162_R08C01,9,505000,138167359,107,NA,-0.00861642613164661,NA,0.05,2,tumor,custom,NA
203219650188_R08C01,9,505000,138167359,107,NA,-0.0106225009949112,NA,0.05,2,tumor,custom,NA
203219750019_R05C01,9,505000,138167359,107,NA,-0.0496772967007369,NA,0.05,2,tumor,custom,NA
203219750053_R05C01,9,505000,138167359,107,NA,-0.0117963389463081,NA,0.05,2,tumor,custom,NA
203219760009_R08C01,9,505000,138167359,107,NA,-0.000890523190260162,NA,0.05,2,tumor,custom,NA
203220070150_R02C01,9,505000,138167359,107,NA,-0.00532819692537768,NA,0.05,2,tumor,custom,NA
203225140266_R03C01,9,505000,138167359,107,NA,-0.00162946942043285,NA,0.05,2,tumor,custom,NA
203257030015_R06C01,9,505000,138167359,107,NA,-0.0103805363339547,NA,0.05,2,tumor,custom,NA
203257030060_R08C01,9,505000,138167359,107,NA,-0.0277275305623345,NA,0.05,2,tumor,custom,NA
203219650162_R08C01,10,505000,133345233,132,NA,-0.00891642613164662,NA,0.05,2,tumor,custom,NA
203219650188_R08C01,10,505000,133345233,132,NA,-0.000222500994911241,NA,0.05,2,tumor,custom,NA
203219750019_R05C01,10,505000,133345233,132,NA,-0.0271772967007369,NA,0.05,2,tumor,custom,NA
203219750053_R05C01,10,505000,133345233,132,NA,-0.00819633894630814,NA,0.05,2,tumor,custom,NA
203219760009_R08C01,10,505000,133345233,132,NA,0.00200947680973984,NA,0.05,2,tumor,custom,NA
203220070150_R02C01,10,505000,133345233,132,NA,-0.00962819692537768,NA,0.05,2,tumor,custom,NA
203225140266_R03C01,10,505000,133345233,132,NA,0.00367053057956715,NA,0.05,2,tumor,custom,NA
203257030015_R06C01,10,505000,133345233,132,NA,-0.00568053633395472,NA,0.05,2,tumor,custom,NA
203257030060_R08C01,10,505000,133345233,132,NA,-0.0304275305623345,NA,0.05,2,tumor,custom,NA
203219650162_R08C01,11,530000,84500000,79,NA,-0.0192164261316466,NA,0.05,2,tumor,custom,NA
203219650188_R08C01,11,530000,134538311,128,NA,-0.0118225009949112,NA,0.05,2,tumor,custom,NA
203219750019_R05C01,11,530000,76500000,71,NA,-0.0670772967007369,NA,0.05,2,tumor,custom,NA
203219750053_R05C01,11,530000,134538311,128,NA,-0.0250963389463081,NA,0.05,2,tumor,custom,NA
203219760009_R08C01,11,530000,134538311,128,NA,-9.05231902601621e-05,NA,0.05,2,tumor,custom,NA
203220070150_R02C01,11,530000,134538311,128,NA,-0.00902819692537768,NA,0.05,2,tumor,custom,NA
203225140266_R03C01,11,530000,134538311,128,NA,0.0226705305795672,NA,0.05,2,tumor,custom,NA
203257030015_R06C01,11,530000,134538311,128,NA,-0.0188805363339547,NA,0.05,2,tumor,custom,NA
203257030060_R08C01,11,530000,134538311,128,NA,-0.0382275305623345,NA,0.05,2,tumor,custom,NA
203219750019_R05C01,11,77500000,118500000,41,NA,-0.714277296700737,NA,0.05,1,tumor,custom,NA
203219650162_R08C01,11,85500000,126500000,41,NA,-0.680416426131647,NA,0.05,1,tumor,custom,NA
203219750019_R05C01,11,119500000,134538311,16,NA,-0.119577296700737,NA,0.05,2,tumor,custom,NA
203219650162_R08C01,11,127500000,134538311,8,NA,-0.0993164261316466,NA,0.05,2,tumor,custom,NA
203219650162_R08C01,12,505000,133132655,133,NA,0.0241835738683534,NA,0.05,2,tumor,custom,NA
203219650188_R08C01,12,505000,133132655,133,NA,0.0108774990050888,NA,0.05,2,tumor,custom,NA
203219750019_R05C01,12,505000,133132655,133,NA,0.000422703299263107,NA,0.05,2,tumor,custom,NA
203219750053_R05C01,12,505000,133132655,133,NA,0.0202036610536919,NA,0.05,2,tumor,custom,NA
203219760009_R08C01,12,505000,133132655,133,NA,0.0200094768097398,NA,0.05,2,tumor,custom,NA
203220070150_R02C01,12,505000,133132655,133,NA,0.00107180307462232,NA,0.05,2,tumor,custom,NA
203225140266_R03C01,12,505000,133132655,133,NA,0.0391705305795672,NA,0.05,2,tumor,custom,NA
203257030015_R06C01,12,505000,133132655,133,NA,0.0275194636660453,NA,0.05,2,tumor,custom,NA
203257030060_R08C01,12,505000,133132655,133,NA,-0.00212753056233455,NA,0.05,2,tumor,custom,NA
203219650162_R08C01,13,18704053,114177164,98,NA,0.00038357386835338,NA,0.05,2,tumor,custom,NA
203219650188_R08C01,13,18704053,114177164,98,NA,-0.00362250099491124,NA,0.05,2,tumor,custom,NA
203219750019_R05C01,13,18704053,114177164,98,NA,0.0280227032992631,NA,0.05,2,tumor,custom,NA
203219750053_R05C01,13,18704053,114177164,98,NA,0.0122036610536919,NA,0.05,2,tumor,custom,NA
203219760009_R08C01,13,18704053,114177164,98,NA,0.0242094768097398,NA,0.05,2,tumor,custom,NA
203220070150_R02C01,13,18704053,109500000,91,NA,7.1803074622321e-05,NA,0.05,2,tumor,custom,NA
203225140266_R03C01,13,18704053,114177164,98,NA,-0.00292946942043285,NA,0.05,2,tumor,custom,NA
203257030015_R06C01,13,18704053,114177164,98,NA,-0.00118053633395472,NA,0.05,2,tumor,custom,NA
203257030060_R08C01,13,18704053,114177164,98,NA,0.00387246943766546,NA,0.05,2,tumor,custom,NA
203220070150_R02C01,13,110500000,114177164,7,NA,0.0759718030746223,NA,0.05,2,tumor,custom,NA
203219650162_R08C01,14,19805857,106441859,86,NA,0.0107835738683534,NA,0.05,2,tumor,custom,NA
203219650188_R08C01,14,19805857,106441859,86,NA,-0.00722250099491124,NA,0.05,2,tumor,custom,NA
203219750019_R05C01,14,19805857,106441859,86,NA,-0.0213772967007369,NA,0.05,2,tumor,custom,NA
