"ID","chrom","loc.start","loc.end","num.mark","seg.mean","seg.sd","seg.median","seg.mad","pval","lcl","ucl"
"Sample.1","chr1",792994,248473211,232,-0.0542,0.0787,-0.0526,0.0641,NA,NA,NA
"Sample.1","chr10",505000,133345233,133,-0.0488,0.0796,-0.0482,0.0779,NA,NA,NA
"Sample.1","chr11",530000,134538311,128,-0.0639,0.0732,-0.0654,0.0696,NA,NA,NA
"Sample.1","chr12",505000,133132655,133,-0.0168,0.0745,-0.0171,0.0601,NA,NA,NA
"Sample.1","chr13",18704053,114177164,98,-0.0463,0.0895,-0.0514,0.0635,NA,NA,NA
"Sample.1","chr14",19187179,106441859,89,-0.0476,0.0806,-0.0435,0.0671,NA,NA,NA
"Sample.1","chr15",20232279,101490595,86,-0.0578,0.0675,-0.0575,0.0554,NA,NA,NA
"Sample.1","chr16",505000,90114173,82,-0.0562,0.0847,-0.0365,0.0614,NA,NA,NA
"Sample.1","chr17",254094,83123721,83,-0.0445,0.0784,-0.0305,0.0594,NA,NA,NA
"Sample.1","chr18",505000,80131643,76,-0.0433,0.0786,-0.0412,0.0708,NA,NA,NA
"Sample.1","chr19",530000,58303808,57,0.0069,0.0581,0.018,0.0439,NA,NA,NA
"Sample.1","chr2",505000,242091765,241,-0.0371,0.0804,-0.036,0.0668,NA,NA,NA
"Sample.1","chr20",533168,64167084,62,-0.0896,0.0832,-0.0858,0.0595,NA,NA,NA
"Sample.1","chr21",5088123,46349992,42,-0.0013,0.0923,-0.0101,0.0842,NA,NA,NA
"Sample.1","chr22",15716995,50391917,38,-0.0441,0.0931,-0.0341,0.0467,NA,NA,NA
"Sample.1","chr3",505000,198117780,194,-0.0298,0.0697,-0.0275,0.075,NA,NA,NA
"Sample.1","chr4",505000,190061561,190,-0.0075,0.0884,-0.0073,0.0759,NA,NA,NA
"Sample.1","chr5",505000,181239130,179,-0.0435,0.0842,-0.0459,0.0805,NA,NA,NA
"Sample.1","chr6",530000,170372990,167,-0.0475,0.0717,-0.0453,0.0512,NA,NA,NA
"Sample.1","chr7",123923,159167987,156,-0.0339,0.0725,-0.0223,0.075,NA,NA,NA
"Sample.1","chr8",530000,145039318,147,-0.0572,0.0857,-0.0527,0.0806,NA,NA,NA
"Sample.1","chr9",505000,138167359,114,-0.0464,0.0901,-0.0513,0.0749,NA,NA,NA
"Sample.1","chrX",2568744,30500000,27,0.6405,0.0854,0.6427,0.0708,1.28513833831367e-09,29000000,32500000
"Sample.1","chrX",31500000,36500000,6,0.9217,0.1403,0.9741,0.099,1.23850718976416e-07,34500000,37642919
"Sample.1","chrX",37049631,155515448,104,0.6229,0.1187,0.6273,0.1309,NA,NA,NA
"Sample.1","chrY",2568744,24239248,16,-2.8325,1.3021,-3.1475,1.2215,NA,NA,NA
