"","value"
"chr1-0001",-0.0866623213092979
"chr1-0002",-0.175420920396201
"chr1-0003",-0.26005459418903
"chr1-0004",-0.326518272947728
"chr1-0005",-0.163659810221322
"chr1-0006",-0.45757784829974
"chr1-0007",-0.368524616013104
"chr1-0008",-0.312728281310233
"chr1-0009",-0.157500832107625
"chr1-0010",-0.429618474842014
"chr1-0011",-0.477082155644631
"chr1-0012",-0.492526712477818
"chr1-0013",-0.275137597141933
"chr1-0014",-0.095048210695433
"chr1-0015",-0.218709054473545
"chr1-0016",-0.26476159096531
"chr1-0017",-0.190701774099645
"chr1-0018",-0.247621479360934
"chr1-0019",-0.358016455494574
"chr1-0020",-0.312851927522564
"chr1-0021",-0.277658808584443
"chr1-0022",-0.552611166005377
"chr1-0023",-0.277418455018065
"chr1-0024",-0.49381560074854
"chr1-0025",-0.353772170940635
"chr1-0026",-0.129396215036683
"chr1-0027",-0.168183582856593
"chr1-0028",-0.193671179514962
"chr1-0029",-0.436352741918785
"chr1-0030",-0.178272483351252
"chr1-0031",-0.429447554318785
"chr1-0032",-0.0961565475943906
"chr1-0033",-0.0634644985798624
"chr1-0034",-0.19844370024494
"chr1-0035",-0.0686816824112242
"chr1-0036",-0.191433053264376
"chr1-0037",-0.146054605987016
"chr1-0038",-0.232486732394066
"chr1-0039",-0.196023040698749
"chr1-0040",-0.117388872602712
"chr1-0041",-0.234221159483981
"chr1-0042",-0.393681503008926
"chr1-0043",-0.459806824911929
"chr1-0044",-0.15079632483626
"chr1-0045",-0.13373282621063
"chr1-0046",-0.216700912373552
"chr1-0047",-0.142420900441264
"chr1-0048",-0.454093102393454
"chr1-0049",-0.266862387287737
"chr1-0050",-0.0477453624602529
"chr1-0051",-0.124148019060506
"chr1-0052",-0.18360294683974
"chr1-0053",-0.14767838435039
"chr1-0054",-0.326823773813127
"chr1-0055",-0.143911385950896
"chr1-0056",-0.183418157701173
"chr1-0057",-0.320655030013995
"chr1-0058",-0.686045015315079
"chr1-0059",-0.583151995530479
"chr1-0060",-0.262293656356239
"chr1-0061",-0.402320307915073
"chr1-0062",-0.321535742559523
"chr1-0063",-0.391779342298087
"chr1-0064",-0.263720126306805
"chr1-0065",-0.642131145651357
"chr1-0066",-0.414912251654775
"chr1-0067",-0.474324804956199
"chr1-0068",-0.265291367254056
"chr1-0069",-0.419787685592346
"chr1-0070",-0.372604810389899
"chr1-0071",-0.338599106800141
"chr1-0072",-0.646763427787777
"chr1-0073",-0.338855370935851
"chr1-0074",-0.499524304503909
"chr1-0075",-0.574341322061633
"chr1-0076",-0.216552627011888
"chr1-0077",-0.300000202666841
"chr1-0078",-0.246932228602112
"chr1-0079",-0.108533530780994
"chr1-0080",-0.12709357743515
"chr1-0081",-0.276347804700907
"chr1-0082",-0.345165239063116
"chr1-0083",-0.244957319300685
"chr1-0084",-0.377172122486166
"chr1-0085",-0.163612542840659
"chr1-0086",-0.209551929608255
"chr1-0087",-0.0999120375803222
"chr1-0088",-0.368875989988229
"chr1-0089",-0.28629323912132
"chr1-0090",-0.0713845775154462
"chr1-0091",-0.16909559862931
"chr1-0092",-0.258055401688448
"chr1-0093",-0.446805250866363
"chr1-0094",-0.409778628094206
"chr1-0095",-0.350456912574355
"chr1-0096",-0.115933681886818
"chr1-0097",-0.334612813651139
"chr1-0098",-0.253794801739165
"chr1-0099",-0.185824548255762
"chr1-0100",-0.22307541802656
"chr1-0101",-0.293472702668922
"chr1-0102",-0.529182281700419
"chr1-0103",-0.450316071620463
"chr1-0104",-0.446976995999985
"chr1-0105",-0.454813031166744
"chr1-0106",-0.544696842162366
"chr1-0107",-0.494154474780793
"chr1-0108",-0.259263691997258
"chr1-0109",-0.363282470935565
"chr1-0110",-0.378862110671555
"chr1-0111",-0.183131603864331
"chr1-0112",-0.430939075404445
"chr1-0113",-0.232385303068799
"chr1-0114",-0.268865053554363
"chr1-0115",-0.217673547984858
"chr1-0116",-0.268025641579574
"chr1-0117",-0.338536711619641
"chr1-0118",-0.236876716545216
"chr1-0119",-0.184517123182452
"chr1-0120",-0.508388174747765
"chr1-0121",-0.339708699555419
"chr1-0122",-0.401836177338067
"chr1-0123",-0.332897653423549
"chr1-0124",-0.369874094121411
